Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.015507292928263569,0.03013705648481846,0.0,0.0,0.0,0.0,0.0,0.015528847393260516,0.030032550916075706,0.007510496589354009,0.0,0.007821215765991985,0.037452276796102524,0.0019351595547050238,0.03256742283701897,0.00020222140301484615,0.0016020557530673576,1.9133627574774437e-05,0.027850398793816566,0.023985788226127625,0.01324086395892097,0.016315207670392837,0.00821781251579523,0.007923887111246586,0.030306511341982194,0.03400033597948551,0.0017426604493904559,0.0024325313244664337,0.0018804413899231867,0.0005517248519393107,0.0004211424384266138,0.00037176645128056407,0.0702757507242427,0.07072486729060089,0.014619243839049244,0.013543744126763648,0.0,3.3752352464944124e-05,0.052561905244236984,0.03900540195145647,0.03903402762301857,4.9904883780982345e-05,0.01253522653132677,0.013160288333892822,0.000942955375649035,0.0007426250958815217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104231894016266,0.07731457054615021,0.6482889652252197,0.12351300567388535,1.9822168350219727,0.6189641952514648,1.0591208934783936
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.027201390262130393,0.08081527054309845,0.0,0.0,0.0,0.0,0.0,0.027220939991456833,0.0806426852941513,0.013249649069199829,0.0,0.013630155492396965,0.0562906451523304,0.0018821579869836569,0.06849725544452667,0.0003969913814216852,0.002980771047921128,5.336582398740575e-05,0.05083561688661575,0.043735913932323456,0.013147245735143899,0.016205378713510906,0.015288149006664753,0.014667043462395668,0.04992501957586098,0.05507310476333786,0.0017042187020487349,0.004069667308496704,0.0019713578457160744,0.0007971303641822183,0.0008395466720685363,0.000810441910289228,0.11989572460818085,0.11907406301579086,0.03257842308849564,0.031050243876451188,0.0,0.00014711171388626099,0.06636668742903168,0.04191738082017297,0.041968933360233295,7.531929441029206e-05,0.024775639176368713,0.026351407170295715,0.002759976778179407,0.003083511721342802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971104383468628,0.13621146976947784,1.3721868991851807,0.2366575449705124,3.858072280883789,1.1145222187042236,2.26987361907959
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03793196141594612,0.14601805806159973,0.0,0.0,0.0,0.0,0.0,0.03796698670897423,0.14582647383213043,0.017649715696442032,2.0464985936996527e-05,0.01955724079581974,0.06427076458930969,0.0013803659239783883,0.11016176640987396,0.0011050583561882377,0.004315346145601263,1.569896994624287e-05,0.06388817727565765,0.05511562526226044,0.013024184222330745,0.01600929510577592,0.019456345587968826,0.018460486084222794,0.06949935108880463,0.07688951197725982,0.0016158365398867185,0.005030107628236131,0.0021049308054682924,0.001184910263191979,0.0012933299876749516,0.0013134338660165668,0.15125893388777711,0.14986358358982574,0.0522019306378936,0.05085492810569916,0.002115628682076931,0.002273574937134981,0.07968365926064186,0.046197745597386514,0.04627831074113306,0.000141520329634659,0.03540308400988579,0.03877303749322891,0.006305364891886711,0.007744689472019672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2402074337005615,0.2088966965675354,2.10016131401062,0.3357716500759125,5.634118556976318,1.6231253147125244,3.573272705078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.048214433088710935,0.2202838659286499,0.0,0.0,0.0,0.0,0.0,0.0482700077665052,0.22007210552692413,0.02108875454343151,1.50603646034142e-05,0.026310939887796782,0.06842394918203354,0.0012619178742170334,0.15375258028507233,0.007624125573784113,0.004859890066633997,0.0,0.0707363411784172,0.06119983643293381,0.013047381244598805,0.015895263468959763,0.021716024726629257,0.02022935077548027,0.08683382792517075,0.0981511011360904,0.0015062710290672258,0.005440124354710789,0.0020468410043542086,0.0019691685349892568,0.0015627428656443954,0.0017444310942664742,0.16937455014386749,0.16823062971083588,0.06917483936979049,0.06836463636021119,0.005073519889265299,0.005263353697955608,0.09258004127473998,0.05084148202085037,0.05094330310739685,0.00014483070117421448,0.04555109515786171,0.05092546343803406,0.011031863279640675,0.01478303037583828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6755307912826538,0.2988959848880768,2.768953323364258,0.4290964603424072,7.290887355804443,2.188081741333008,5.047086715698242
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.057706358684455415,0.3015857934951782,0.0,0.0,0.0,0.0,0.0,0.057786786432921754,0.30138081312179565,0.023779262527820512,4.7426372475456446e-05,0.03284374271283825,0.07397305220365524,0.0015681626973673701,0.20540018379688263,0.027758853510022163,0.005686407409739714,0.0,0.07095680385828018,0.060541700571775436,0.013018265681166534,0.015846976276631276,0.023403633385896683,0.021481147035956383,0.10265143067706314,0.11913586709202073,0.001420751188138271,0.005913100146617575,0.0020298576202423878,0.004369925798436489,0.0018371359910815954,0.002189882332459092,0.18798277456413817,0.18683343826990448,0.08416626330724686,0.08365777996075043,0.006834100000560284,0.006996947340667248,0.10711803733342193,0.05464322980740551,0.054765477807562565,6.735116039635614e-05,0.05476105213165283,0.06205394119024277,0.01659373939037323,0.022894510999321938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201073408126831,0.4156728684902191,3.3476638793945312,0.5256596803665161,8.85111141204834,2.820054531097412,6.560500144958496
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05486537503854629,0.31943264603614807,0.0,0.0,0.0,0.0,0.0,0.05494377592882683,0.31923747062683105,0.022510495198437425,1.23179706861265e-05,0.03318955993851021,0.06744533777236938,0.0015615385491400957,0.21918581426143646,0.049390554428100586,0.005100493987813854,0.0,0.05580154433846474,0.046444106847047806,0.012988537243063022,0.01587443556825051,0.021327931433916092,0.019463032484054565,0.09946712183853135,0.11835648264611709,0.0013708524523842202,0.005361526148841124,0.0021237709125550876,0.007594078076266461,0.0016511413914034676,0.0021330418530851603,0.17872934154380463,0.17813643439009919,0.08390237587007812,0.08376566304637573,0.004700073506683111,0.004853793885558844,0.10710452648315781,0.0521942127159734,0.052312006427189826,3.345161530887708e-05,0.05229634791612625,0.060112323611974716,0.01797281578183174,0.026434896513819695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2795112133026123,0.43482905626296997,3.2201955318450928,0.5141493678092957,8.794265747070312,2.9256436824798584,6.5826215744018555
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.051735377497787095,0.33520278334617615,0.0,0.0,0.0,0.0,0.0,0.051790669721372376,0.334977388381958,0.021939927252628822,0.0,0.033174607508284756,0.06543624401092529,0.001752115203998983,0.2302219718694687,0.06915854662656784,0.004670688127148676,0.0,0.043201297521591187,0.03368858993053436,0.012782653097282898,0.01572914381610656,0.019915033131837845,0.018083808943629265,0.09735754880850434,0.11762608291398163,0.0012990391503057343,0.005000049425761089,0.0023002413320308067,0.010008101639501419,0.0016067716028363157,0.0021068237256258726,0.17571754377552826,0.17458975839563934,0.08333249415624161,0.0829359771807141,0.0010875347070395947,0.0012612809659913182,0.10767256470127701,0.047319177689215945,0.04744272172736216,-3.3004136639647186e-05,0.04991487041115761,0.05782891437411308,0.017196521162986755,0.027301738038659096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4169411659240723,0.46525323390960693,3.1212046146392822,0.5216046571731567,8.663191795349121,3.0178463459014893,6.5508952140808105
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04907307013525917,0.3464656472206116,0.0,0.0,0.0,0.0,0.0,0.049094749520218736,0.34621283411979675,0.020934452712087975,0.0,0.032785204207900584,0.06650571525096893,0.00139614287763834,0.23530584573745728,0.07527434825897217,0.0042633493430912495,7.025301329122158e-06,0.033890508115291595,0.024491146206855774,0.012871908372986072,0.015747498769674066,0.01875009573996067,0.016830898821353912,0.09643179924728637,0.11526167390486847,0.0012925484436521327,0.004619945418813018,0.0024619013724292357,0.011795363042069264,0.0016936612600307703,0.0022704442963004112,0.1792556501590457,0.177768268434559,0.08229819771718795,0.08253400732187073,0.0007250042981468141,0.0009485973278060555,0.10915104893043656,0.044741850924445936,0.04486312534599423,-6.471872438851278e-06,0.048091255128383636,0.05552487447857857,0.015775952488183975,0.025159308686852455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35152268409729,0.5623575448989868,3.097320079803467,0.5413758158683777,8.610078811645508,2.872208833694458,6.665770530700684
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0471336059096257,0.35556933283805847,0.0,0.0,0.0,0.0,0.0,0.04713667871934593,0.35530421137809753,0.02046680551966316,0.0,0.033570787479581754,0.07697772234678268,0.0013022881466895342,0.23471489548683167,0.07130859792232513,0.004241517279297113,6.613522418774664e-05,0.028438067063689232,0.018514567986130714,0.012949708776895469,0.015942766757956993,0.018797509372234344,0.01666376180946827,0.09517002252773178,0.11265442669475784,0.0012655328696140435,0.004467814118334446,0.0025394364404286713,0.011812361119464493,0.001832937803263402,0.0024159520398825407,0.19497822525511016,0.19298917762099457,0.08209128759993302,0.08203244872811798,0.00032478771754540503,0.000516673200763762,0.1099657922891806,0.04111764530540576,0.04122900423977591,1.4411955817195121e-05,0.04675399139523506,0.053392041474580765,0.013852184638381004,0.021784894168376923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249438762664795,0.5486486554145813,3.119018316268921,0.5447496771812439,8.621459007263184,2.678471088409424,6.928937911987305
