Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02008324674712124,0.07262437045574188,0.0,0.0,0.0,0.0,0.0,0.020165475015209235,0.07256096601486206,0.004924578878096075,0.0,0.00266777268375623,0.04595569521188736,0.04237575829029083,0.030846159905195236,0.07561413943767548,0.0010593371269742382,0.00012060231529176235,0.0,0.0,0.046333834504943085,0.047858861858164445,0.0014357358450070024,0.0009982612682506442,0.023392940654807397,0.02553414066436291,0.005763503101998281,0.006798260259693232,0.0018405656442808385,0.0004359595768985529,0.0007053835433907807,0.0008686445653438568,0.016807644409702796,0.019254280260547752,0.0006540956513411344,0.0001997211284101826,8.909063035389408e-05,0.00021230759739410132,0.060581654319411316,0.037443528824681445,0.03742812296189959,0.0017210465157404542,0.007039941847324371,0.010127009823918343,-3.797356112045236e-05,-0.00015561368491034955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23512594401836395,0.1194477528333664,0.555891752243042,0.12538793683052063,1.3402893543243408,0.6825389266014099,1.75189208984375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03486897088158478,0.16271013021469116,0.0,0.0,0.0,0.0,0.0,0.0350163148319548,0.16259433329105377,0.01146351952005413,0.0,0.00422551787440659,0.11363723129034042,0.0684908926486969,0.10392649471759796,0.12901939451694489,0.0021968837053712676,6.903898611199111e-05,0.0,0.0,0.07416944655325927,0.07420282515888077,0.004511446692049503,0.0033908516634255648,0.04871736986806679,0.050477974081346286,0.004774424117545919,0.012577578424381486,0.001884103201402713,0.0005085264272308146,0.0012188395485281944,0.0014817581977695227,0.06862877125906738,0.07129585893234817,0.001925537413996661,0.001841581305997007,0.0,0.0,0.09254475311644966,0.04583544883798355,0.04580624453495382,0.0019327603513374925,0.014000458642840385,0.020133135840296745,-8.654787961859256e-06,-9.640699863666669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4777832627296448,0.22404637932777405,0.9995372891426086,0.2534120976924896,2.5202908515930176,1.254252314567566,3.973968982696533
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.046172851173817746,0.26260071992874146,0.0,0.0,0.0,0.0,0.0,0.04635209735546051,0.2624194622039795,0.024644335661995316,1.9017710656044073e-05,0.007934238207070808,0.20020243525505066,0.06186831742525101,0.18668273091316223,0.1223866418004036,0.00397142036032795,0.00021129066590219736,0.0,0.0,0.08436124921968201,0.08363682630560837,0.010338508524000645,0.007973229512572289,0.0830678716347641,0.08379941884142608,0.00312480589508667,0.016808169372061806,0.002010238277104044,0.0006300439310968625,0.0013805922353640199,0.0016976920887827873,0.17361171875983217,0.17559273316982757,0.009924407321450633,0.010985521845149136,0.0,0.0,0.12855523232139282,0.05797789583208576,0.05792920178437885,0.0016721902647987008,0.020557064563035965,0.028795722872018814,0.00013802063767798245,3.8286478229565546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7427440285682678,0.3161211907863617,1.366652488708496,0.3660810589790344,3.86663556098938,1.6057490110397339,6.175735950469971
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.056447034075668485,0.3627046048641205,0.0,0.0,0.0,0.0,0.0,0.05660944635393234,0.3624386489391327,0.03678977840519737,9.687042620498687e-05,0.015499694818889046,0.26213449239730835,0.0356113463640213,0.22836343944072723,0.07093526422977448,0.005260048177640019,0.00030836794758215547,0.0,0.0002919583348557353,0.05529933349904503,0.055403245964666295,0.017912933602929115,0.014162352308630943,0.10618030352636704,0.10425273921477997,0.0023547221781350675,0.01833155569379589,0.002286742547308821,0.0006057056640339115,0.0014894570922479033,0.0018911694642156363,0.3055875398317871,0.30738272443263,0.03544402699901337,0.03812902918319206,0.0,9.633410081733018e-05,0.16632359324426818,0.06943274814629097,0.0693612575522821,0.0014105741865932941,0.02890835702419281,0.03822973370552063,0.00028675730573013425,0.0007404705393128097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087418556213379,0.420895516872406,1.8807281255722046,0.4744130074977875,5.519632339477539,1.9215221405029297,7.805397033691406
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0657562341822734,0.4520050287246704,0.0,0.0,0.0,0.0,0.0,0.06586205350941406,0.45162585377693176,0.04472784020006363,0.00016341499576810747,0.02458246630380829,0.2826361656188965,0.015048014000058174,0.24499563872814178,0.030658593401312828,0.006235572476071339,0.00033692806027829647,0.02539369836449623,0.026112521067261696,0.015210925872379315,0.016952332801562543,0.023339325562119484,0.018848998472094536,0.11276723296511856,0.10869248512686036,0.002005119229156295,0.018006719124432486,0.002447155393552953,0.0007167361071872079,0.0016756460536271334,0.002257680520415306,0.43126565892349794,0.43302736877661074,0.0787168267022702,0.0830765378166426,0.0016124359099194407,0.002026354195550084,0.1965043663882544,0.073542016784339,0.07346295195941231,0.0011453571496531367,0.041167717427015305,0.05211562663316727,-0.00017987925093621016,0.0025565819814801216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6532084941864014,0.5520017743110657,2.5126967430114746,0.6277542114257812,8.304061889648438,2.3748178482055664,7.894700050354004
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.061733975883883206,0.4395190179347992,0.0,0.0,0.0,0.0,0.0,0.06183535063943436,0.43936166167259216,0.04190241561598465,0.00013588526053354144,0.03106434329052761,0.22884394228458405,0.0014967385213822126,0.2131698727607727,0.006188575178384781,0.0055590190158936025,0.00028965563978999853,0.07689888775348663,0.07496748119592667,0.013278538563599271,0.015719573460657874,0.02269180864095688,0.018724244087934494,0.09160545545717225,0.08831039961303222,0.0018748895121113451,0.01339242175824974,0.0022192608313041685,0.001128026890995689,0.001557152666419239,0.002321750158444047,0.4483730208050122,0.451783161594422,0.1096783970526152,0.11427829398585937,0.022542908787727356,0.022738568484783173,0.18527159991178865,0.06729066666578248,0.067234567551157,0.0006407094188034534,0.04679827764630318,0.05804380029439926,0.0013848618837073445,0.011314250528812408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.892066240310669,0.5878139734268188,2.609071731567383,0.650384783744812,9.306720733642578,2.517167568206787,6.399851322174072
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.057985259778613664,0.4284653961658478,0.0,0.0,0.0,0.0,0.0,0.05804848314524437,0.4283665418624878,0.04038102878878357,0.00012029744539177045,0.03448550363670082,0.19110652804374695,0.00041304383194074035,0.19294296205043793,0.0019446746446192265,0.005548787013608742,0.0002367195556871593,0.10745405405759811,0.10359175503253937,0.01292864951236829,0.015541738783913503,0.02238980121910572,0.01875852793455124,0.07555585358088135,0.07176667155514832,0.0016257701451626507,0.010739681488375053,0.001907340028318528,0.0016596452884149217,0.00146901711968786,0.0025046570226550102,0.4475550315923389,0.4513331555123004,0.13176328714358826,0.1372904511291928,0.039067912846803665,0.03920062631368637,0.17923086883230804,0.06474505100604039,0.06471756246226121,0.0006061300518922508,0.05261196568608284,0.06403498351573944,0.0074466983787715435,0.02256706915795803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0399768352508545,0.6210135221481323,2.5762991905212402,0.6593741178512573,9.81257438659668,2.532836437225342,5.767531394958496
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05417854323639824,0.41718849539756775,0.0,0.0,0.0,0.0,0.0,0.054201820770895845,0.4170902669429779,0.0371461207415155,0.00012009352212771773,0.03687185697853905,0.16209113597869873,0.00020288024097681046,0.1719997227191925,0.0009828556794673204,0.005777586251497269,1.5748142686788924e-05,0.12547947466373444,0.11746187508106232,0.013142247531291505,0.01534565258056763,0.02231970801949501,0.018933380022644997,0.0688767731332994,0.0658131725861753,0.001652736772720611,0.009083985929169446,0.001707308519529431,0.0020728936675317956,0.0014020555471848488,0.0023976508527994156,0.4312504239045825,0.4351315431280481,0.14192842033576783,0.1463141213765506,0.051279567182064056,0.05130242928862572,0.17792557773187775,0.0647493019893306,0.06473580937771917,0.0005241319304332137,0.057752825319767,0.06785016506910324,0.014119706116616726,0.02830962836742401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904710292816162,0.5940638184547424,2.6534271240234375,0.6796164512634277,9.997068405151367,2.555633783340454,5.76751184463501
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05057107655433815,0.4044593870639801,0.0,0.0,0.0,0.0,0.0,0.050557154589716796,0.4043020009994507,0.03566066277226097,7.044740050332621e-05,0.037964998354616086,0.13890686631202698,2.2517777324537747e-05,0.14912910759449005,0.0004896737518720329,0.0065557388588786125,0.0,0.13924500346183777,0.12597212195396423,0.013163205087502766,0.015418129803305779,0.02288753353059292,0.019653398543596268,0.067763754705943,0.06502920165742149,0.0016403045314958666,0.008054227457114848,0.0016682181360460342,0.0027736303621535064,0.001424488010960257,0.0023442471865564585,0.4058212071896576,0.4076358895665283,0.14202887647045837,0.14500560529950624,0.05617101117968559,0.05630332604050636,0.177508449545307,0.06496343013719788,0.06498185472015358,0.000386176718166098,0.06362226605415344,0.07263541221618652,0.015779519453644753,0.028036901727318764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739885926246643,0.5944608449935913,2.799558639526367,0.702860951423645,9.802802085876465,2.7334423065185547,6.000844478607178
