Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013174025336369896,0.0009729088051244617,0.0,0.0,0.0,0.0,0.0,0.013198187504575767,0.0009533441625535488,0.014269922680220338,0.0,0.012358454971084176,0.046171434223651886,0.0004302441666368395,0.020279258489608765,0.00011797955085057765,0.00041159555334433737,0.0001824613136705011,0.04147673398256302,0.04109419137239456,0.013208841482659198,0.016353410849821656,0.008209426887333393,0.008028431795537472,0.02378131427561552,0.026700513224327566,0.001709748046205419,0.002377788649191823,0.0018620445350250583,0.0007034718019351786,0.0007999896188266575,0.0008280596812255681,0.106014509467052,0.11069564521943008,0.018556381152236366,0.019376479575839347,0.0001773047843016684,0.00020779385522473603,0.059683956215029754,0.035065747360661655,0.035038100092095646,4.080307553522289e-05,0.01721452735364437,0.018372992053627968,0.007893407717347145,0.009883806109428406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768135666847229,0.1929880678653717,0.3052676320075989,0.16237801313400269,1.3851685523986816,1.467015266418457,1.045708417892456
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0229676648931538,0.013361874036490917,0.0,0.0,0.0,0.0,0.0,0.022974578437787857,0.013278355821967125,0.03160098601032284,0.0,0.022561343405218735,0.10444001108407974,0.0006331988843157887,0.04615293815732002,0.00030969054205343127,0.0006833086762774957,0.0003794475633185357,0.07404428720474243,0.07321561872959137,0.013088101001830311,0.01626672577914989,0.016616810113191605,0.015922345221042633,0.045914409293439866,0.048234518581935656,0.0016806612194849608,0.004389048087316026,0.002009014273309976,0.0010033968358326697,0.0015003294683992863,0.0014972512144595385,0.22315019185709747,0.2294592499860248,0.03779680228800049,0.03974637155937546,0.00046351057244464755,0.0005705226212739944,0.08071700857289726,0.03751306462954277,0.03746156167010902,0.0001004378791549243,0.03132933750748634,0.03319745510816574,0.015083176083862782,0.019633933901786804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5727041959762573,0.2893937826156616,0.6917899250984192,0.3144344091415405,3.02204966545105,2.3948745727539062,2.3537724018096924
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03176056727641784,0.037493765354156494,0.0,0.0,0.0,0.0,0.0,0.03178729821059643,0.03738512471318245,0.047872358863222504,0.0,0.03322574999603508,0.1541338413953781,0.0009558844030834734,0.07538013160228729,0.00041184292058460414,0.0009152257852901424,0.000548437878023833,0.10824712365865707,0.10665068030357361,0.0128885884503228,0.01614582388110469,0.025654995813965797,0.024486854672431946,0.06700150669078293,0.06909382048708648,0.0015242602095811757,0.0060838101801076695,0.002125532490277955,0.0014724329996631254,0.00238638068549335,0.002506992546841502,0.330759781942663,0.33871078267220034,0.061052039470014495,0.06420446863733444,0.0018739057704806328,0.0020286287181079388,0.10117533955491714,0.03966238407644049,0.039587671669966545,0.00012117594451410696,0.04602630436420441,0.0498538576066494,0.024195613339543343,0.03270521014928818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9340207576751709,0.3644755184650421,1.1393773555755615,0.4465959966182709,4.794445037841797,2.921207904815674,3.9198460578918457
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03890695174019638,0.07652456313371658,0.0,0.0,0.0,0.0,0.0,0.038953060455342255,0.07639644294977188,0.05758087315536331,0.0,0.04370747933748856,0.17451800405979156,0.0013908016262575984,0.10967569053173065,0.0006840106216259301,0.0009580182140572644,0.0005394003237597644,0.14888349175453186,0.14732813835144043,0.012814778418453793,0.016096396606994256,0.032377324998378754,0.03081277571618557,0.0782681934361113,0.07959766533363068,0.00136061600555107,0.007844967346092673,0.002172176468317192,0.001936763980912764,0.0035884666722267866,0.003896242706105113,0.40978075043359374,0.41932641640154783,0.08696008305980438,0.09182886904339295,0.007756846956908703,0.007967022247612476,0.12149524538250137,0.03804104927920837,0.03794618504971374,0.00012746857828460634,0.062003057450056076,0.06873436272144318,0.036247313022613525,0.04911714419722557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3404276371002197,0.4432995319366455,1.5671217441558838,0.5674784779548645,7.123647212982178,3.518950939178467,4.925515174865723
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.045466462923442384,0.12017133086919785,0.0,0.0,0.0,0.0,0.0,0.045522422965228425,0.12004516273736954,0.05934258989989464,0.0,0.05383068156192978,0.1654449999332428,0.0010284569580107927,0.13924354314804077,0.0010579015361145139,0.0011186038275631475,0.0004316851554904133,0.1968059092760086,0.1934722661972046,0.01280166924872888,0.016036081845637918,0.03634336590766907,0.03478575125336647,0.07674278170932022,0.07864536646307252,0.001287031660044337,0.008625111949559136,0.002146245222489802,0.003061653438543763,0.004910539835691452,0.005418728571385145,0.46106115657936647,0.47227368950109805,0.11581083860507935,0.12160067376387008,0.022122638300061226,0.022345056757330894,0.1428534507655432,0.03488155814600621,0.03479773621267988,8.86002162587829e-05,0.08116977661848068,0.09024287015199661,0.05221601948142052,0.06968679279088974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6968588829040527,0.6299660205841064,2.0392041206359863,0.7107883095741272,9.419941902160645,4.248155117034912,5.6041483879089355
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04411064076082107,0.13787750899791718,0.0,0.0,0.0,0.0,0.0,0.044172385878177185,0.1378941684961319,0.05058984847135231,0.0,0.05551207682689026,0.1301613748073578,0.0008435943746007979,0.14073260128498077,0.0011749829864129424,0.000741566559557134,0.0003821411810349673,0.2009761780500412,0.19865363836288452,0.012822952862324585,0.015981736150636014,0.03279813006520271,0.03125377371907234,0.06436103287240014,0.06799237947786796,0.001262535111310804,0.007860028526261787,0.002224552824451862,0.005488137942933255,0.005421000480919571,0.006160855293273926,0.41649407259334226,0.4290879778404547,0.12147626476797393,0.1278384102769055,0.04092344269156456,0.04092831909656525,0.143330866121391,0.034512785896210256,0.034428740512328714,0.00010156095231650397,0.08472391963005066,0.09440818428993225,0.058398064225912094,0.07734501361846924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6733300685882568,0.6498128771781921,2.1968061923980713,0.7176238894462585,9.452046394348145,4.288963317871094,5.437968730926514
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04224060345422707,0.1484011709690094,0.0,0.0,0.0,0.0,0.0,0.04232316480279709,0.14845676720142365,0.04510620562980416,0.0,0.055801022403342435,0.11027384549379349,0.0008283439092338085,0.14393292367458344,0.0013416423462331295,0.000744398626480031,0.0004650190530810505,0.2036866992712021,0.20082390308380127,0.012737939685657191,0.015612279687748129,0.02970113605260849,0.02826453186571598,0.05784618858044266,0.06346774177442666,0.0011969536232731206,0.006796052391181574,0.00221040372276441,0.007617578664026823,0.005935754856635694,0.006713083013892174,0.3930208645410236,0.4061684213871631,0.12322171057927628,0.1294779511291928,0.05566709488630295,0.05561164394021034,0.14446090163393616,0.03368174576288912,0.033616725530533374,7.146507414290681e-05,0.08773984760046005,0.09810788929462433,0.06546024233102798,0.08490345627069473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7578773498535156,0.6379826068878174,2.336146831512451,0.7370125651359558,9.101851463317871,4.4083356857299805,5.648261547088623
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04026515394105865,0.14912033081054688,0.0,0.0,0.0,0.0,0.0,0.04032445130745209,0.14919783174991608,0.04125975020185028,0.0,0.05623903774321419,0.09987503290176392,0.0007573256152682006,0.1466064602136612,0.0016464651562273502,0.0005973890656605363,0.0004937705234624445,0.20533300936222076,0.201538547873497,0.012719226236882096,0.015618942874557333,0.02773371711373329,0.026184167712926865,0.053755056127331315,0.060646187491628034,0.0011708734484812266,0.006215503551789312,0.0023790270801542987,0.009790501210404225,0.006289606150783205,0.007141788024455309,0.37792357873551513,0.39165326282218565,0.12306440708112533,0.12937187362817565,0.06901463866233826,0.06885800510644913,0.14492763427093644,0.0334690865671734,0.03339970153346516,7.517248741351068e-05,0.0887351930141449,0.0990930050611496,0.06927674263715744,0.08926229178905487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7988420724868774,0.626783013343811,2.396221399307251,0.734969973564148,8.752087593078613,4.480765342712402,5.870567321777344
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03751369191435974,0.14601129293441772,0.0,0.0,0.0,0.0,0.0,0.03753710853439987,0.14602547883987427,0.03877221149405129,0.0,0.0558538349172496,0.09634381532669067,0.0007297024130821228,0.14587442576885223,0.0020523807033896446,0.0005043355049565434,0.000403878977522254,0.2061329483985901,0.20068691670894623,0.012878855174230458,0.015649531128742088,0.026294540613889694,0.024773549288511276,0.0512111052675618,0.05796671807850113,0.0011343826858804908,0.005663875844993982,0.0024516059986575962,0.011890557756796932,0.006240100814173555,0.007065495941787958,0.37271505894670715,0.38691025189219663,0.12057607703102814,0.12663640745404725,0.07994172722101212,0.0797850638628006,0.146166934063835,0.03320961646392142,0.03313384003855355,5.2429139032028615e-05,0.0886949822306633,0.09863872826099396,0.07182174921035767,0.09120569378137589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.823946475982666,0.6038451790809631,2.4297921657562256,0.7219835519790649,8.548290252685547,4.423346042633057,6.156719207763672
