Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.024564901361331368,-7.980673399288207e-05,0.0,0.0,0.0,0.0,0.0,0.024616990168259658,-8.62809392856434e-05,0.006734751916489334,0.0,0.005611680431732712,0.016794517636299133,0.007085415534675121,0.004488177131861448,0.0015852802898734808,0.0003993283324625698,0.00020657188724726439,0.061800599098205566,0.05917365476489067,0.01326765049601251,0.016260478690289445,0.006087618414312601,0.006267465651035309,0.01192135190816284,0.014772425309033693,0.003655104509898734,0.002495613993396726,0.004188312613743444,0.002202619683921752,0.0022059432230889797,0.002156148897483945,0.04103599560038902,0.04463076592121994,0.006519769360536241,0.006535436513331242,0.0038768122904002666,0.003841860219836235,0.05500388518894295,0.034827415016209735,0.034806565958605006,0.00019071032875217497,0.03559369221329689,0.03881283849477768,0.020703697577118874,0.02262512780725956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2981971204280853,0.160048246383667,0.373496413230896,0.30821409821510315,1.689308524131775,1.0880553722381592,0.9703508615493774
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0470720756756102,0.00014715257566422224,0.0,0.0,0.0,0.0,0.0,0.04715137719867882,0.00012544309720396996,0.015594031064698963,0.0,0.011684639397831573,0.04905003309249878,0.009023441933095455,0.01818220503628254,0.0005939726252108812,0.0005447515676927043,0.00026631783111952245,0.12445636093616486,0.12000630050897598,0.013200097418138414,0.016156918940413486,0.014198648743331432,0.014506426639854908,0.018790044433084012,0.020895088987359298,0.003494864898289876,0.004644286352115144,0.0031751787045070793,0.0027071142324272537,0.003406008007004857,0.0033355150371789932,0.11291595364975723,0.11869284660896866,0.021170498272483254,0.022090415931814843,0.0043067182414233685,0.004284543450921774,0.07540797443397934,0.034574450484519605,0.03453335204079174,0.00022741578868590295,0.07042039930820465,0.07686106115579605,0.03898778185248375,0.044359929859638214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536264181137085,0.28836119174957275,0.7443927526473999,0.5585407018661499,3.327073574066162,1.9854406118392944,2.243351936340332
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.07056027039760315,0.00020992921781726182,0.0,0.0,0.0,0.0,0.0,0.07065632339630067,0.00012545318168122321,0.03047887787686577,0.0,0.019442324903337936,0.10002739727497101,0.010993868112564087,0.0364958718419075,0.0005539585254155099,0.000742189718009224,0.0004771985113620758,0.1896038055419922,0.18396912515163422,0.013059349587592237,0.016034587083866455,0.02498709224164486,0.025277074426412582,0.031594207514924436,0.03283498700422497,0.0023838209164667072,0.007156065143326835,0.002397341122811021,0.002634899534542184,0.00451556546613574,0.0045142765156924725,0.21182190214186647,0.2199078477871753,0.04235908409529678,0.04443895003162537,0.0005722683854401112,0.0006255023181438446,0.09676269221819572,0.03475414175533295,0.03469375829964225,0.00028616294730454683,0.10817282646894455,0.11783837527036667,0.05940231680870056,0.06827279925346375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8835508227348328,0.5757119059562683,1.0679957866668701,0.7876735329627991,4.683871746063232,2.8742055892944336,3.6439590454101562
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.09233572085182969,0.0006860917201265693,0.0,0.0,0.0,0.0,0.0,0.09247265214445205,0.0005747139221057296,0.04839719810462784,0.0,0.029835006768142127,0.15782809257507324,0.0089954175055027,0.05337434262037277,0.0005600567674264312,0.0011137434393978392,0.0005245566135272384,0.25808480381965637,0.25153809785842896,0.013054915527812122,0.016074670954080227,0.038181811571121216,0.03866550326347351,0.044260629249061434,0.04553350281107628,0.0020439975769855085,0.009611331901898595,0.002476616723011974,0.00223452550314625,0.005593777168542147,0.0057332818396389484,0.3308663167158661,0.3413927771135992,0.0699905661864447,0.07335258400301438,0.0,7.581197860417888e-05,0.12153578399152923,0.04237011414014835,0.04228791706182171,0.00042333215242251754,0.1411503255367279,0.15297150611877441,0.07828672230243683,0.09093369543552399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2089146375656128,0.8982137441635132,1.41653311252594,0.8788751363754272,6.273321628570557,3.576017379760742,4.989371299743652
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.11291763450041915,0.0012775817885994911,0.0,0.0,0.0,0.0,0.0,0.11309417473858581,0.0012347904266789556,0.06211545012890999,0.0,0.04104679655979355,0.19634069502353668,0.008451279252767563,0.07085245847702026,0.0008314098231494427,0.0012538816911550569,0.0006718640215694904,0.32577040791511536,0.3191566467285156,0.012909951818000857,0.016189085473567056,0.05029143765568733,0.051099419593811035,0.051906215410120166,0.05437361005247376,0.0017634849678275681,0.011324885708208962,0.002467851040079245,0.0025533587649072074,0.007223221007734537,0.007490956224501133,0.43335340101372316,0.44644389747839297,0.09964998539796799,0.10400834795725235,0.00043705248390324414,0.0004932875744998455,0.1453316852354338,0.04998157475390915,0.04992298598710797,0.0005103853764012456,0.17296117544174194,0.18748271465301514,0.09841462969779968,0.11503276228904724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750051736831665,1.0905876159667969,1.8587995767593384,1.0722661018371582,8.549202919006348,4.268345355987549,5.66218900680542
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.10851757216112015,0.003431686433032155,0.0,0.0,0.0,0.0,0.0,0.10868878865918685,0.003459127154201269,0.058631390494772645,0.0,0.043106662692626266,0.165117084980011,0.00660400465130806,0.07157737016677856,0.0007488085539080203,0.0012515958796965718,0.0004379645106382668,0.3323289453983307,0.3258182406425476,0.012849712961314638,0.016137490234243476,0.049897581338882446,0.050602491945028305,0.0462743610431765,0.04853196959818352,0.0016550778776597286,0.011257566852942448,0.002270790531007847,0.0037695858582935857,0.007013137400418015,0.007429648190736771,0.41443410626758237,0.4261547140617682,0.10918630110534958,0.11280051602794311,0.000511945690959692,0.0004756601119879633,0.144681440316776,0.04769116096561148,0.04767016153617811,0.00036848962190560997,0.17258089780807495,0.18666145205497742,0.10000600665807724,0.11723119020462036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5562329292297363,1.0272282361984253,2.0267744064331055,1.0876483917236328,9.124308586120605,4.21848201751709,5.188724994659424
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.10398324821125945,0.011275899596512318,0.0,0.0,0.0,0.0,0.0,0.10414271817804123,0.011326080188155174,0.051109741913774036,0.0,0.044243067108494946,0.13144196569919586,0.004708835389465094,0.07202073931694031,0.0006143955397419631,0.0011004472048764707,0.0001459084451198578,0.332520455121994,0.3260253071784973,0.012643886837658509,0.01590102306797246,0.047759462147951126,0.04825785756111145,0.041146954556752435,0.04273680487464542,0.0015925308695817965,0.010502880616585598,0.002091415861294833,0.004310127868480649,0.006978887362946634,0.007481453008949757,0.3801007531232532,0.39155246841856567,0.11391309674251099,0.11751378645491073,0.0022712007630616426,0.0021815046202391386,0.14425400646134018,0.043525820749065684,0.04350478254543829,0.0002856357314158231,0.17140552401542664,0.1856236606836319,0.10191041231155396,0.11941559612751007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5738831758499146,1.0353659391403198,2.167431592941284,1.0874016284942627,9.3301362991333,4.301713943481445,4.894555568695068
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10017771631135895,0.019164184108376503,0.0,0.0,0.0,0.0,0.0,0.1002996879617337,0.01914927549660206,0.04489061556711708,0.0,0.04381726213395935,0.11288384348154068,0.002768362406641245,0.07625981420278549,0.0005109651247039437,0.0010158115765079856,0.0001061990114976652,0.32682299613952637,0.31832364201545715,0.012639333064512757,0.015888729882267298,0.04518464207649231,0.045400552451610565,0.03975091317238575,0.041986379749986036,0.0016403366200932322,0.009939504434146672,0.002285401891116305,0.0054277979093917085,0.006973402277178669,0.007395303808152676,0.362329394336864,0.37389450594619383,0.1149388113327008,0.11844766099361222,0.006632569245994091,0.006561843678355217,0.1411401316244902,0.03409784999862375,0.03406608443064473,0.00019903593056369573,0.16879919171333313,0.18292346596717834,0.10434022545814514,0.12076351046562195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6219375133514404,0.9630895256996155,2.2288739681243896,1.0926015377044678,9.156778335571289,4.428945541381836,4.948819637298584
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09626177324084442,0.026764607056975365,0.0,0.0,0.0,0.0,0.0,0.09635185765606583,0.026666533201932907,0.04316982728441841,0.0,0.043899799307289045,0.10951633751392365,0.001578895258717239,0.08237788081169128,0.0004675592062994838,0.0009886008920148015,0.0,0.31959664821624756,0.30922430753707886,0.012800693363269139,0.015892785578484468,0.043586522340774536,0.04365323483943939,0.04206450430587662,0.04424276724541893,0.0016162999540696268,0.009522504993447456,0.0023067141212317617,0.006001617456004476,0.0066284846795300004,0.006908640265464783,0.36180815401087035,0.37291061095057676,0.11827630631817566,0.12150946923020843,0.008473778143525124,0.008441419340670109,0.13715097158233627,0.03353942506836951,0.033499724358316246,0.00015825577429495752,0.16432276368141174,0.17753344774246216,0.10692228376865387,0.12220387160778046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7418270111083984,1.0535763502120972,2.2218544483184814,1.0318702459335327,8.526089668273926,4.7726664543151855,5.118778705596924
