Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.019476810464724922,1.2524873227448552e-06,0.0,0.0,0.0,0.0,0.0,0.019505055551097907,-2.785861624943209e-06,0.00808568839635584,0.0,0.010379421508380948,0.02607370913028717,0.00025053531862795353,0.013260431587696075,9.969165694201365e-05,0.00039629791066817763,0.0001389588724123314,0.04451441019773483,0.042678024619817734,0.013175941623225088,0.01638246548934795,0.005695946514606476,0.0056778425350785255,0.013134543800183245,0.016159261596599223,0.0017153825914375882,0.002110161349428561,0.0018328348028915633,0.0006276077201985246,0.000667979009449482,0.000623040075879544,0.07348749485390045,0.07733049989376937,0.015698786401414776,0.01566706273933918,0.0003399737470317632,0.0003155645390506834,0.0621372405531464,0.035019474074672936,0.03499774108280553,1.4523148820444476e-05,0.019778039306402206,0.0203163530677557,0.009176366031169891,0.009039869531989098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31716689467430115,0.27091190218925476,0.20847801864147186,0.16708354651927948,1.3454371690750122,1.933910608291626,0.6747735142707825
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03540731258261551,0.00021169152751099318,0.0,0.0,0.0,0.0,0.0,0.03543378948925194,0.00016735422832425684,0.01857312243331459,0.0,0.018656468037338867,0.06801013648509979,0.00039625991485081613,0.029184561222791672,0.00023162893194239587,0.0006707031088147534,0.0002827933931257576,0.08895081281661987,0.08540670573711395,0.013006954765859648,0.016356999625731002,0.011956035159528255,0.0118666160851717,0.01803139837702799,0.02055767407820512,0.0017241632496515253,0.004098534583019485,0.0019445995311546263,0.0008328581973470741,0.0012890563812106848,0.0011625344632193446,0.16661734695601257,0.17270290256819337,0.032487600511019135,0.03246437152432793,0.0005994344828650355,0.0005947278114035726,0.08727330715664322,0.0349122466302059,0.034865235555964845,5.0736543926177546e-05,0.0386212095618248,0.039810799062252045,0.017283063381910324,0.017177628353238106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420208811759949,0.4781315326690674,0.48485738039016724,0.3427831530570984,2.891326427459717,3.4237136840820312,1.475447416305542
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0480660139011737,0.0003031420346815139,0.0,0.0,0.0,0.0,0.0,0.048084588312243805,0.00018573564011603594,0.03296918228732338,0.0,0.027221710797874908,0.12381000071763992,0.000496640510391444,0.04883386567234993,0.00021605807705782354,0.0010595540670391822,0.0004537083732429892,0.13412527740001678,0.12837852537631989,0.012818790931077614,0.016235656433580544,0.01904081553220749,0.018706858158111572,0.02681203932027283,0.028408768434946254,0.0015898319908872376,0.005948577485660629,0.002020830143261527,0.0010993854559735168,0.002022924367338419,0.001846594037488103,0.27944572602301576,0.2870995975983478,0.053695701267061156,0.05391563779078636,0.0006188722909428179,0.0006629152339883149,0.11021443608916931,0.03598140564041749,0.03591125974135753,8.43992893351242e-05,0.056918658316135406,0.058986734598875046,0.025882449001073837,0.026492593809962273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959844172000885,0.6018398404121399,0.8617926836013794,0.5075112581253052,4.832286834716797,4.261348724365234,2.558892011642456
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05962611113469902,0.0006424782914109528,0.0,0.0,0.0,0.0,0.0,0.05964685434820267,0.00047506834380328655,0.04626283028102707,0.0,0.03747314641836777,0.16707950830459595,0.0005048902239650488,0.07419668138027191,0.0005758000770583749,0.0015184601997836208,0.0005345508689060807,0.17903928458690643,0.17138448357582092,0.012800282571754801,0.016245533161676883,0.026213880628347397,0.02564563974738121,0.03497262185558209,0.03671716373551094,0.0015057387491120026,0.00775412940179369,0.0021448114898668415,0.0012848472590770315,0.00288162799552083,0.0027235615998506546,0.38404352442422485,0.39345424547640745,0.08161467891170257,0.08247797316174012,0.0008098318357951939,0.000886713620275259,0.13044016657800842,0.03658771597773869,0.0365158081512164,8.622217137599364e-05,0.07438813149929047,0.07704590260982513,0.03646557778120041,0.0390043631196022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2569161653518677,0.7172533869743347,1.1847217082977295,0.659963071346283,7.10867166519165,5.195008754730225,3.3344318866729736
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.071071143103992,0.0005765578825958073,0.0,0.0,0.0,0.0,0.0,0.07108202713316665,0.00037144095404073596,0.05650491707026665,0.0,0.049337523251278,0.18132001161575317,0.0005291906418278813,0.10009133070707321,0.0007254649535752833,0.0015369139976250338,0.000712534470949322,0.2314176708459854,0.22229403257369995,0.012589293133641925,0.016250066103790695,0.032022085040807724,0.03136686235666275,0.04059948624242035,0.04285333234370491,0.0013713653784494422,0.009350490231927319,0.0021222084635030346,0.001674948118215289,0.004137782845646143,0.003991072066128254,0.4637609191621454,0.4759986221716913,0.11522090163341492,0.11652319249403366,0.0008031441830098629,0.0009017236297950149,0.14816844909422897,0.0359729948618028,0.03591298547882936,7.379084854619578e-05,0.095138318836689,0.09861023724079132,0.051299966871738434,0.05719824135303497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5560332536697388,0.7986546158790588,1.5684109926223755,0.8247713446617126,9.90912914276123,5.806656837463379,3.9586150646209717
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06983534234420655,0.0005821314989589155,0.0,0.0,0.0,0.0,0.0,0.0698669126101451,0.00044520647497847676,0.05183187515802071,0.0,0.05211679882009819,0.13987025618553162,0.0006076553836464882,0.10273357480764389,0.0007768853101879358,0.0010918633479404091,0.0006275418563745916,0.24348539113998413,0.2344045788049698,0.012561106063503233,0.01626977321181798,0.030227746814489365,0.029682135209441185,0.03509852740069374,0.03821666497612942,0.00130060280513289,0.008562382651940327,0.0020349814486387598,0.0020978101484559106,0.00452468259659359,0.004548612982034683,0.42279166094173093,0.43507320804789795,0.12836136119875244,0.1306349111981549,0.0021478154230862856,0.0022176438942551613,0.14281337859545107,0.034796961764938454,0.034746420463296145,7.232695497805253e-05,0.09949629753828049,0.10426933318376541,0.061288610100746155,0.07010755687952042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5689337253570557,0.799077033996582,1.5998297929763794,0.7966285347938538,10.555793762207031,5.339539051055908,3.776150703430176
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06971921268832168,0.00045867240987718105,0.0,0.0,0.0,0.0,0.0,0.0697705598294809,0.0004229405603837222,0.04565379350135567,0.0,0.053793035053116986,0.10515329986810684,0.000575697747990489,0.10003180801868439,0.0008207379141822457,0.0008271787678634405,0.0004317101847846061,0.25074800848960876,0.24208194017410278,0.012451016611784733,0.016002655535676355,0.028347762301564217,0.027767274528741837,0.030281916295934908,0.035044771449671934,0.001166844779343055,0.0077609118917089555,0.0020066821991884596,0.0028684039685648345,0.004958391419221525,0.005111923441290855,0.37231447916695437,0.38501181232878295,0.13442809160220642,0.13742372711491058,0.012858523987233639,0.01276347041130066,0.139960162357527,0.03407191269624637,0.03403535697777967,9.335547656519338e-05,0.10500772297382355,0.10999520123004913,0.07187929004430771,0.08180472254753113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5617623329162598,0.7127014994621277,1.6358141899108887,0.7860592007637024,10.73410701751709,5.500148296356201,3.5401015281677246
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0691402441228862,0.0003203652158845216,0.0,0.0,0.0,0.0,0.0,0.06920498786369599,0.00026993543724529445,0.04002755455627952,0.0,0.05374954917133194,0.08369386941194534,0.0005629185470752418,0.0988502949476242,0.0006627498660236597,0.0006923034670762718,0.0003311982727609575,0.2551007568836212,0.2455742508172989,0.01253684495874535,0.01591159750400483,0.02694057486951351,0.02619537152349949,0.02963583917858368,0.035765200830909116,0.0011122740500098115,0.006728711184837608,0.001935010035070843,0.0036565555516012383,0.005380178038574362,0.005547217093408108,0.33240753483407165,0.3447658054514276,0.13081365910243806,0.13386129547265807,0.024846099317073822,0.024713722988963127,0.13810007122352738,0.033757568282134054,0.03371631782674089,8.13570586615242e-05,0.10967206954956055,0.11593944579362869,0.08287139236927032,0.0916624441742897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6676944494247437,0.8086002469062805,1.6412591934204102,0.8299790620803833,10.379531860351562,5.752676963806152,3.5216686725616455
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06823585553197067,0.00023618854174856097,0.0,0.0,0.0,0.0,0.0,0.06826259511095703,0.00012414305820129812,0.03535772961577065,0.0,0.05300422253221504,0.0712968036532402,0.00062368722865358,0.09595287591218948,0.000720225099939853,0.0006516716093756258,0.0002101120335282758,0.2569694221019745,0.24551351368427277,0.012696904840149265,0.015964100607829455,0.0253827515989542,0.024544015526771545,0.02830252384678257,0.035297741741783524,0.0011127336851799276,0.006385177262791786,0.002082488745372229,0.004306253673658228,0.0057537283097902295,0.005838707089424133,0.3165275186539673,0.3288750570183868,0.12532536022557006,0.12794894643548493,0.03547148406505585,0.035359833389520645,0.1362418889908026,0.03347738676535563,0.033423254727731194,4.5894084905739874e-05,0.11271786689758301,0.11797872185707092,0.09062367677688599,0.09711792320013046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8522268533706665,1.0292912721633911,1.5015902519226074,0.8205741047859192,9.09531021118164,6.910576343536377,3.4196786880493164
