Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011075149284765148,0.05326041579246521,0.0,0.0,0.0,0.0,0.0,0.01108118139641098,0.053209640085697174,0.01527676713373396,0.0,0.008778696397760688,0.0659087747335434,0.0017807446420192719,0.03970324620604515,0.0008941528503783047,0.0015695175542014075,0.0,0.008616454899311066,0.008600419387221336,0.013276332776180214,0.01628613580503689,0.008321335539221764,0.007461738772690296,0.041248197450690575,0.040963380384469034,0.0017346507460116807,0.003374522432004776,0.0019018703311046983,0.00039585507151083596,0.00011688602535286918,0.00018228570115752518,0.10330495682136871,0.1039381176296321,0.01245992867764225,0.012381399536934203,0.0,0.0,0.1346183121296225,0.10980316105970184,0.10981091113575395,2.832704922184348e-05,0.009368669241666794,0.00972082931548357,5.1066006562905386e-05,7.602015102747828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28835001587867737,0.21368388831615448,0.42843785881996155,0.1458221822977066,1.1025909185409546,1.2541112899780273,1.4830477237701416
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.018906265865448607,0.12545929849147797,0.0,0.0,0.0,0.0,0.0,0.018903389347178307,0.1253730058670044,0.03031596947361019,0.0,0.016310141440303936,0.1355762481689453,0.003321909112855792,0.07872535288333893,0.0016534237656742334,0.0026423740591120194,0.0,0.0163596011698246,0.015399022027850151,0.013253966898463788,0.016145015000819437,0.017744146287441254,0.016036219894886017,0.07446608839800645,0.07226320352585007,0.0017095592767654183,0.006334912030863037,0.0020408916769813637,0.000380104633469879,0.00019270087068434805,0.00030214752769097686,0.20653730447459015,0.2063215911515674,0.023872635727827454,0.02404062030422085,0.0,0.0,0.24774120749243195,0.1952539742357611,0.19526613648752808,7.423067290801555e-05,0.01756015419960022,0.01838790439069271,0.00013739077257923782,0.00013819581363350153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531731903553009,0.3028257191181183,0.8762097358703613,0.27879709005355835,2.048309564590454,2.383763074874878,3.4359710216522217
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.024416583998739357,0.2120286226272583,0.0,0.0,0.0,0.0,0.0,0.024403599613046036,0.2119060754776001,0.04710576862560501,0.0,0.02383486312302826,0.20910324156284332,0.004912244621664286,0.11683227121829987,0.0016878948081284761,0.004185045269848099,0.0,0.024753103032708168,0.022131159901618958,0.013226654077470243,0.015842652000445042,0.028976120054721832,0.026369009166955948,0.1105574443982071,0.10674217793804855,0.00169913844382862,0.009823698959926682,0.002112455295242661,0.00035190565199691383,0.00019025102665182203,0.00039139590808190405,0.3143933001616571,0.31288504376534,0.034320697392759246,0.034716828971730805,0.0,0.0,0.3696722329012268,0.28819062711896914,0.2882125347729987,0.0001055708562489599,0.025289785116910934,0.026585083454847336,0.00025590945733711123,0.00024333687906619161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056342363357544,0.33347442746162415,1.328997254371643,0.4043149948120117,2.839663028717041,3.123002767562866,6.0122575759887695
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.029042982801607286,0.30863961577415466,0.0,0.0,0.0,0.0,0.0,0.02901022898377987,0.3084668219089508,0.06529321500039886,0.0,0.03161857145491734,0.2788187861442566,0.005612234119325876,0.152013897895813,0.001394724939018488,0.005939400964031992,0.0,0.03414185345172882,0.02906743250787258,0.01333908850070919,0.0156578370685423,0.04150258004665375,0.0380571112036705,0.14565153492733368,0.14131343212115965,0.0017148192119216547,0.013805843933871003,0.0022625590395329333,0.0003787814832970244,0.0001321359013672918,0.0004434773582033813,0.4238194026152191,0.4207322813555426,0.046064248494641725,0.046339263527197645,0.0,8.229852028307505e-06,0.49675833283395937,0.3838640392198517,0.38388045430101564,0.00013078712800052017,0.033143121749162674,0.034155525267124176,0.000305379246128723,0.00015146887744776905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8584837913513184,0.3787465989589691,1.7519042491912842,0.52015620470047,3.399221897125244,3.5763278007507324,9.170454978942871
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033221087260400316,0.4095512628555298,0.0,0.0,0.0,0.0,0.0,0.03313287111705528,0.40932324528694153,0.0828111774474353,0.0,0.039578808664781646,0.3380565643310547,0.006727613043040037,0.18695560097694397,0.0018539108568802476,0.007803131327164392,0.0,0.05023590475320816,0.041435860097408295,0.01358654318930335,0.01551228813445642,0.05437806621193886,0.049970708787441254,0.17711675764191834,0.17314802411497376,0.0017920639107020147,0.01815874077093212,0.0024912166429078074,0.0006255091137966161,0.00011376354814274237,0.0005559286219067872,0.5258879430974633,0.5196889161990198,0.057767913753900224,0.057784424393295133,0.0,1.7607957488507964e-05,0.6224252700709632,0.47565330866971495,0.4756957888913562,0.00018428414477966726,0.042669665068387985,0.04267829284071922,0.0004178134840913117,0.00029809310217387974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018796682357788,0.5654972791671753,2.18041729927063,0.6458606719970703,4.0378241539001465,4.239097595214844,11.876632690429688
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03067660319463608,0.42170020937919617,0.0,0.0,0.0,0.0,0.0,0.030572612009258766,0.4214531183242798,0.08058263377613709,4.2603387555573136e-05,0.04086973390181854,0.30590012669563293,0.005157707259058952,0.18420913815498352,0.0013057191390544176,0.00894035652072754,0.0,0.06167178601026535,0.05123826861381531,0.013674245447463748,0.015460572230651767,0.05479391664266586,0.050504785031080246,0.17067428010602936,0.16802593465770232,0.0017860215333364027,0.018030039376095278,0.0024649258567358313,0.0007928125952219222,2.533982019518249e-05,0.0005694180144928396,0.5164671551357617,0.5090636722584082,0.06196535947236351,0.06110454707218788,0.0,0.0,0.6241092324486768,0.47529408630346254,0.4753317713721008,0.00015858799451962113,0.04544884338974953,0.04510964825749397,0.0003608791157603264,0.0005586298066191375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103479266166687,0.7943931221961975,2.303591012954712,0.6477419137954712,4.443347930908203,3.969386100769043,11.378870010375977
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0291886875404068,0.42162904143333435,0.0,0.0,0.0,0.0,0.0,0.029052242797620545,0.42138904333114624,0.07453227742264511,2.612598291307222e-05,0.04200711061845512,0.2606145739555359,0.004415619187057018,0.18373948335647583,0.0010340739972889423,0.009593856231290627,0.0,0.07905730605125427,0.06765755265951157,0.013526498374894298,0.015309885068536574,0.0524149127304554,0.04825770854949951,0.1572621539587271,0.15409728588353272,0.0017857390291259525,0.0177346330047649,0.002470099974069696,0.0008079273944493795,1.4250415005162702e-05,0.0006566334050148726,0.4955063722676929,0.4867633186573657,0.07055500920283814,0.06814411600422332,0.0,0.0,0.6174622327248633,0.4636390089636658,0.46373254951374815,0.00015079886361490935,0.05182252824306488,0.05089613050222397,0.0005233398987911642,0.0013081462820991874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1793874502182007,0.8073585629463196,2.5163068771362305,0.673964262008667,5.549613952636719,3.9809703826904297,9.833043098449707
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.028899323042773744,0.4106023907661438,0.0,0.0,0.0,0.0,0.0,0.028735408465063936,0.4104240834712982,0.0687216664101175,0.0001729148643789813,0.04364258699715477,0.21664932370185852,0.002543180249631405,0.18149060010910034,0.000963047903496772,0.011297482065856457,0.0,0.10209126770496368,0.08785288780927658,0.013533449520551076,0.015186532044158312,0.04934420436620712,0.04532055929303169,0.1435227915787912,0.14046318826815735,0.001689617444989646,0.016098201853015214,0.0024538327137849023,0.0009054125717688722,0.00015520565731784106,0.0008376017212867737,0.4725964076482501,0.4632192783041345,0.08377693680000121,0.07998204190639298,0.0,0.0,0.6049497484882178,0.45403530599619324,0.4541532397636664,0.00015202551730908453,0.06145043298602104,0.059460557997226715,0.0007163517293520272,0.0024655587039887905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2582945823669434,0.8688401579856873,2.737347364425659,0.7077558040618896,6.720491409301758,3.935046672821045,8.368858337402344
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.028868902457038575,0.39458999037742615,0.0,0.0,0.0,0.0,0.0,0.028751423010055427,0.3945227563381195,0.06357102570136673,0.00018379509856458753,0.04610337184876434,0.18126125633716583,0.0010280624264851213,0.18804536759853363,0.0007590653258375823,0.011140883900225163,0.0,0.11906306445598602,0.10511884093284607,0.013588319704021606,0.015176449674340252,0.04528096690773964,0.041560396552085876,0.1307505234880818,0.12889006882990112,0.0016219728254085288,0.014578146748909148,0.0023025750181199507,0.0011799194492963017,0.0002886885592291117,0.0011283218627795577,0.4577078253270172,0.44955190233050535,0.09976868413580643,0.09610650606873992,0.0,0.0,0.5891654550937842,0.44147869941667783,0.4416201740634821,0.00010173648479394615,0.06837532669305801,0.06749550998210907,0.0031872717663645744,0.011252449825406075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3604912757873535,0.9849771857261658,2.968080759048462,0.7150328755378723,7.541213512420654,3.7932024002075195,7.321862697601318
