Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.028493229294285202,-0.00015066862397361547,0.0,0.0,0.0,0.0,0.0,0.028566796262429275,-0.00015935230476316065,0.004626696283927889,0.0,0.006024901971662221,0.013184191659092903,0.006016118917614222,0.003616775618866086,0.0007105610566213727,0.00039581535460728976,0.00039992760866880417,0.044129300862550735,0.04222948104143143,0.013133489168134263,0.016393204955581595,0.0041005308739840984,0.004227095283567905,0.011272046149165042,0.014321575659537317,0.0020880884452436983,0.002226528009650972,0.001955724440969613,0.0006997787295770323,0.001217528828419745,0.0011304703075438738,0.03594043363408901,0.03944803774987137,0.005294832908773327,0.004889056107458181,2.4986027710838243e-05,7.611274486407638e-05,0.0627577807846127,0.03511714343012779,0.035097314730991,1.593256092746742e-05,0.02747097983956337,0.029804956167936325,0.018917983397841454,0.017059173434972763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4538247585296631,0.2689138948917389,0.35150638222694397,0.21016983687877655,1.141943335533142,1.7653993368148804,0.7158085107803345
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.058681209008577956,-0.00015536499267909676,0.0,0.0,0.0,0.0,0.0,0.058765357134324875,-0.00016489505651406944,0.01269601691413906,0.0,0.011171506736250534,0.05438494682312012,0.013412130065262318,0.019024400040507317,0.003145087044686079,0.000676575097647704,0.00033904268639162183,0.08178694546222687,0.07735023647546768,0.012950142597236793,0.016366736676008183,0.00876662041991949,0.008768336847424507,0.013841370896082998,0.016301204182141912,0.002220567069503801,0.004805693401860466,0.002069790747438919,0.0008230085880056017,0.002325480105355382,0.0020920238457620144,0.1059510167973021,0.11154742689213364,0.01250154006302824,0.011187331281179123,0.0004081282822880894,0.00040781163261272013,0.0926294252396434,0.035022110010408926,0.03498137313993773,0.00010139941878151149,0.05520441383123398,0.05792760103940964,0.03405781835317612,0.03010360524058342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8873769640922546,0.48148012161254883,0.6940587759017944,0.4038335382938385,2.4082283973693848,3.2807669639587402,1.5698001384735107
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08876282855743134,9.217643673764542e-05,0.0,0.0,0.0,0.0,0.0,0.08886486437234818,-1.6430854884674773e-05,0.030442772363293076,0.0,0.018235381138055305,0.13968273997306824,0.018753431737422943,0.04208442568778992,0.0020827846601605415,0.0011132195513409281,0.0006457514828070998,0.11590593308210373,0.10909862071275711,0.012643593496931657,0.016347402467816238,0.016861585900187492,0.016538672149181366,0.03066955507258835,0.032049684633438304,0.002209418016892219,0.008386256582717019,0.00212662755100272,0.0008509571964629698,0.003424358321353793,0.0030537950806319714,0.2273603561976526,0.23568691089275848,0.02302969081276409,0.020845274686442948,0.0005413992330431938,0.000687887892127037,0.12555623207009964,0.0354169318428503,0.03536335102917906,0.00019798708672169596,0.0813169777393341,0.08511672914028168,0.0418463870882988,0.03671291097998619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2696799039840698,0.6020994186401367,1.176987886428833,0.6108386516571045,4.08071231842041,3.9431045055389404,2.793030261993408
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11267016579191987,0.000366802210919559,0.0,0.0,0.0,0.0,0.0,0.11276810074569793,7.987022399902344e-05,0.0565730889973719,0.0,0.026306639040147208,0.2414872646331787,0.018191151320934296,0.06519263237714767,0.001604220480658114,0.0017160081533594703,0.0006817255052737892,0.14740338921546936,0.13708671927452087,0.01259198385965909,0.01630244849610275,0.029658516868948936,0.028634941205382347,0.05785330830260643,0.057788139545800324,0.0018843806456439198,0.01211456120704672,0.0023009713809152878,0.0008017891280099493,0.0042816405184566975,0.0038424297235906124,0.371252367655426,0.3802056826636023,0.03578996118141884,0.033633218465847776,0.0003278989752288908,0.0006816606619395316,0.15867567656965423,0.037509547676826904,0.03744727810762931,0.0002684974460862577,0.10277228057384491,0.1076180562376976,0.04578690975904465,0.040843162685632706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6561883687973022,0.641692042350769,1.666177749633789,0.7413144111633301,6.088131427764893,4.267147541046143,4.2797441482543945
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.13129166777268556,0.0010403585620224476,0.0,0.0,0.0,0.0,0.0,0.1314146904904245,0.0006389689515344799,0.08420000292360488,0.0,0.03721823748896797,0.3386112153530121,0.020754175260663033,0.09308754652738571,0.0020913921762257814,0.0021885896233292627,0.0007375162676908076,0.17802681028842926,0.16520395874977112,0.012515216463652772,0.01630554557163715,0.0443761833012104,0.04285323992371559,0.08502697796691147,0.08533332798183701,0.001723085016723959,0.016635676321502608,0.002385743255387047,0.0007233935356446096,0.005433862097561359,0.004945314023643732,0.5015170641626031,0.5124502897189173,0.05076821249237984,0.04914568480741867,0.00024614573339931667,0.0007771283271722496,0.18773553966515563,0.04267418407150988,0.042623162300627446,0.0002672254922799766,0.12236402183771133,0.12811455130577087,0.05016040802001953,0.04570756480097771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9070618152618408,0.6973985433578491,2.1823792457580566,0.9288396835327148,7.829430103302002,4.919706344604492,5.700943946838379
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.12335465091125367,0.0013833069242537022,0.0,0.0,0.0,0.0,0.0,0.12346811050853301,0.0010100030340254307,0.08213420973486588,0.0,0.040312560858329086,0.3164146840572357,0.020615898072719574,0.10200997442007065,0.0023886316921561956,0.001953733705707157,0.0004921496147289872,0.18231508135795593,0.16847023367881775,0.012711997608266232,0.016288952868919612,0.04778920114040375,0.046122826635837555,0.08429323959251389,0.08491721894467819,0.0016779071259968037,0.017199001616314394,0.0024185909870418666,0.000698464889040925,0.004889515642344446,0.004463698249310255,0.4837763022552838,0.49356422944262757,0.05807266580375961,0.056771721530691606,0.00022219181118998677,0.0007432234124280512,0.18004558386717195,0.044090517017890955,0.04407087638809395,0.0002518081746529788,0.11861599236726761,0.12380493432283401,0.046693067997694016,0.044326115399599075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7824523448944092,0.6186164021492004,2.194438934326172,0.925560712814331,8.377105712890625,4.562777519226074,5.686479091644287
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.11625857148301086,0.009552611038088799,0.0,0.0,0.0,0.0,0.0,0.116359993976362,0.009241270832717419,0.07198639913151504,0.0,0.04388125946412773,0.2560219168663025,0.0215164702385664,0.10688015818595886,0.002665698528289795,0.0018477443968688727,0.00040704786079004407,0.1858181357383728,0.17061260342597961,0.012579611843002065,0.016122270823662008,0.045670829713344574,0.04430430009961128,0.067335374688555,0.06942130328904267,0.001529139614556161,0.015856434768537864,0.0023778295974432938,0.0010797661931027137,0.004671934756060009,0.004346813540905714,0.4239954016751941,0.433658679604021,0.06514578338134308,0.0637443171937413,0.0002935302327387035,0.0007316970732063055,0.17527745665712952,0.04009180903639536,0.040084133914729835,0.0002599358558654785,0.11541837453842163,0.12073824554681778,0.04540358856320381,0.04460270702838898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8248562812805176,0.5681775808334351,2.1131973266601562,0.9191876649856567,9.070632934570312,4.35048770904541,5.282845497131348
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10896014779462769,0.015310840681195259,0.0,0.0,0.0,0.0,0.0,0.10910106627146042,0.015078255906701088,0.057812414541392666,0.0,0.045114397040012896,0.19575639069080353,0.021727794781327248,0.11120891571044922,0.0038444881793111563,0.0016849747626110911,0.00020836711337324232,0.18009644746780396,0.16567978262901306,0.012552321298940515,0.01607464550047088,0.04141847789287567,0.040082525461912155,0.05707220734598404,0.06116848809263359,0.0013791655321795514,0.013850618731953888,0.0021466601623830114,0.0012777561229035629,0.004541044291652346,0.00423395773395896,0.36328426074616577,0.37287526652053465,0.06871332314681823,0.06799980212358277,0.0005981624126434326,0.0008879530359990895,0.16834936139181275,0.035014016666217396,0.03499927282272696,0.00021628975810017437,0.11065676063299179,0.11649537831544876,0.045209795236587524,0.04542539268732071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9447294473648071,0.5417767763137817,2.107612371444702,0.9212591648101807,9.363004684448242,4.272088050842285,5.230731964111328
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.1009218133809964,0.0073744915425777435,0.0,0.0,0.0,0.0,0.0,0.10106254684311569,0.007086978759616613,0.049030334772669146,0.0,0.04511758180469505,0.1594531238079071,0.0215837974101305,0.11176406592130661,0.0037233761977404356,0.0014068681048229337,9.63985894486541e-06,0.1753644496202469,0.16123555600643158,0.012582589083203394,0.016177569491714526,0.037702642381191254,0.03635922819375992,0.055028618852652436,0.06060673445547333,0.0012997230601043787,0.01267698302931467,0.002012868141036433,0.001255339464787847,0.0046718900372782705,0.004462970420718193,0.3281798690796875,0.33825650028048704,0.06857490621699082,0.06855285831216339,0.0013673126231878996,0.0016706991009414196,0.1619752555994223,0.033621555536285895,0.03359703869797123,0.0001358175213681534,0.1065245270729065,0.11351585388183594,0.04303092509508133,0.04363953694701195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011584520339966,0.5224480628967285,2.170759677886963,0.9192997217178345,9.49240779876709,4.111368179321289,5.30584716796875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.09377184737119659,9.179353946819901e-05,0.0,0.0,0.0,0.0,0.0,0.09384139316538391,-0.00033215523581020534,0.043006431890369644,0.0,0.04466233294229004,0.13853687047958374,0.0160788893699646,0.104681596159935,0.0021505546756088734,0.0015012782532721758,0.0,0.18196412920951843,0.16437849402427673,0.013077929967510222,0.016237409687735457,0.0355655737221241,0.0342082716524601,0.05413145866486435,0.060806458406949995,0.0013024819773411322,0.012163707581126861,0.002013296773226744,0.0010894809714650005,0.004082883721471023,0.0036824955604970455,0.31779594940596373,0.32662271562531064,0.07117548546645203,0.07046180174756897,0.0021904564928263426,0.002576970960944891,0.15800988969039367,0.03305059614449125,0.033026070013497805,6.803512223996222e-05,0.10526705533266068,0.11079271137714386,0.043518487364053726,0.042187176644802094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.056825637817383,0.5339269042015076,2.2640013694763184,0.851473867893219,9.225353240966797,4.37803840637207,5.351080417633057
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.09047126292010026,0.00019318581325933337,0.0,0.0,0.0,0.0,0.0,0.09045165700234238,-0.0003423166344873607,0.04176645393496475,0.0,0.04451275059296181,0.13812755048274994,0.01014699973165989,0.09690982848405838,0.0010499394265934825,0.0021086162887513638,0.0,0.2005414068698883,0.17742404341697693,0.0134717488573639,0.016290379463552943,0.034785665571689606,0.03341164439916611,0.05514900011788277,0.06260491761344955,0.0014534799420389578,0.01170023730048296,0.0020449460008011926,0.0010509742448913091,0.003655516000842395,0.0031226250514050534,0.3320100300309784,0.33957378413499817,0.07778477045761033,0.07574938150503312,0.008653356693685055,0.009081266820430756,0.1537380173769835,0.03272995410938617,0.03272464394318785,0.00010611295874696225,0.10922449082136154,0.11276251077651978,0.050885945558547974,0.048230722546577454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042475938796997,0.560773491859436,2.298722743988037,0.8434412479400635,9.032668113708496,4.479184150695801,5.360121250152588
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.09087611192765274,0.0006386041641235352,0.0,0.0,0.0,0.0,0.0,0.0907813931177301,7.849216490285471e-05,0.0434945998991758,0.0,0.044700992495606995,0.16118861734867096,0.006256630644202232,0.09570544213056564,0.0007513153832405806,0.003537866286933422,0.0,0.2250506579875946,0.19649150967597961,0.014045759166250638,0.016451488770200095,0.03573475778102875,0.03415888175368309,0.056525070199219055,0.06416433603040604,0.0016620155452783418,0.01151016815486536,0.0022036035840256943,0.0011236832424855923,0.0033926080872617244,0.0027994214805893373,0.3695058407156134,0.37582089121773865,0.08877389953999436,0.08511544289451324,0.01778528466820717,0.018104227259755135,0.1498828351585614,0.03265549960983104,0.032671991614415606,7.314681715797633e-05,0.11962877213954926,0.12149375677108765,0.06166238710284233,0.05875476822257042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0465474128723145,0.5876199007034302,2.343454360961914,0.8441616892814636,8.860172271728516,4.48643684387207,5.352112770080566
