Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,-0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009960873046979332,0.06945700198411942,0.0,0.0,0.0,0.0,0.0,0.009999605756865062,0.0694567933678627,0.003151702049187155,7.109637226676568e-05,0.002628910862816302,0.0029307380318641663,0.003395701991394162,0.00037161921500228345,0.00993027351796627,0.0024895934774058293,0.0,0.009819578379392624,0.006524723954498768,0.01315640560427143,0.01634131660573722,0.0015502426540479064,0.0010056343162432313,0.018780389584057637,0.020019770386838914,0.006356163260870885,0.0020589771412962343,0.002296240057668735,0.00042123357165134087,0.00021847241441719234,0.0003215399046894163,0.015404593912528533,0.015645185491785164,0.0008452166060372234,0.00030382301974854215,0.0,0.0,0.10950140655959228,0.07493807602413932,0.07497558744438584,0.000596291502006352,0.00813878234475851,0.009762088768184185,-8.849024743540213e-05,-0.00016436338773928583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2939436137676239,0.10320432484149933,0.8706805109977722,0.13086533546447754,1.461745023727417,0.8087049722671509,1.25626540184021
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.019079003851297988,0.1490565687417984,0.0,0.0,0.0,0.0,0.0,0.019140871015769806,0.1490207016468048,0.00794441752035406,0.00017493909399490803,0.003290093988003149,0.03687918558716774,0.013230741024017334,0.03524451702833176,0.03346553072333336,0.005799456771389789,0.0,0.014610719867050648,0.007573238108307123,0.013411423292399506,0.016608252557506527,0.0037508420646190643,0.002426007529720664,0.03480539618304062,0.033346675300905,0.007354663089405136,0.0043929400843553445,0.0023325401579061414,0.0006898928334264079,0.0004475890309549868,0.0006226456025615335,0.07031982953715119,0.0675438359507045,0.005095478082154894,0.0036519570234655667,0.0,0.0,0.18812127412565643,0.11777150485585922,0.11784846480707764,0.0008129301713779569,0.020234528928995132,0.02341177687048912,6.194138404680416e-05,-1.5738725778646767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719140768051147,0.18448400497436523,1.5819873809814453,0.2736033499240875,3.019045352935791,1.3908555507659912,2.75163197517395
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.028719124792754288,0.24329333007335663,0.0,0.0,0.0,0.0,0.0,0.02879920747194229,0.2432081401348114,0.024821536545622254,0.00033473773510195315,0.0061155119021522805,0.1263885200023651,0.013567988760769367,0.1104658991098404,0.027505848556756973,0.0097300392962706,0.0,0.02179550565779209,0.012462040409445763,0.014440939516816229,0.017408111184793625,0.009360267780721188,0.006516413763165474,0.07038844377259675,0.0643209189520523,0.004819182475503826,0.0071899620254138276,0.002397727738094808,0.0010094634092190076,0.0004804043855983764,0.0007318607531487942,0.2150140884974573,0.20713412537697326,0.03115051818960659,0.029318194150554276,0.0,0.0,0.2717249185196274,0.16815786959829346,0.16826595066750702,0.0006583671201951802,0.03594373166561127,0.0403309166431427,-2.776980363705661e-05,-6.150412809802219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992642343044281,0.2606150805950165,2.179847478866577,0.41664770245552063,4.363015174865723,1.646843671798706,4.600524425506592
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03947188456337753,0.3471136689186096,0.0,0.0,0.0,0.0,0.0,0.0395400432718,0.3469242751598358,0.05562905200696777,0.00040512910345569253,0.013725830788051034,0.23171491920948029,0.004700534977018833,0.15003885328769684,0.006765230093151331,0.012970315967301903,0.0,0.05958161503076553,0.04931697994470596,0.013053307599387049,0.015918129664609603,0.021861296147108078,0.017171170562505722,0.11472445054098496,0.10177191939342224,0.0026718524741604927,0.00966552369987032,0.0024293573701435513,0.0010802870867985975,0.0003659143403638154,0.0007940633222460747,0.4078379668394623,0.394642166046781,0.07476852666570419,0.07371866828064423,0.0,0.0,0.3542933076474207,0.22355476919555206,0.22368321120657136,0.0004913158481940627,0.052880655974149704,0.05780475586652756,-4.298210114939138e-06,0.0005349597777239978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3475360870361328,0.32954561710357666,2.7233033180236816,0.5455688834190369,5.97106409072876,1.8447105884552002,6.6696624755859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04967787752882149,0.44500115513801575,0.0,0.0,0.0,0.0,0.0,0.04974436524099098,0.44475170969963074,0.08410237796604339,0.0003066487261094153,0.023509752198559837,0.3113476037979126,0.0006905007176101208,0.1645180732011795,0.0011681776959449053,0.014903061058503609,0.0,0.11869723349809647,0.10722777992486954,0.013167492152133357,0.01582402080498151,0.03806992247700691,0.032201576977968216,0.15538925529587952,0.13876037600935243,0.0022129100430307485,0.011958461661752148,0.002453020193739781,0.0010976004449723773,0.00024137079890351743,0.0009237572667188942,0.576313412972799,0.560305905334762,0.1206625076781842,0.12068870779764541,0.0,0.0,0.42633939980500246,0.27167621556916716,0.27186252179865145,0.0003352856729179621,0.07403530925512314,0.07939468324184418,0.00033167123910970986,0.003864769823849201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7233407497406006,0.40301385521888733,3.3235039710998535,0.6900569200515747,7.954693794250488,2.3118622303009033,7.9336419105529785
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04881434502856132,0.446339875459671,0.0,0.0,0.0,0.0,0.0,0.048835715449662705,0.4461522400379181,0.08712448195881531,0.0002485120203346014,0.029426752241452483,0.2865806519985199,0.00037718654493801296,0.16019700467586517,0.0007521911174990237,0.015226462593093777,0.0,0.1575479805469513,0.14226064085960388,0.013230149138098043,0.01563783530916439,0.043381258845329285,0.03777927905321121,0.15128788429399476,0.136882835588107,0.0019181782293905558,0.011855865238681774,0.002219875649722567,0.0012844500552944469,0.00020118496372593313,0.0010806095087900758,0.579469681895863,0.5641795508404089,0.13849380808386139,0.13743797673656127,0.0,0.0,0.4169873833886182,0.2672631323001285,0.2675005227310867,0.00027793587651103735,0.08446919173002243,0.08934079110622406,0.0027916477993130684,0.01172112300992012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7742767333984375,0.41685163974761963,3.2467100620269775,0.7248690128326416,8.849199295043945,2.353628396987915,7.015404224395752
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04739998895656548,0.43775951862335205,0.0,0.0,0.0,0.0,0.0,0.047403626304872284,0.4376157522201538,0.07683046861241104,0.00028060332988388836,0.03419505020271034,0.23007915914058685,0.0002964305749628693,0.1591990888118744,0.0006999951438046992,0.016242555052954483,0.0,0.18367038667201996,0.16348403692245483,0.013305332953941113,0.015382825117531071,0.044390223920345306,0.039255451411008835,0.12904379520361542,0.11820110382329102,0.0018669394000402552,0.011433791546623096,0.0021810818100301064,0.0014570361787226462,0.00035688560137606145,0.00127568154130131,0.5270368121213611,0.5125218235249195,0.14740324790942688,0.14494401534389922,0.0,0.0,0.4094599634568274,0.25928636189754944,0.2595383166922836,0.00023494422202929854,0.0931420773267746,0.09678098559379578,0.010074653662741184,0.020119184628129005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8161592483520508,0.4167269468307495,3.330233573913574,0.7749878168106079,9.088579177856445,2.3727893829345703,6.536516189575195
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04599665090098335,0.42296692728996277,0.0,0.0,0.0,0.0,0.0,0.04596438063184059,0.4227988123893738,0.06365651585116898,0.00016511902504134923,0.03782999419272286,0.18052345514297485,0.0004292535886634141,0.16553914546966553,0.0007423281786032021,0.015003230422735214,0.0,0.192732036113739,0.17234432697296143,0.013342115642231365,0.015384029706315132,0.043097399175167084,0.0385885052382946,0.11216126383783584,0.10398290304085861,0.0019219826601868516,0.009824459087826996,0.0020410580195163106,0.001978645336379893,0.0005009685927849054,0.0014632749371230602,0.45893481444947387,0.44853898212150206,0.1468541928834897,0.14477402676252166,0.0,0.0,0.40960428711965696,0.24631812574411804,0.2465711981424582,0.00028997124172747135,0.10072167217731476,0.1053541749715805,0.019215645268559456,0.030218753963708878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9107236862182617,0.4616412818431854,3.468412399291992,0.8069580793380737,8.671499252319336,2.4561471939086914,6.556499481201172
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04325436798957985,0.40170755982398987,0.0,0.0,0.0,0.0,0.0,0.043171930485789184,0.40146633982658386,0.05483391609986908,0.00027268141275271773,0.03961641954392425,0.1481040120124817,0.0004448032414074987,0.16555458307266235,0.0009636473841965199,0.016665998846292496,0.0,0.20268595218658447,0.1767011284828186,0.01356022443770552,0.01538195700167707,0.04219704493880272,0.03742333874106407,0.10344099400476349,0.09588329643095245,0.0018676259873913017,0.009130117372342738,0.001987485497238067,0.0027141805497561456,0.0006526635076427817,0.0015455650864169002,0.40610879960069884,0.3961501341229553,0.14059365622891173,0.13647759624246125,0.0,0.0,0.41390857695619565,0.23637159165815583,0.2366421997678659,0.0002527427568566054,0.10839857161045074,0.11117982864379883,0.02588784508407116,0.03467101231217384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8999587297439575,0.45664215087890625,3.3736226558685303,0.8063943386077881,8.51812744140625,2.619746446609497,6.757166862487793
