Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02507293968842926,0.05710049718618393,0.0,0.0,0.0,0.0,0.0,0.02513328560130409,0.05703430250287056,0.019637499756178588,0.0,0.007427529415556965,0.05828442424535751,0.0002118758566211909,0.0006676410557702184,2.562000554462429e-05,0.0014371104924457503,0.0,0.07380547374486923,0.0722934752702713,0.013224308172206082,0.016299199948823215,0.01640303060412407,0.016283564269542694,0.04247571971958191,0.04251338427069187,0.001933711425745201,0.002670261190524068,0.0018445832352625138,0.000607166091904459,0.00028868584195151925,0.0005001396639272571,0.13077800419704774,0.1320276632968036,0.017995559186899567,0.019145276884045905,0.01546570472419262,0.015635041519999504,0.04796803184772114,0.034785567607926234,0.03478449711332223,-1.9824086848529987e-05,0.027289826422929764,0.032277487218379974,0.004978058859705925,0.008396349847316742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2190535068511963,0.04873631149530411,0.5368592143058777,0.25279873609542847,1.6895005702972412,0.5466791391372681,1.528659701347351
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.049945503841522826,0.13045331835746765,0.0,0.0,0.0,0.0,0.0,0.05002784892676529,0.1303146332502365,0.048815058878550796,0.0,0.014618855919511928,0.14588607847690582,0.0003020201693288982,0.001988222822546959,4.7751946112839505e-05,0.002545457605199165,0.0,0.14467331767082214,0.1421443372964859,0.01313218745692133,0.01618284583311735,0.035291410982608795,0.034260500222444534,0.08647933749726106,0.08271963145763565,0.001927254213274779,0.004732810891138782,0.0018833321572604015,0.0009502446557886892,0.0006278849323280156,0.0011117139365524054,0.2712505292432288,0.2725157082208118,0.042141355043356324,0.0450594774405896,0.021160384640097618,0.021480651572346687,0.05592092314072544,0.034474536559805403,0.03446680139580401,-3.2940028177108616e-05,0.05322517827153206,0.06251955032348633,0.011436199769377708,0.018264824524521828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48374509811401367,0.10046344995498657,0.916793942451477,0.4761215150356293,3.0457112789154053,1.0194472074508667,3.6726012229919434
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.07281044259542191,0.21664629876613617,0.0,0.0,0.0,0.0,0.0,0.07291463162813126,0.21644634008407593,0.08401908904777755,0.0,0.023122814860670547,0.242882639169693,0.00037469191011041403,0.00216887379065156,0.00015904218889772892,0.00444737788435935,0.0,0.2148202508687973,0.2107347846031189,0.01305377675703255,0.016018178628017295,0.05637894198298454,0.053940415382385254,0.13564974815110625,0.12736376825434417,0.001856149596452074,0.006810036897341327,0.0018771617253844752,0.0013650031944514025,0.0009413004154339433,0.0017544087022542953,0.418773401127157,0.4190542079460956,0.07744139453345292,0.0822525390084854,0.021840736269950867,0.02228858321905136,0.06199486706174545,0.034523533276445945,0.034513737887852364,-6.79643198964186e-05,0.07839385420084,0.09149064868688583,0.021036386489868164,0.03174661844968796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142636775970459,0.1490422934293747,1.2499715089797974,0.6493745446205139,3.985612392425537,1.3595446348190308,6.353909492492676
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.09450191755574051,0.3124062418937683,0.0,0.0,0.0,0.0,0.0,0.09461347962143035,0.3121564984321594,0.1155751866934378,4.584991984302178e-05,0.032716166774069216,0.32021254301071167,0.000527897325810045,0.004442752338945866,0.00013838490121997893,0.007003775075624762,0.0,0.29333966970443726,0.2865283191204071,0.013208769871619447,0.01582304779975342,0.07752878218889236,0.07377545535564423,0.17318311406418213,0.16126391139018736,0.0018740818768870086,0.008673051416328164,0.0020573409642530884,0.0020088002686600875,0.0014870255254209042,0.0028332786168903112,0.5571106173197327,0.55602734461276,0.12641959469749206,0.1326927108154724,0.01966741494834423,0.020210672169923782,0.06987373007865119,0.034472039943729604,0.03448435169038937,-6.958770973142236e-05,0.10796147584915161,0.12524458765983582,0.036678485572338104,0.051994018256664276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008419752120972,0.175161212682724,1.5676074028015137,0.8248001933097839,4.651856899261475,1.5820519924163818,9.434940338134766
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.1136993494166484,0.4131188988685608,0.0,0.0,0.0,0.0,0.0,0.11386361109799133,0.412758469581604,0.13428762622177307,5.566306572291069e-05,0.04259679672072609,0.34996500611305237,0.00045460378169082105,0.009462239220738411,0.00027418744866736233,0.009742787074429016,0.0,0.38356390595436096,0.3729030191898346,0.013450054489949119,0.01566505245250165,0.09543875604867935,0.09164159744977951,0.18206373454201905,0.1692801893085315,0.0019322431503811426,0.010244856064136906,0.002204640493970351,0.0028567983280474805,0.0018726420821622014,0.0036407497245818377,0.6673382886136682,0.6634655713961634,0.18065665390602081,0.18745740619194398,0.021555094048380852,0.022277625277638435,0.08001112638943694,0.03495098801111315,0.03499734620174742,-6.32053634035401e-05,0.14529699087142944,0.16729043424129486,0.06117173284292221,0.08226649463176727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26741623878479,0.2313958704471588,2.0769741535186768,0.9320927858352661,6.091520309448242,1.9597859382629395,11.339941024780273
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.10663495945588944,0.42176923155784607,0.0,0.0,0.0,0.0,0.0,0.10674193704804946,0.4214637875556946,0.10893286780781433,6.590902921743691e-05,0.04584005347092941,0.2694288492202759,0.000310309260385111,0.01763383112847805,0.0002931512426584959,0.01007474932612505,0.0,0.40577229857444763,0.3908328711986542,0.013384810065462646,0.015637352418409453,0.08675360679626465,0.08413219451904297,0.12581442373891816,0.11891398724044311,0.0019292054379199685,0.00970217154033516,0.002225086297664134,0.004828911037378722,0.001812172303243966,0.0036177346482872963,0.6121708761822094,0.6087475530643774,0.19695250885996154,0.20138696565105102,0.027088966220617294,0.02755008451640606,0.08610076608572358,0.03597325893481567,0.0360484055226953,-7.122844544937834e-05,0.1630449742078781,0.18394148349761963,0.07738001644611359,0.09935504198074341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3407368659973145,0.2456408590078354,2.21147084236145,0.952335774898529,6.684108734130859,2.112476348876953,10.451842308044434
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.10270055625569305,0.42847442626953125,0.0,0.0,0.0,0.0,0.0,0.10278188453317429,0.4281401038169861,0.08542753710100891,0.0,0.04728045275102348,0.20511116087436676,0.0003197411133442074,0.02736218459904194,0.00026509654708206654,0.008282496304232407,0.0,0.417624831199646,0.4006701409816742,0.013288309890676326,0.01539438416945825,0.07875282317399979,0.07746586203575134,0.08743649724667191,0.08566292078982468,0.0017794230177036387,0.008777682846884117,0.0023008612145157046,0.009517689523450699,0.0021524697044686125,0.003970039077103138,0.5649462006635364,0.5628026329273853,0.2104803698824646,0.21403669138740966,0.03553372994065285,0.036014121025800705,0.08752624319596886,0.03420923612983789,0.03430300566885832,-4.38252100138925e-05,0.1784101277589798,0.2005283385515213,0.09074389189481735,0.11444230377674103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3772403001785278,0.2789626121520996,2.4554004669189453,1.0308003425598145,7.280476093292236,2.3894145488739014,9.248079299926758
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.09978834151878312,0.4251168966293335,0.0,0.0,0.0,0.0,0.0,0.09981581745544708,0.42483264207839966,0.07260891742959534,0.0,0.04846424513161522,0.16788020730018616,0.00023843918461352587,0.033938225358724594,0.0002575517864897847,0.007090530823916197,0.0,0.42309555411338806,0.40574824810028076,0.013237362225268444,0.015474942214627745,0.07126659154891968,0.07029572129249573,0.06907808409573798,0.0693542100264753,0.0018021477401446572,0.008027154599108487,0.002282408547601915,0.014084080818606206,0.0023945282963882923,0.004151280038058758,0.5374369330369678,0.5372288756056177,0.2214965381927472,0.22442825843004027,0.04238876700401306,0.0427437350153923,0.08791475218728204,0.03387602834450143,0.03397675912882991,-0.0001269736821996048,0.1870829463005066,0.20891393721103668,0.10261392593383789,0.12692147493362427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901729583740234,0.3189471960067749,2.5467278957366943,1.1280275583267212,8.101428031921387,2.6381542682647705,8.140471458435059
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.098741505277435,0.41625890135765076,0.0,0.0,0.0,0.0,0.0,0.09875251668078125,0.4159788489341736,0.0670137601812709,0.0,0.04981343316048614,0.1536865532398224,0.0002759734052233398,0.044026490300893784,0.00020624828175641596,0.005739317741245031,0.0,0.4220232367515564,0.40528497099876404,0.013192933515264932,0.01558017277174658,0.06601443141698837,0.06525786966085434,0.06010506821707619,0.062293229252941514,0.0017682618431293753,0.00724888255886117,0.0023502345923128993,0.01835233361847744,0.0026651765035042526,0.0044015333987772465,0.525875541591742,0.5283177714711303,0.229520284460914,0.23281172581437592,0.04815566539764404,0.04850762337446213,0.08725856467167839,0.033442271582373805,0.03353457429830961,-0.00014845281839370728,0.19087886810302734,0.21339160203933716,0.1112496554851532,0.13685385882854462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4258886575698853,0.33221369981765747,2.5663275718688965,1.1164309978485107,8.822685241699219,2.691563129425049,7.400378704071045
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.10096663463506683,0.4033416509628296,0.0,0.0,0.0,0.0,0.0,0.10099299686411438,0.40305274724960327,0.06536588130676865,0.0,0.05058945234636757,0.1522144377231598,0.0003304618876427412,0.04848593845963478,4.210244878777303e-05,0.00471101701259613,0.0,0.42175570130348206,0.40349364280700684,0.013400376143652188,0.015807956650521923,0.06350233405828476,0.06287078559398651,0.060607108438938906,0.06425544019868469,0.0018046275063672978,0.006972576551848821,0.002270914006955268,0.02064515435301151,0.0029336041903795717,0.004605624824762344,0.5249304644530371,0.5300880283446557,0.23222561142298737,0.23631400571275604,0.05945425480604172,0.05980588495731354,0.08597133976053642,0.03309074698863402,0.03315665730732245,-0.00014931410260032862,0.19549018144607544,0.2185862958431244,0.1191147118806839,0.1445993036031723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4479165077209473,0.3558467924594879,2.5186450481414795,1.1027041673660278,9.442441940307617,2.651820659637451,6.900069713592529
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.1029811751725264,0.37946847081184387,0.0,0.0,0.0,0.0,0.0,0.10295072866,0.3790627419948578,0.06974291468983612,0.0,0.05181078427745392,0.16738276183605194,0.0004130295419599861,0.04817010834813118,7.376800931524485e-05,0.004978695418685675,0.0,0.4300902485847473,0.4061512351036072,0.013694693315437372,0.015987073858068305,0.0643574446439743,0.06336768716573715,0.06675104422341255,0.07115778180736587,0.001902413846447435,0.006916434634712906,0.0025498986670344863,0.021893450207017936,0.003155039314558449,0.004655016463588696,0.5369441204068787,0.5413447156173132,0.22902067127691192,0.2319369083867279,0.06942418962717056,0.06976884603500366,0.08256511315377983,0.03272338116934859,0.03278115845966067,-0.00021437347459141165,0.2008102536201477,0.22190654277801514,0.12441372126340866,0.14844350516796112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4784834384918213,0.34495580196380615,2.3683855533599854,1.1356475353240967,9.928754806518555,2.555053234100342,6.521051406860352
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.10458255017104187,0.33267125487327576,0.0,0.0,0.0,0.0,0.0,0.1044770056675119,0.33211594820022583,0.08218203394663635,0.0,0.05403424912769661,0.205550417304039,0.0004075214674230665,0.045106906443834305,3.800880222115666e-05,0.006276526488363743,0.0,0.4350445866584778,0.4061148464679718,0.014174040876454375,0.016210288061357724,0.06676419824361801,0.06479495763778687,0.08074056727573044,0.08315164149276642,0.0018582709231650422,0.006613122717618799,0.0027419333524859382,0.0229011108813665,0.0032084411436073064,0.004476504564949102,0.5612837554781104,0.565531716899425,0.22404833213953887,0.2255836230741092,0.07214774936437607,0.07249807566404343,0.08038485870644921,0.03264522879894126,0.0327062306838797,-0.00016995400073938072,0.2046511471271515,0.22176100313663483,0.12665724754333496,0.14768707752227783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5931646823883057,0.36069780588150024,2.169786214828491,1.0750744342803955,10.014083862304688,2.5378754138946533,6.471791744232178
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.10802466561100388,0.27688953280448914,0.0,0.0,0.0,0.0,0.0,0.10783741957406295,0.2763155698776245,0.09885283305115204,0.0,0.05785063787868767,0.2603364884853363,0.00029542658012360334,0.04331290349364281,-3.8059839425841346e-05,0.007753442507237196,0.0,0.4285150170326233,0.3957580327987671,0.014466571533154197,0.0165211515762085,0.07150857150554657,0.06844303756952286,0.10252339910606063,0.1036317125178952,0.0017046636205781654,0.006274573651715164,0.00276778728050515,0.02162671385635826,0.003509525035203552,0.00463240875850936,0.5939902312938501,0.598130750670653,0.21455154249794983,0.21372888967701478,0.06768874824047089,0.0678870677947998,0.08017585130178786,0.03253867057542286,0.032625306628216506,-0.0001659610861679539,0.20567061007022858,0.21819047629833221,0.1228468045592308,0.1398942619562149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742777705192566,0.39115697145462036,2.0845303535461426,1.0422173738479614,9.59211540222168,2.6580021381378174,6.7607855796813965
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.11018739344957382,0.2332877516746521,0.0,0.0,0.0,0.0,0.0,0.10992538215350098,0.23275162279605865,0.11615174098049286,0.0,0.06135438511285492,0.32572832703590393,0.00028566751279868186,0.04459895193576813,-2.9480344892363064e-05,0.011177679523825645,0.0,0.3986421525478363,0.3608805537223816,0.014685515444412345,0.016959619714731283,0.0775584951043129,0.07303149998188019,0.13024361808108276,0.13049332950127152,0.0016666340349780102,0.006228790450456505,0.0029151684743951266,0.018227170614323617,0.0039534391505879835,0.005051327949482107,0.6186922626482666,0.6211149546861535,0.19957887544674133,0.19668449644826447,0.06056001037359238,0.06051073223352432,0.08387445882275185,0.032454665551463834,0.03257722948204941,-8.994012750918046e-05,0.198059543967247,0.20549887418746948,0.1116405576467514,0.12378834933042526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865187168121338,0.41515225172042847,1.9731268882751465,1.0375001430511475,9.154069900512695,2.7805018424987793,7.028081893920898
