Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03177617862270775,9.30722126213368e-06,0.0,0.0,0.0,0.0,0.0,0.03181282610134892,-4.481714859139174e-05,0.011149183667263718,0.0,0.007517894247988043,0.028635293245315552,0.002757743466645479,0.0062270439229905605,0.00016046574455685914,0.0005436976942682994,0.0001659646659391001,0.06194961816072464,0.06003592163324356,0.0132536298421053,0.01633597482321157,0.007489985320717096,0.007438881788402796,0.014749652955137797,0.01634470095972121,0.0018700446647655152,0.002574874899601307,0.001973330221127805,0.0010782112386007285,0.001463420339860022,0.0013945186510682106,0.07096378204004623,0.07394127548371231,0.011900363997781181,0.011827357599940604,0.0035055652260780334,0.003544522449374199,0.05805659667575935,0.03486888834568442,0.0348529903607764,5.9668363974196836e-05,0.03481843322515488,0.037008028477430344,0.015862848609685898,0.016581542789936066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31959420442581177,0.17030049860477448,0.3597087264060974,0.31247106194496155,1.378394365310669,1.24869704246521,1.0270413160324097
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.061923295627716674,0.00041281478479504585,0.0,0.0,0.0,0.0,0.0,0.0619614140665358,0.000277973769698292,0.026167430317888526,0.0,0.01588853823003353,0.07787652313709259,0.0022490040864795446,0.027646968141198158,0.00016931086429394782,0.0010194190353352798,0.0003023124882020056,0.1192605122923851,0.11583836376667023,0.013144679635860614,0.016303257227281317,0.015454351902008057,0.015158073976635933,0.024635661004689217,0.024672744760224116,0.001833971881911481,0.004740897565054168,0.0020465749784055057,0.001225461623354628,0.002724112244322896,0.002582768676802516,0.1771717351214865,0.1819285839923343,0.03480793482631912,0.03509301831530922,0.0027375074569135904,0.002854791469871998,0.08264258505114014,0.034649017952410634,0.0346220433611348,0.00012683331442531198,0.06857703626155853,0.07208657264709473,0.031870029866695404,0.03366436809301376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6311272978782654,0.31816181540489197,0.7243379354476929,0.5781863927841187,2.7950785160064697,2.187523365020752,2.2833540439605713
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.09044226392978394,0.0008402776438742876,0.0,0.0,0.0,0.0,0.0,0.09048949327382981,0.0006311854813247919,0.04554537117944946,0.0,0.026137804057924728,0.1424679160118103,0.0015106782084330916,0.05642995238304138,0.0003001471050083637,0.0014622333846700097,0.0005932954954914749,0.1751031130552292,0.17029276490211487,0.012972427152589602,0.01623740235781773,0.02429220825433731,0.023595916107296944,0.03747158498029175,0.03715427297813149,0.0016532172387003679,0.00681457849187644,0.0021943479735239534,0.0013205410980396677,0.0043573989532887936,0.004232560284435749,0.3031372312167261,0.3100698269856311,0.06535214206152909,0.06600172749124679,0.0016121207736432552,0.001794704352505505,0.10593141022838287,0.03490253409596697,0.034859907352899205,0.00021234495216049254,0.10326939821243286,0.10816947370767593,0.04793928191065788,0.05204811319708824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001239776611328,0.5301535129547119,1.1086000204086304,0.7625551819801331,4.303024768829346,2.704712390899658,3.8804545402526855
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11572502304594819,0.0010351231321692467,0.0,0.0,0.0,0.0,0.0,0.11579010838987441,0.0008928558672778308,0.06253556885696243,0.0,0.03786844069722786,0.18666817247867584,0.001107843592762947,0.0855284109711647,0.0006320854881778359,0.0014215416503949737,0.0008534281514585018,0.23345796763896942,0.2290946990251541,0.012700563528108328,0.016425089971275463,0.03172045946121216,0.03083038330078125,0.04478108210607895,0.04524311643231117,0.0015761048989966513,0.008481026671281072,0.0022725866770053095,0.0017034117966171097,0.006106393877416849,0.006027839612215757,0.4076966740290222,0.4173455454394049,0.09908150713874572,0.10120581960539322,0.001771761104464531,0.001916716224513948,0.1287595540139215,0.03497179965715025,0.0349352498414192,0.00024901318829506636,0.137075737118721,0.1434776782989502,0.06869520246982574,0.075929656624794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3562228679656982,0.6318591237068176,1.5288385152816772,0.9959756731987,6.416250705718994,3.332496166229248,4.815243721008301
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.13674802596703675,0.001351734739728272,0.0,0.0,0.0,0.0,0.0,0.13683898138588654,0.001327580539509654,0.07225386865436736,0.0,0.050116384595138626,0.200036883354187,0.0012693265452980995,0.11171292513608932,0.0010985125554725528,0.0013937841534065413,0.0009904744802042842,0.29892563819885254,0.29383984208106995,0.012548068168980402,0.016511430084616686,0.03790108859539032,0.03700379654765129,0.04603652880657402,0.047807078096277926,0.001481037037169332,0.010129154135402127,0.002273520805998692,0.0026250931877250337,0.007703360170125961,0.007716825697571039,0.47034389454971864,0.4824172675536188,0.13014046576133698,0.13284077611458192,0.0017151192296296358,0.0017121370183303952,0.14859550892346404,0.0350171498070981,0.03500468176400638,0.00028087288956157863,0.16953173279762268,0.17768768966197968,0.09032392501831055,0.10070154070854187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7111849784851074,0.7446184158325195,1.954859733581543,1.245668888092041,8.936050415039062,3.8544044494628906,5.499664306640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.12839492398158905,0.0016107872361317277,0.0,0.0,0.0,0.0,0.0,0.12849801237067748,0.0016770664369687438,0.06261322663492844,0.0,0.05200279376109436,0.15508471429347992,0.0014672890538349748,0.11118531972169876,0.0011944271391257644,0.001112160475716257,0.0007912138244137168,0.2986067533493042,0.2932640314102173,0.012555063351600823,0.01641486998021023,0.03572460263967514,0.03478522598743439,0.04064139242371067,0.04360937472308624,0.0014378201334345208,0.009171228265837173,0.002208316219445592,0.004126444920160585,0.007406484283774586,0.007642973680049181,0.40582144371379514,0.4182005636234595,0.12808598773989013,0.13155467047168395,0.002324292901903391,0.0021674593444913626,0.14866086246881838,0.03477055990499749,0.034771010638895004,0.00022590547450818121,0.16802659630775452,0.1773846298456192,0.09388875216245651,0.10483935475349426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736498475074768,0.5994809865951538,2.0067758560180664,1.1581754684448242,9.678475379943848,3.674253463745117,5.269558429718018
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.12040754649769744,0.0013190594036132097,0.0,0.0,0.0,0.0,0.0,0.1205205620944574,0.001363158575259149,0.05172318919251206,0.0,0.05180677359591217,0.1213262677192688,0.001758588827215135,0.10966349393129349,0.0010813720291480422,0.0007656813845781267,0.0005780348437838256,0.2951771318912506,0.28950896859169006,0.012404064246119968,0.016213852690971295,0.03390434384346008,0.032837122678756714,0.03704360876028656,0.04058219754885311,0.0014435565050893364,0.008657935252885208,0.002140443363949841,0.004203788059927192,0.007692969168146019,0.00792265310883522,0.36119788509079775,0.37350504624792663,0.12153006370532532,0.12488805075478027,0.004471359774470329,0.004278269596397877,0.14826517553730606,0.0340018978004915,0.033990583757782376,0.00019344835891388357,0.16497711837291718,0.17501462996006012,0.09648527950048447,0.10712629556655884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6990519762039185,0.5278415083885193,2.0230588912963867,1.1437907218933105,9.662569046020508,3.939441442489624,5.32949161529541
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.1140018141235347,0.0005966655444353819,0.0,0.0,0.0,0.0,0.0,0.11410843757787979,0.0005912089254707098,0.045680738463549954,0.0,0.050917877784374774,0.10575881600379944,0.003014718648046255,0.10715726017951965,0.0009746287832967937,0.0006055346457287669,0.00042315988685004413,0.28885069489479065,0.28156256675720215,0.01239642654378753,0.01610439587252121,0.03250102698802948,0.03135128319263458,0.03693691083731419,0.04086662267884861,0.001427570397262836,0.008182363231458455,0.0021377331753898374,0.004299851718855686,0.007534282915837669,0.0077645443379879,0.3370098180734363,0.34908484741881957,0.11119681683254058,0.11403787840513031,0.009677245281636715,0.00948556698858738,0.146253576846868,0.033782311361982176,0.03376903157576893,0.00011578589328564703,0.16241542994976044,0.17268113791942596,0.0961669459939003,0.10584528744220734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7144601345062256,0.5406787991523743,2.017927646636963,1.1635494232177734,9.252233505249023,4.276050567626953,5.537683010101318
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10878701878813904,0.0003613410226535052,0.0,0.0,0.0,0.0,0.0,0.10884709971529663,0.0002706399536691606,0.04142583635648377,0.0,0.05051566528290741,0.10122420638799667,0.0020767655223608017,0.10694489628076553,0.0009407247416675091,0.0007570353336632252,0.0002933403884526342,0.28380391001701355,0.27296149730682373,0.012619205427208263,0.016095536009101484,0.031626321375370026,0.030323760583996773,0.03761781899169815,0.04197516627693882,0.0013761552195077178,0.008253347017535361,0.002077647650593844,0.004118634550050354,0.007354132579783535,0.007493279408663511,0.3319935828686737,0.34335269740878294,0.10637256585253464,0.10837217338803772,0.01713486947119236,0.016999680548906326,0.141905581942005,0.03354595624711045,0.033527375249159025,0.00012951761891599745,0.15827228128910065,0.16715547442436218,0.09303443878889084,0.10154522955417633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7945380210876465,0.6598728895187378,2.0317046642303467,1.0758869647979736,8.402868270874023,4.825821399688721,5.809617519378662
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.10559426474962219,0.00047701335279271007,0.0,0.0,0.0,0.0,0.0,0.10562149124601898,0.0003448727657087147,0.0398661351033461,0.0,0.04981833960632774,0.10943323373794556,0.002002987079322338,0.11133494228124619,0.0009758056839928031,0.0009952351683750749,0.00020175844838377088,0.2759997248649597,0.26291021704673767,0.012986713054958904,0.016276246508485023,0.0315239280462265,0.03015962429344654,0.03831454660984879,0.04231123771598434,0.0013783876775553393,0.008278804425859623,0.0021251812471079624,0.004589328720945978,0.006956839481622171,0.007057323586195707,0.3369504384463385,0.3479768544764764,0.10445558241459885,0.10621237711120499,0.023071669042110443,0.02298455499112606,0.13667358752917694,0.033272839479465584,0.033260428103026346,0.00012284368858672678,0.15586788952350616,0.16369913518428802,0.09059442579746246,0.09899143129587173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8138880729675293,0.6935979127883911,2.058828830718994,1.0112502574920654,7.8138322830200195,4.99449348449707,6.214794635772705
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.10418643324394898,0.0008504614816047251,0.0,0.0,0.0,0.0,0.0,0.1041416667155153,0.0006299242377281189,0.03948975394493065,0.0,0.04918467068387558,0.12652960419654846,0.002418043091893196,0.11866676062345505,0.0013717568945139647,0.0013079612981528044,2.7123094241687795e-06,0.2720785439014435,0.2564220130443573,0.013354733632831677,0.016340710150925423,0.032079700380563736,0.03060634434223175,0.03772759808073906,0.041228363690557934,0.0014690008401985512,0.00838009653636572,0.002206076131237697,0.005377563330285826,0.006635272566606941,0.006665580783378105,0.3516437106130249,0.36171768452943787,0.10651814314590378,0.10732908459760819,0.02799220383167267,0.027921760454773903,0.13118059485825334,0.03282066608503098,0.032829086258393085,0.00012340754619799554,0.15558162331581116,0.16196489334106445,0.09153277426958084,0.10000131279230118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7425514459609985,0.7153031826019287,2.051441192626953,0.9846326112747192,7.456984519958496,5.105791091918945,6.486462593078613
