Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.02964711002455654,0.11085299402475357,0.0,0.0,0.0,0.0,0.0,0.02962078147070221,0.11083288490772247,0.012960422604343625,0.0,0.006250972843238888,0.016728457063436508,0.00037594413151964545,0.016904599964618683,0.0003565915976651013,0.000790069826364739,0.0001456082973163575,0.02391142211854458,0.02021157555282116,0.013505271117204546,0.016096766486204714,0.007176960818469524,0.006653833203017712,0.04569473561590225,0.04983858463468552,0.0030008159422960996,0.0021246866055482294,0.0021043179763835787,0.0028419183818553066,0.0,0.0,0.05154405233042099,0.05179713294540322,0.01486096023138752,0.014110102804806537,0.0,0.0,0.15614790470326523,0.13644093129524032,0.1364828720856517,-7.527236448368058e-05,0.019276762381196022,0.021802125498652458,0.00044837099267169833,0.002186103258281946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12739649415016174,0.24570545554161072,0.7602190375328064,0.09152649343013763,0.8399786949157715,0.9927130937576294,1.8634907007217407
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.05634465850460876,0.2192288339138031,0.0,0.0,0.0,0.0,0.0,0.056271346060020294,0.21919353306293488,0.025176538488755493,0.0,0.010666594859035625,0.03138337284326553,0.000728367012925446,0.02936915121972561,0.0009574032155796885,0.0011901810457196308,0.00028982938965782523,0.04944271594285965,0.04242372885346413,0.013601135126936371,0.015808081156154837,0.014611328020691872,0.013617783784866333,0.08088134376576234,0.0867023169639795,0.004737060154344277,0.003961446228342523,0.0025677328102322186,0.0058927734137538814,0.0,0.0,0.09415998126435074,0.09349481166681854,0.028600092446510697,0.027330981097692185,0.0,0.0,0.27636204661138947,0.23837517801593536,0.23846426006178498,-0.0001431871351087466,0.038947589695453644,0.0437190979719162,0.0009950539097189903,0.00456476304680109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401505708694458,0.44171005487442017,1.5302412509918213,0.1807982474565506,1.698904275894165,1.947694182395935,3.790731430053711
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08413335814946854,0.3350096642971039,0.0,0.0,0.0,0.0,0.0,0.08400317426834046,0.3349458873271942,0.035776035790312195,0.0,0.013902575154333095,0.04094068706035614,0.0012543369084596634,0.03370007127523422,0.0011608884669840336,0.0015188389379244948,0.00048702352796681225,0.07198213785886765,0.06151992082595825,0.013642620166819483,0.015493697538930092,0.02137940749526024,0.02008156105875969,0.11415567249516907,0.12268538478476257,0.007351941225525284,0.005913033559600429,0.0032686301203978373,0.008455053514126759,0.0,0.0,0.12638414238482454,0.12520318999413024,0.03698928674632065,0.035203828721868134,0.0,0.0,0.40760906938232117,0.3511851370543482,0.3513248532887763,-0.00026115975924767554,0.05704769492149353,0.06392738223075867,0.000794902618508786,0.004489244893193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793269097805023,0.7112985253334045,2.2939600944519043,0.2808779180049896,2.3248140811920166,3.1087992191314697,5.703351020812988
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.10862801720183198,0.45080137252807617,0.0,0.0,0.0,0.0,0.0,0.10845218802215667,0.4506884217262268,0.04656051822877716,0.0,0.018793020943437957,0.05202118307352066,0.0016178011428564787,0.043441660702228546,0.0019976082257926464,0.0017950688252105092,0.00043691587052308023,0.09788491576910019,0.08363652974367142,0.013729563534491613,0.015296953965557202,0.028605634346604347,0.026767278090119362,0.14742311908050904,0.15810637023437224,0.009600268326759339,0.007627130530228825,0.0048084384948162175,0.01240366032768299,0.0,0.0,0.16365381554761504,0.16213030293433137,0.04937660526468033,0.04706496870378952,0.0,0.0,0.5247201531979577,0.4503574312105133,0.4505488157264154,-0.00031773876980878413,0.07609082758426666,0.085682712495327,0.001265122788026929,0.005924096796661615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969564378261566,0.8848652839660645,3.0535340309143066,0.36432522535324097,3.1814777851104736,4.374463081359863,7.363829135894775
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.12376886869803573,0.5732499361038208,0.0,0.0,0.0,0.0,0.0,0.12353710966891036,0.5731663703918457,0.057907161042091294,0.0,0.0217536280001231,0.06534905731678009,0.002172817476093769,0.051137775182724,0.002684646751731634,0.002125032445547204,0.000779362628236413,0.11796791851520538,0.10041188448667526,0.013968102672078979,0.015016910381060834,0.03585998713970184,0.033764034509658813,0.182940131436474,0.1971950859159305,0.013060956789135703,0.009586559084173127,0.005423056225650931,0.014704513454398003,0.0,0.0,0.19911839742313933,0.19686004220705353,0.05533370849004715,0.052420181452154005,0.0,0.0,0.6592661857508948,0.5640358806053687,0.5642626881909778,-0.0003674426698125899,0.09262097626924515,0.10449156165122986,0.0011022393591701984,0.005921310745179653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6160569190979004,1.1779364347457886,3.892566442489624,0.46708622574806213,3.834440231323242,5.219940185546875,9.370994567871094
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.11751824605123398,0.5785083770751953,0.0,0.0,0.0,0.0,0.0,0.11727062816104461,0.5783705115318298,0.055053278965422364,0.0,0.02116485184629753,0.05815928056836128,0.003070223145186901,0.04119175300002098,0.0031660038512200117,0.0023168639445456506,0.0005914848879911005,0.11372749507427216,0.09422322362661362,0.013994123668953237,0.0149645470916515,0.035054389387369156,0.03288299962878227,0.17932003813882813,0.19393608864272582,0.015532258319000626,0.010165723382011395,0.007690529965736246,0.014549399023138695,0.0,0.0,0.18588098994601868,0.18337218089297547,0.050233004712193524,0.04670426978541992,0.0,0.0,0.6659754157296216,0.5702046781442065,0.5704440951330871,-0.00028593422030098736,0.09174374490976334,0.10336983948945999,0.0011712686391547322,0.005021700169891119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880630612373352,1.079756736755371,3.922990083694458,0.44977909326553345,3.8829963207244873,5.151224136352539,9.546210289001465
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.11145192626845321,0.5550578832626343,0.0,0.0,0.0,0.0,0.0,0.11115513013005997,0.5549468398094177,0.05693007959673645,0.0,0.02169852105568142,0.056284233927726746,0.002234493847936392,0.04227413237094879,0.002342737978324294,0.002137088625672984,0.0007234039949253201,0.11455217003822327,0.0940244272351265,0.01399444431289289,0.014663455088130037,0.03512636572122574,0.03303477168083191,0.1827511266226065,0.19877639116536255,0.01590665500652668,0.009742319761316166,0.01223936434986065,0.01787061179911312,0.0,0.0,0.18744937699505645,0.1844429426188144,0.05403658400642891,0.05003275667619179,0.0,0.0,0.6978410035531104,0.5936707138663146,0.5939218192948609,-0.0002558676933404058,0.09538304060697556,0.10512954741716385,0.0017161582363769412,0.0065914480946958065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6229004263877869,1.1247296333312988,4.077155113220215,0.4593043923377991,3.7495486736297607,5.031175136566162,9.556366920471191
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10186493008985474,0.6047126054763794,0.0,0.0,0.0,0.0,0.0,0.10160031346479691,0.6046239733695984,0.05240360595241104,0.0,0.019449575772884902,0.05034437030553818,0.00505072483792901,0.029699301347136497,0.003641471965238452,0.0027906352188438177,0.0007135516498237848,0.1175319254398346,0.09629932045936584,0.014083526177060266,0.014582310214013787,0.03520940616726875,0.03324763476848602,0.17574831099750762,0.19195845720908294,0.019695266742254983,0.010890701432504445,0.012070601283470421,0.015133225012136289,0.0,0.0,0.17244795035950805,0.1705876968784677,0.043993146092413025,0.03962433670071404,0.0,0.0,0.6927632450778785,0.5917435825064319,0.5919869840511572,-0.00021940641454420984,0.0932815670967102,0.10479599982500076,0.0010050885612145066,0.0039013975765556097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5638740062713623,0.9777270555496216,4.173850059509277,0.45948147773742676,3.9395480155944824,4.501297950744629,10.007287979125977
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10022079570321243,0.6174986362457275,0.0,0.0,0.0,0.0,0.0,0.09990983771664322,0.6173291802406311,0.05720801380475647,0.0,0.020759363268914147,0.05701709911227226,0.0023186788894236088,0.04016250744462013,0.0018076954875141382,0.0025428764056414366,0.000629268295597285,0.11822265386581421,0.09730558097362518,0.014088280204768572,0.014745649944683824,0.03670262172818184,0.034804217517375946,0.1815586477322949,0.19856813699091186,0.01825880056410221,0.010102382749983463,0.012466910315424157,0.01869434879548893,0.0,0.0,0.19455606045732726,0.1927914690142746,0.05257049657596336,0.04846593656066422,0.0,0.0,0.7026421487240027,0.5898879766173767,0.5901510447395227,-0.0002599142608232796,0.09642628580331802,0.10793638974428177,0.001546201528981328,0.006392677314579487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634402871131897,1.1048663854599,4.066359519958496,0.46933209896087646,3.626429319381714,5.045431137084961,9.6060791015625
