Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,-0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.014360718423590088,0.08669068664312363,0.0,0.0,0.0,0.0,0.0,0.014369356375799693,0.086578868329525,0.033192855126223296,0.0,0.010893703422019063,0.08957312256097794,-5.9484958910616115e-05,0.03720740228891373,-5.527257962967269e-05,0.001862750520415826,0.0,0.05163407325744629,0.05030228942632675,0.013374930063613436,0.016187655245791674,0.01335569005459547,0.011891794390976429,0.06598004397695573,0.06781086397471428,0.0017139174063869685,0.0012068782781900131,0.002317243797344242,0.005226609881028948,0.00012202745710965246,0.0004598919185809791,0.13015911426918367,0.13292352110777772,0.04270933619257202,0.04334184017261536,0.0,0.0,0.14620666206801514,0.11547647271045486,0.11550926418789323,-3.042697926503024e-06,0.027652304619550705,0.03026617132127285,0.0017250984674319625,0.005300766788423061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268227279186249,0.1141454428434372,0.5403122305870056,0.1653946340084076,1.756435751914978,0.560371994972229,1.2882980108261108
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.028858483205917967,0.17230936884880066,0.0,0.0,0.0,0.0,0.0,0.02883612528203186,0.17206785082817078,0.06737109865892914,0.0,0.020275602135630264,0.2003084123134613,-7.014513539616019e-05,0.06296733766794205,-1.0227203347312752e-05,0.003656686322690196,0.0,0.08577955514192581,0.08173523843288422,0.013370969375518273,0.01612079337430161,0.027721796184778214,0.024458449333906174,0.1305972128944664,0.13307704027921843,0.0017472513774700077,0.002424851524548998,0.0025045741803044344,0.007808224087304249,0.0002165731566492468,0.00072105647996068,0.2533444743888358,0.25757577420553773,0.0743832359370636,0.07526226853536956,0.0,0.0,0.2551694661498874,0.19193184975455993,0.191994675954386,1.4021634342498146e-05,0.049206845462322235,0.05283116549253464,0.0013604145497083664,0.004960095509886742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6358680129051208,0.2200256884098053,1.0352085828781128,0.3365032374858856,3.3355815410614014,1.0741275548934937,2.892967939376831
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.044098747371375195,0.25871577858924866,0.0,0.0,0.0,0.0,0.0,0.04405544843587814,0.25835129618644714,0.10206330001817931,0.0,0.030874473419516067,0.32300329208374023,-0.00010510182619327679,0.08436834067106247,2.0885467165498994e-05,0.004600917586655607,0.0,0.11244066804647446,0.10573464632034302,0.013217060349006146,0.01603222235762408,0.04289393499493599,0.03777322173118591,0.20043768734197082,0.2059164464817688,0.0017497982627817559,0.003879137048179822,0.0023546074446824505,0.009020492045465928,0.00033289406565018,0.0009959478629752994,0.38222246204405763,0.38783386125687136,0.10834160467558854,0.10970846494995269,0.0,2.3800850613042712e-05,0.36671074632323913,0.26984565856161136,0.2699396878358191,7.291388465091586e-05,0.06806834042072296,0.07199231535196304,0.0008891114848665893,0.00384029233828187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019168734550476,0.3175913095474243,1.5072699785232544,0.46906179189682007,4.7085280418396,1.4549168348312378,4.989946365356445
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05856106553952995,0.3394400477409363,0.0,0.0,0.0,0.0,0.0,0.058474863119145355,0.33896490931510925,0.13801630564905,0.0,0.042749692300592806,0.4318977892398834,-0.00015916490519884974,0.10694058239459991,0.00015328788140323013,0.005907147866289196,0.0,0.1531556099653244,0.1432286947965622,0.013138701497576117,0.016103651740817748,0.059094615280628204,0.05212508887052536,0.2623213834886206,0.2703176721571704,0.001788678490849212,0.005611372224440784,0.0023595708375943637,0.009500115983675022,0.0004534812760539353,0.0012965445639565587,0.5174836017290649,0.5234587110563941,0.1450356749816107,0.1470463884458969,0.0,0.00013728332123719156,0.4765517324063318,0.346491330899234,0.34662284254945924,9.679698996478692e-05,0.0879056379199028,0.0908864438533783,0.0007353477412834764,0.0042481860145926476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4547221660614014,0.44857531785964966,1.9529531002044678,0.6015421152114868,5.993682861328125,1.87043035030365,7.07653284072876
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07299092675582076,0.41181960701942444,0.0,0.0,0.0,0.0,0.0,0.07284818726366744,0.41121768951416016,0.17392999000847045,0.0,0.05584161934207161,0.49536553025245667,-0.00010289311467204243,0.1337144821882248,0.0003192258009221405,0.007042509470266323,0.0,0.2104746252298355,0.19432924687862396,0.01314330995402984,0.01606377840766664,0.07524102181196213,0.06734023243188858,0.3012439370261499,0.3127367675632312,0.0018071692934741772,0.007532047980394049,0.0023421472016582133,0.010432749146183815,0.0006892470992170274,0.0017562194261699915,0.6424898274625451,0.6494349360392603,0.18366251614204376,0.18425554898273835,0.0,6.24418244115077e-05,0.5827852606677344,0.41739254001775267,0.4175741970849445,0.0001251494832104072,0.11390949040651321,0.11586690694093704,0.001899986295029521,0.006053650286048651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9282631874084473,0.6080070734024048,2.4517526626586914,0.7539717555046082,7.390648365020752,2.524435043334961,8.603474617004395
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07091489421979782,0.40560227632522583,0.0,0.0,0.0,0.0,0.0,0.07069143856248428,0.40491005778312683,0.16359221951431915,0.0,0.057425072999795226,0.40357381105422974,0.000189273661817424,0.14632782340049744,0.00019694924412760884,0.008983957318380737,0.0,0.22549988329410553,0.19953598082065582,0.013375693523402718,0.015714226403062956,0.07355852425098419,0.066794253885746,0.2580942668308829,0.27092341478789794,0.0017537647685109692,0.008298134772554379,0.00244812747504217,0.01088669732698124,0.0009398419123957467,0.001931054168380797,0.611802400268208,0.6161340586681677,0.18632203536543182,0.18278356625510833,0.0,0.0,0.5754654050103223,0.4071442514321704,0.407355535028717,0.00015469193749595433,0.12031862139701843,0.12013749778270721,0.0036872602067887783,0.007885239087045193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9776982069015503,0.6573688983917236,2.6540048122406006,0.7598857879638672,7.59333610534668,2.8097879886627197,7.8267011642456055
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06578886006009063,0.40508124232292175,0.0,0.0,0.0,0.0,0.0,0.06549793497920776,0.4044601321220398,0.13454893185446504,0.0,0.057433545194966504,0.31168434023857117,5.930662041464529e-07,0.15953654050827026,4.769325096276589e-05,0.012404726528543759,0.0,0.23182760179042816,0.1944066435098648,0.013369620172206349,0.015395261940984825,0.06859332323074341,0.06290782243013382,0.21290672573988556,0.22761206032525177,0.0017997673518924874,0.008649029946426735,0.0026863169871456437,0.012655677561811771,0.0010712671760291506,0.001986898947507143,0.5562887452192005,0.5567973457569751,0.18432115788924713,0.1768746407825894,0.0,0.0,0.5691696554581702,0.39633982178028565,0.39659673866169737,0.00013523816596716642,0.12274470925331116,0.12036922574043274,0.005369131453335285,0.010368232615292072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9122952222824097,0.7024881839752197,2.816195487976074,0.7762685418128967,8.011828422546387,3.0479676723480225,6.958427429199219
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05934117346658661,0.4109802544116974,0.0,0.0,0.0,0.0,0.0,0.05898919505873955,0.41043898463249207,0.10949783720031296,0.0001697031402727589,0.0587467914134298,0.24715183675289154,-5.4081679991213605e-05,0.16815409064292908,0.00010925203241640702,0.016968341544270515,0.0,0.23120489716529846,0.18450139462947845,0.013538827035304566,0.01513442035515699,0.06307333707809448,0.05777113884687424,0.18082965166809326,0.1976866423859323,0.001797555563152211,0.008446273972072392,0.00294136890572521,0.01294663793177683,0.0017668232839401603,0.002553106052801013,0.5213372416459766,0.5187137655897486,0.18706746485900697,0.1763637136330966,0.0,0.0,0.5658039211948218,0.3859962463572162,0.3862878978618872,0.00019233227067161351,0.12412524968385696,0.1188637763261795,0.007911762222647667,0.01380950678139925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9016871452331543,0.6842522621154785,2.906167507171631,0.7899406552314758,8.189790725708008,3.1011500358581543,6.6873674392700195
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.053364299220124894,0.41680708527565,0.0,0.0,0.0,0.0,0.0,0.052967316829983596,0.4164094626903534,0.09454221007426865,0.0004748571664094925,0.059843270649614255,0.21133717894554138,-0.00014077663945499808,0.1758609414100647,0.0005323481746017933,0.020875686779618263,0.0,0.22820493578910828,0.17598125338554382,0.013550304164263699,0.0152951648972652,0.059958405792713165,0.05481164902448654,0.16939535139039885,0.18880915790880431,0.0018406179237657574,0.007675016187795792,0.0032066096521242977,0.014667548401430702,0.0020796099958518507,0.002809485886245966,0.5067308277131104,0.5022996585732574,0.19413641922367797,0.18220911093476777,0.0,0.0,0.569758957615299,0.3865589797206329,0.386893156183996,0.00020719408348668367,0.12423244118690491,0.11698705703020096,0.012014045380055904,0.018436599522829056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8695194721221924,0.6534112095832825,2.9341330528259277,0.7960842847824097,8.13720703125,2.9024152755737305,6.982348442077637
