Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.012536440970465565,0.09036172926425934,0.0,0.0,0.0,0.0,0.0,0.012533377785847701,0.09030985087156296,0.012685093848964902,0.0,0.009134332633087217,0.027155529707670212,9.505516936769709e-05,0.07250379770994186,0.00012818863615393639,0.0009352801287996007,0.0,0.005684731528162956,0.005589402746409178,0.01334838262631253,0.01642456233928634,0.005102385766804218,0.004503285512328148,0.04099896062856228,0.04586440769138336,0.0019015134215534597,0.00221399892705467,0.0018699861980820123,0.0013858791808527386,0.0,0.0001402889465680346,0.08509509709255554,0.08565440774594223,0.02897385931130638,0.029560540358033485,0.0,0.0,0.16599853337729553,0.10726164880880157,0.10731630774029191,3.388255572644994e-05,0.01461214292794466,0.016759661957621574,-0.0002187212958233431,0.00021866289898753166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3258417248725891,0.10711157321929932,0.7057868242263794,0.12108895927667618,1.784004807472229,0.6533443927764893,1.1466689109802246
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02264049872327198,0.19120053946971893,0.0,0.0,0.0,0.0,0.0,0.022598976043445435,0.19106128811836243,0.023252079597602157,0.0,0.016592460702927723,0.05250302702188492,5.625261110253632e-05,0.19172239303588867,0.000779756112024188,0.0016614576260756922,0.0,0.0006389440968632698,0.000546201947145164,0.013735927189390297,0.016630334157543,0.00940852053463459,0.008017715997993946,0.07332967369129945,0.0806663632038324,0.0019992408789911735,0.0037320964028112794,0.0019382907374822659,0.004571960562563314,0.0,0.0003361447888892144,0.17090725715327057,0.16899863780817598,0.06672289169401398,0.06831698631452911,0.0,0.0,0.2912938296914905,0.17515566054652923,0.175262281259104,4.379212987259962e-05,0.027624711394309998,0.031697846949100494,-0.0004902384825982153,0.0006916458951309323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787001371383667,0.2259843796491623,1.4573214054107666,0.23293757438659668,3.264157772064209,1.1997889280319214,2.544058322906494
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03185665927702152,0.29671454429626465,0.0,0.0,0.0,0.0,0.0,0.03177507739577232,0.29644185304641724,0.03238237083421936,0.0,0.025168029036848526,0.07122471183538437,1.5808069292688742e-05,0.33841195702552795,0.004234503023326397,0.0024790241304498816,0.0,0.0,0.0,0.01618835061049083,0.018732241523410294,0.012982103042304516,0.0107162119820714,0.1040545180485672,0.11516232493979187,0.0018921152952232527,0.004981816224435882,0.0019948677911782297,0.010465859046462994,0.0,0.0006179100601002574,0.2530704918959711,0.24832312538746368,0.11078138669901841,0.11295507779680404,0.0,0.0,0.4121978223673218,0.23862805368604675,0.23881072996819672,6.953161937417462e-05,0.04075425863265991,0.04647642374038696,-0.0008220746531151235,0.002408303553238511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3596279621124268,0.3788093030452728,2.200429916381836,0.3472770154476166,4.2458086013793945,1.7739337682724,4.338711738586426
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03991303344052139,0.40594401955604553,0.0,0.0,0.0,0.0,0.0,0.03980658779265495,0.4056057333946228,0.04054191314555,0.0,0.03507475982073441,0.08510491251945496,-9.260341903427616e-05,0.4810090661048889,0.01640601083636284,0.00323662555272418,0.0,0.0,0.0,0.018426733293802393,0.02059987688215582,0.01560415793210268,0.012523321434855461,0.13395392222448715,0.14974425580489836,0.0017721150207230822,0.005892654459377737,0.002376926528537441,0.01858730135906746,0.0,0.0008713632705621421,0.32782430426278686,0.3201376415774054,0.1518074927849936,0.15497045343975524,0.0,0.0,0.5321202486607568,0.299223983325,0.29949598312296083,4.772400643560104e-05,0.05340557545423508,0.06112977862358093,-0.0006412244983948767,0.0075279660522937775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9385744333267212,0.5294317007064819,2.883469343185425,0.44546347856521606,4.950491905212402,2.41854190826416,6.450267791748047
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04638498167530205,0.5170599818229675,0.0,0.0,0.0,0.0,0.0,0.046246947224795686,0.5166137218475342,0.048874293193218156,0.0,0.045119935839874344,0.10014578700065613,-0.00017728890816215426,0.5767051577568054,0.031534332782030106,0.0038635276389690446,0.0,0.0,0.0,0.02065680435945965,0.022550075599835063,0.017855370417237282,0.014071216806769371,0.16275604666341034,0.18227239254415772,0.0017027546887535177,0.006370331567641182,0.003782567948461497,0.027928742670973627,0.0,0.0009713542531244457,0.38852313835274294,0.37928254603605593,0.1797471913348767,0.18325775232803712,0.0,0.0,0.6513869881533911,0.35911082033315184,0.35948258641485475,-2.411306013527792e-06,0.06574231386184692,0.07522137463092804,-0.0005448170122690499,0.012005695141851902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375472068786621,0.6600514054298401,3.680795431137085,0.5414983630180359,5.541626930236816,3.011794328689575,8.797038078308105
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.044245131191176144,0.526528000831604,0.0,0.0,0.0,0.0,0.0,0.044132160193534394,0.5261080265045166,0.047260325563618394,0.0,0.04570425918896988,0.10059273988008499,-0.00014934863429516554,0.5202361941337585,0.03900477662682533,0.0035935537589493038,0.0,0.0,0.0,0.02466431294901615,0.0266114406655764,0.01674460433423519,0.013060866855084896,0.1604585655321692,0.17914102371657836,0.0017778765644486116,0.005920787683204155,0.0033671482679772137,0.02713601872810047,0.0,0.001026682904921472,0.36811593285907407,0.3600742332477881,0.1593215485146933,0.16224298610164306,0.0,0.0,0.6502194643250501,0.3559343546292682,0.3562812089903564,-2.5676190489321016e-06,0.06445882469415665,0.07394732534885406,-0.0005438586231321096,0.011241299100220203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2321932315826416,0.6314244270324707,3.8600385189056396,0.5328278541564941,5.247478008270264,2.9371414184570312,9.185132026672363
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04240916538965187,0.5350611805915833,0.0,0.0,0.0,0.0,0.0,0.042305980038650284,0.5346733927726746,0.04663668154428246,0.0,0.046176336311204144,0.11215443909168243,-0.00018291320884600282,0.4500850439071655,0.04115593805909157,0.002993864648956585,0.0,0.0,0.0,0.03471306749842319,0.0368271604063649,0.01634944975376129,0.012757745571434498,0.15555333349650025,0.1735142737794983,0.0017773291135175986,0.005570532000164375,0.003092007969152134,0.02452637377118286,0.0,0.0011014792835339904,0.3513393364495929,0.34541772830435363,0.13511469240653534,0.13724771459888885,0.0,0.0,0.6519389301697791,0.35663350220974427,0.3569383412255554,2.8931795895914547e-05,0.06362982094287872,0.07280482351779938,-0.0006796069210395217,0.007949244230985641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0195515155792236,0.5870528817176819,3.9080448150634766,0.5250216722488403,4.9885573387146,2.87760591506958,9.710297584533691
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.041472628560208814,0.5448929071426392,0.0,0.0,0.0,0.0,0.0,0.041383882890141374,0.5445668697357178,0.048496439530997616,0.0,0.046056690594557345,0.13924084603786469,-0.00038251723162829876,0.38351213932037354,0.04031964763998985,0.0026078172959387302,0.0,0.0,0.0,0.051557221296903155,0.054312935441107484,0.01647658832371235,0.012921061366796494,0.15132185073139434,0.1690379082932199,0.001852355994978363,0.0053269235610745235,0.0025715196983798136,0.020315099160683938,0.0,0.000970754015725106,0.34143763851754333,0.33720841333106627,0.11458345589113052,0.11611222435144226,0.0,0.0,0.661029076548368,0.36364632250811035,0.363924413956095,8.528858597856015e-05,0.06395941227674484,0.07282345741987228,-0.0008819944923743606,0.004511951934546232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8622257709503174,0.553702175617218,3.88596248626709,0.5072420239448547,4.693869113922119,2.8562023639678955,10.27114486694336
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04176801441339653,0.5591217875480652,0.0,0.0,0.0,0.0,0.0,0.04171264486891449,0.558936357498169,0.05345416543086655,0.0,0.045516720583143155,0.1812421679496765,-0.000249985110713169,0.33160486817359924,0.04222780093550682,0.0025902511551976204,0.0,0.0,0.0,0.06907382158943573,0.07210833282924287,0.017496051266789436,0.013820162974298,0.15165008006528746,0.16805078238332977,0.0018029547295312744,0.005354124010273609,0.0023569627721821414,0.016270290291086294,0.0,0.0009822946740314364,0.3443491190911316,0.3409482162362213,0.09758750431431519,0.09905841120007995,0.0,0.0,0.6771324932483862,0.37912568447069395,0.3793848186862848,0.00015827328024897724,0.06300145387649536,0.07166960835456848,-0.0008002098184078932,0.0024477585684508085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6472171545028687,0.502303421497345,3.892869472503662,0.500248372554779,4.37815523147583,2.7206807136535645,10.998456001281738
