Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005358865944758082,0.00013767559721600264,0.0,0.0,0.0,0.0,0.0,0.005339307640359917,0.00011275368888163939,0.006608106016180248,0.0,0.009884036129781781,0.0076632448472082615,0.00013394755660556257,0.06192367151379585,0.02368738129734993,0.0007115162887594087,6.952280091354623e-05,0.014509433880448341,0.01374176423996687,0.01311171046621327,0.016536719676130004,0.001729975687339902,0.00126838986761868,0.014667693774603911,0.01703361307384968,0.0017598346633987201,0.0014371753169873022,0.0021879952287889018,0.0014330016001988626,0.0005810611182823777,0.0008054355857893825,0.049726960030959624,0.04908876121674454,0.025148859755360985,0.024106950054374045,0.0,3.5947232390753925e-05,0.1782214045616446,0.13693957630285064,0.1370036527682155,0.00016192781913559884,0.019421255216002464,0.018439756706357002,0.005844260565936565,0.006961817853152752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866984486579895,0.21531617641448975,0.528206467628479,0.14535896480083466,1.5153577327728271,0.9415324926376343,0.9625738263130188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.006120469789389267,9.910217340802774e-05,0.0,0.0,0.0,0.0,0.0,0.006068676484209862,8.902895206119865e-05,0.011945247984419136,0.0,0.017582660559387817,0.018079159781336784,0.00011725403601303697,0.19901980459690094,0.061248648911714554,0.0012054682401206566,0.0,0.0016242156270891428,0.0015042307786643505,0.014536997375234152,0.018783872325019654,0.002177818212658167,0.0012782218400388956,0.028334227933195115,0.03193107802600552,0.0016821027540353556,0.0024951617223195935,0.0024466877092638875,0.00344508283185102,0.0012996139703318477,0.0017312492709606886,0.11867895538973602,0.11296978743156998,0.06286053306431046,0.0603928691666066,0.0,0.0,0.3178227841974109,0.23197684291671508,0.23210279043535828,0.0003862297744490206,0.029413219541311264,0.027360746636986732,0.01135389693081379,0.013827512972056866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213255524635315,0.47243085503578186,1.0465410947799683,0.28500866889953613,2.735487461090088,1.8493871688842773,2.0423994064331055
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.006941782719134922,-5.995251558488235e-05,0.0,0.0,0.0,0.0,0.0,0.0068740412226670836,-1.6093790691229515e-05,0.018463760544526482,0.0,0.02649958189996956,0.03173725679516792,0.0001946449774550274,0.36976075172424316,0.11409905552864075,0.0016599344243940616,0.0,0.0,0.0,0.05006864817073563,0.05414715635679207,0.0018646789249032736,0.000571215758100152,0.050768520687622457,0.05698750246030541,0.0015189832340099978,0.0030870208886066247,0.0027261344878536774,0.006864023005846958,0.002298013074323535,0.003022315911948681,0.20139633451491334,0.18933078422668945,0.09948234280520432,0.0959721573289505,0.0,0.0,0.44443511370338135,0.3154911339491846,0.31567018924916446,0.0006331709446385503,0.035438422113657,0.031650301069021225,0.018375925719738007,0.022163044661283493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2126293182373047,0.7889660000801086,1.4939305782318115,0.4197418987751007,3.521272897720337,2.7370731830596924,3.3437767028808594
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.009620405107548866,0.00017039233352988958,0.0,0.0,0.0,0.0,0.0,0.009549440055807552,0.0003179428749717772,0.025721650355823744,0.0,0.03555348570111885,0.047146908938884735,0.0004117296193726361,0.49662381410598755,0.17951975762844086,0.001871025282505033,0.0,0.0,0.0,0.10479370804247345,0.10839655099215119,0.0014765573432669044,0.0,0.0724742010061396,0.08050605502116882,0.0014510583996903152,0.003280505814975114,0.0032030292973069287,0.009822631128619213,0.003221330000087619,0.004284228663891554,0.26543987766900634,0.24773021712748475,0.11332684587671035,0.10805193459848862,0.0,0.0,0.5631583541485803,0.3923631549253418,0.3925744771949213,0.0008878364460542798,0.041729364544153214,0.034756019711494446,0.02574099600315094,0.028808917850255966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0059709548950195,1.300992488861084,1.770512580871582,0.5748979449272156,3.9676849842071533,3.9713873863220215,4.817517280578613
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.012471591895674724,0.0003598658076953143,0.0,0.0,0.0,0.0,0.0,0.01243966209477173,0.0006703487015329301,0.032836124971506044,0.0,0.04477343168805321,0.06781709939241409,0.0014320510672405362,0.541182816028595,0.25963976979255676,0.002217548400295,0.0,0.0,0.00022934615844860673,0.17735407947649934,0.18090545833660737,0.0013994713081046939,0.0,0.0878475964175531,0.09667280617655061,0.0013808446124445222,0.0035558225930890273,0.0030776316145295145,0.0076875631674731635,0.004286621231585741,0.005751245189458132,0.29482955414902284,0.27400825618963565,0.09223219480625122,0.08670172956478485,0.0,0.0,0.6841979145907691,0.46529932622113707,0.46555709841970705,0.0014256038703024387,0.046430300921201706,0.03592225909233093,0.024184715002775192,0.024399247020483017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4008119106292725,1.8656072616577148,1.977500319480896,0.7313692569732666,4.416094779968262,5.538983345031738,6.352248191833496
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.014334393542569848,0.00021602072229143232,0.0,0.0,0.0,0.0,0.0,0.01436188275298645,0.0006210699793882668,0.03419728220767662,0.0,0.04304767644604042,0.09621630609035492,0.029571309685707092,0.45749130845069885,0.3080950975418091,0.0023034552277776243,0.0,0.0,0.00040292562334798276,0.21354088780803926,0.216756117380712,0.0009668495040386915,0.0,0.08975298035045609,0.09510973241055953,0.0017248075631520765,0.0036076620374623346,0.0025352539533621578,0.00273984344229918,0.004031379655271263,0.005430786404758692,0.2511780422102322,0.23294083399966492,0.04861226501378349,0.04348099960757874,0.0,0.0,0.680955195449928,0.4543503552338977,0.45461775660350034,0.0018254839815199375,0.04290226101875305,0.031537093222141266,0.012518862262368202,0.009864835999906063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.002880096435547,1.8787049055099487,1.8548853397369385,0.7570953965187073,4.104819297790527,6.306427478790283,6.367119312286377
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.018320888839478112,3.13774507958442e-05,0.0,0.0,0.0,0.0,0.0,0.018401406866319428,0.0005023684934712946,0.036442800896861575,0.0,0.04038568919192047,0.14271897077560425,0.08651426434516907,0.3938203454017639,0.366290807723999,0.0025874520083700894,0.0,0.0,0.0004987400607205927,0.24208408446273957,0.24456792174602937,0.0006733356276527047,0.0,0.09198087457363724,0.0945991844106781,0.0014073073495614243,0.0051397426896792504,0.002572184686195057,0.0017215649682801627,0.003987064349074726,0.005329087842255831,0.20906501632401306,0.19507161307283966,0.020420093344330977,0.016276031186098557,0.0,0.0,0.6754656583230079,0.43858172293957215,0.43885631259815977,0.0026440334040671587,0.039871688932180405,0.028125399723649025,0.005031653214246035,0.0016963339876383543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6245157718658447,1.8744304180145264,1.6718957424163818,0.7637320160865784,3.712477684020996,6.902531147003174,6.8693037033081055
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.024116247739934465,-0.000192416540812701,0.0,0.0,0.0,0.0,0.0,0.02425362532833851,0.0003363910363987088,0.039687785729318005,0.0,0.037782504191998065,0.19089120626449585,0.1488879770040512,0.35847559571266174,0.41496193408966064,0.003155582817271352,0.0,0.0,0.0007540791993960738,0.2622148290609088,0.26379515823659394,0.00039962297887541354,0.0,0.09138198943378692,0.09209672359368454,0.001215189210833425,0.007881234512456446,0.002410686692586421,0.0013140039542071892,0.003776075952298546,0.005006495863199234,0.17651692103974487,0.16754522248939147,0.007509447567878323,0.0047430801799658966,0.0,0.0,0.6647569894512,0.41737490298296387,0.4176454544433844,0.00430759834125638,0.03870612382888794,0.027811579406261444,0.0020181743893772364,-5.319282354321331e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2908692359924316,1.8957570791244507,1.5545763969421387,0.7812389135360718,3.68595290184021,7.269926071166992,7.110771179199219
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.031334048119465524,-0.0006539853638969362,0.0,0.0,0.0,0.0,0.0,0.03153078759593189,-0.00015896171680651605,0.04346724328597672,0.0,0.03440944718331329,0.2361212968826294,0.20590488612651825,0.33805137872695923,0.4502473771572113,0.0036567728966474533,0.0,0.0,0.0008616471313871443,0.2802929386348383,0.28068824561095823,0.00023693811090197414,0.0,0.08922856448129547,0.08681428581560363,0.001168693948305526,0.011994426027604732,0.0021550529284008186,0.0008203168711955533,0.003491992345223761,0.004517754539847374,0.1535737991572403,0.14776382557212067,0.003993535537329182,0.0017908520526400589,0.0,0.0,0.6492776334194372,0.39444792267755735,0.3947211533916376,0.0058721816167235374,0.03941164165735245,0.03014681302011013,0.0012166743399575353,-0.0009110210812650621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0142064094543457,1.6541157960891724,1.4999821186065674,0.8005653023719788,3.8836231231689453,7.194672584533691,7.645560264587402
