Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00658561614723506,0.020091678947210312,0.0,0.0,0.0,0.0,0.0,0.006604546610878029,0.020098933950066566,0.005097554351201982,0.0,0.008321981395104705,0.014118346385657787,0.004606103524565697,0.028152504935860634,0.022937782108783722,0.0004189146573871729,0.00014484088751487434,0.014638051390647888,0.014405487105250359,0.01322857824892141,0.016304126867159638,0.002133465837687254,0.001892480649985373,0.020020646757834264,0.023401591713750364,0.0017818472546152005,0.0018259918980949783,0.0019834558584732867,0.0012042091712285256,0.0005558790289796889,0.0006146145751699805,0.03753616359608032,0.040623534477099536,0.006214624778592491,0.006450701060202427,0.0,0.0,0.10503122956479172,0.0739201590765361,0.07393172012456353,0.000293041521217674,0.00934649258852005,0.010484951548278332,0.002025905065238476,0.0038547434378415346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675260901451111,0.13534024357795715,0.44074589014053345,0.1295434534549713,1.372114658355713,1.404160737991333,1.1762094497680664
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.010671737040761605,0.05143730714917183,0.0,0.0,0.0,0.0,0.0,0.01067269198356327,0.05142955854535103,0.010176897383222847,0.0,0.014286926965983524,0.04608994722366333,0.010820494964718819,0.07863327860832214,0.054152362048625946,0.0006592795061145199,0.0001383153285132721,0.01879117079079151,0.017798470333218575,0.013117563817121793,0.0161659338446215,0.003898102091625333,0.0031898748129606247,0.03564172012975502,0.03844790902168442,0.001695693926354494,0.0034232840397380496,0.0021815597009410973,0.002179999625033512,0.0012397137470543385,0.0013294810196384788,0.09531350250410828,0.09842603803953735,0.013570243893270398,0.01402115122931593,0.0,0.0,0.17673669756658966,0.11750348512004608,0.11752259876350998,0.000754609820432961,0.016947738826274872,0.01886485144495964,0.0029493551701307297,0.006484475918114185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201841592788696,0.23652073740959167,0.9451414346694946,0.2481735497713089,2.802792549133301,2.4967188835144043,2.616410732269287
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.013686348161339398,0.0987701490521431,0.0,0.0,0.0,0.0,0.0,0.013707605712746963,0.09878969937562943,0.01890416063832035,0.0,0.020742335733501892,0.11340965330600739,0.014063787646591663,0.14603514969348907,0.04184296727180481,0.0009520988250796402,0.00023425072140526026,0.012920482084155083,0.013637008145451546,0.013141438498450383,0.015764568227767114,0.006406208034604788,0.005159120541065931,0.06741219014386597,0.0689237609849617,0.0016963729105471297,0.005090443361232595,0.002274073944387318,0.003270638251934271,0.0016518484335392714,0.001761767314746976,0.20497025881796815,0.20898821725967895,0.029284181277689857,0.03056136636398945,0.0,0.0,0.2529520184151047,0.17420067789258972,0.1741924852010077,0.0003232857561670244,0.02193504013121128,0.0256201159209013,0.0017748462269082665,0.00686264643445611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783378005027771,0.3256327509880066,1.4606475830078125,0.35393232107162476,3.9294517040252686,3.371581554412842,4.537834644317627
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.016052628241291677,0.15857116878032684,0.0,0.0,0.0,0.0,0.0,0.016073969363888226,0.15855126082897186,0.03224607908106636,0.0,0.028941616961990737,0.18874984979629517,0.012635717168450356,0.20307913422584534,0.029888790100812912,0.0013674543933822488,0.00011972355423495173,0.010789601132273674,0.01286605466157198,0.013257343349744483,0.01552112214511393,0.011954637244343758,0.009832954034209251,0.10586741639419922,0.10537646558273041,0.0014654772522058339,0.006587581287523718,0.0022983938292747176,0.003844333220760126,0.0017539120744913816,0.0019203608389943838,0.3312567271391449,0.334217748789472,0.05082967337204689,0.05338733768324356,0.0,0.0,0.33537729679079226,0.24138506654643554,0.24135141372598817,0.0003914253902621567,0.026785124093294144,0.031332310289144516,0.001259095617569983,0.007277640514075756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0574344396591187,0.4085048735141754,1.9323680400848389,0.4521389603614807,5.231076717376709,4.088505268096924,6.573160648345947
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.017237695707236787,0.2290816307067871,0.0,0.0,0.0,0.0,0.0,0.017263484622895585,0.22908443212509155,0.04713186688720886,0.0,0.03915974703381737,0.24556465446949005,0.011616302654147148,0.25454181432724,0.025448348373174667,0.001727942693178575,9.384960139868781e-05,0.026222212240099907,0.02960664965212345,0.013412871960026544,0.015487179095768178,0.018574517220258713,0.01546008512377739,0.14329116643536774,0.14190598133505128,0.0014123969190537504,0.008303983543928547,0.002473308735885644,0.004747955685069647,0.002052560681477189,0.002391181653365493,0.4475405879701288,0.44966767429571475,0.07588269289842575,0.07980805751573929,0.0,0.0,0.4166519462966254,0.30763660673299315,0.30762064460043215,0.00044675887329503894,0.032936133444309235,0.0381295382976532,0.002011353150010109,0.010923556052148342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3652093410491943,0.5026583671569824,2.459275007247925,0.5784027576446533,7.3042378425598145,4.896030426025391,7.697290897369385
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.014063468080323906,0.25454482436180115,0.0,0.0,0.0,0.0,0.0,0.014067658393891354,0.2545754909515381,0.048668224526116105,0.0,0.04269367701013878,0.21562093496322632,0.00759883364662528,0.24141012132167816,0.017331495881080627,0.0017467458665150046,0.00024651794228702784,0.05952375754714012,0.06257157027721405,0.013455662118348685,0.015503503058127852,0.02094806171953678,0.017663298174738884,0.14202718514104828,0.14150614436591613,0.0014215665463431792,0.008340739055052738,0.0024974149865436314,0.005092264847093039,0.0020693484174902155,0.002544717164710164,0.4512651275764813,0.4528611413975073,0.08742243247541717,0.09131886794044158,0.0,0.0,0.4219665169945752,0.3180939882657428,0.3181224644167633,0.0003602859505917877,0.03633960336446762,0.04089251533150673,0.0046518947929143906,0.01662767492234707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4392718076705933,0.48679518699645996,2.5019922256469727,0.582918643951416,8.469931602478027,4.775501251220703,6.568645477294922
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.010313033684904193,0.27600765228271484,0.0,0.0,0.0,0.0,0.0,0.010302186173208008,0.27610859274864197,0.04843309475729706,0.0,0.04641690065751762,0.17360571026802063,0.0029950025491416454,0.23475809395313263,0.010553259402513504,0.0013939199866538526,0.00022570640430785716,0.09379296004772186,0.09707757830619812,0.013276336516618765,0.01535021235465149,0.022479908540844917,0.019269756972789764,0.13680612299387573,0.13779941649924393,0.001390518513924153,0.0077207025052112195,0.0024537113743088655,0.006052181878290739,0.0022927755458102272,0.0029833251610398293,0.43490585308739504,0.4384634398216876,0.09891477997767945,0.10363719930242965,0.0,0.0,0.42189355196161865,0.3282496809607361,0.3282772987736969,0.00030705987592227757,0.0411706417798996,0.046006642282009125,0.010448090732097626,0.025577638298273087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5169181823730469,0.490201473236084,2.5530917644500732,0.606316089630127,9.049245834350586,4.533843517303467,6.047091007232666
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0069533096033270545,0.29016444087028503,0.0,0.0,0.0,0.0,0.0,0.00695632435256875,0.290363609790802,0.0472479271139196,0.0,0.048955379953983844,0.14006982743740082,0.0010409263195469975,0.24573542177677155,0.010560824535787106,0.001202856656163931,0.00012948960647918284,0.1129145622253418,0.11709258705377579,0.013325866799064388,0.015167938945655705,0.022533467039465904,0.019538115710020065,0.1331584230208612,0.13723027703902374,0.0014072028818730286,0.007169799526014118,0.0024181280181652595,0.006207329805506058,0.002270285441152358,0.0031124416273087263,0.4147993035279956,0.4197646610422479,0.11173601535033996,0.11742916662601273,0.0,0.0,0.42564109561041014,0.3410188198282855,0.3410409689316046,0.00026590467314235866,0.043973494321107864,0.04992815852165222,0.016170471906661987,0.03422418236732483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6390608549118042,0.49866724014282227,2.609471559524536,0.6216866970062256,8.94050121307373,4.474203109741211,6.051866054534912
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.004426436248327307,0.3037995398044586,0.0,0.0,0.0,0.0,0.0,0.00441124209706903,0.30399051308631897,0.04569262740214951,0.0,0.05125674473256103,0.12226966768503189,0.0008030715398490429,0.27137473225593567,0.015058132819831371,0.0010684335138648748,0.00011088997416663915,0.11822420358657837,0.12276890128850937,0.013471022536131833,0.01514485321722022,0.022770028561353683,0.019612204283475876,0.1359162121816052,0.14119081348264922,0.001298375494546571,0.006347117368796263,0.002455492378657636,0.009337661018744564,0.0022797335220077993,0.003282764460891485,0.40143719615946044,0.406850866592514,0.12340234302176224,0.13006969459775453,0.0,0.0,0.4338792920021246,0.35496887561754453,0.35501233042601565,0.00026103228447027504,0.045656681060791016,0.052523255348205566,0.022449098527431488,0.04408580809831619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7782394886016846,0.5149802565574646,2.685732364654541,0.6309393048286438,8.448648452758789,4.518881797790527,6.24297571182251
