Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.03259961679027977,0.0001024154043989256,0.0,0.0,0.0,0.0,0.0,0.032685831118987124,0.00010438043682370335,0.01921933219488594,0.0,0.011036216265031873,0.05666913464665413,0.0001010187334031798,0.017188875004649162,3.400876448722556e-05,0.00029793422149213786,0.0001673839578870684,0.062392305582761765,0.06370562314987183,0.013172018208600792,0.016420872577488907,0.008152940310537815,0.008052961900830269,0.027116822793536492,0.028221668462479116,0.001798704402399522,0.001725693346252408,0.0017924034214700504,0.0007305065537732518,0.0009746247669681907,0.0010809438535943627,0.12846947160141328,0.1320533528987018,0.041607764126026535,0.043421464527454684,0.0056411805562675,0.005696331150829792,0.04780977779055218,0.03496405442974999,0.03494932898542038,1.4975010344642214e-05,0.037389785051345825,0.04112650081515312,0.0222431942820549,0.025067869573831558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103229284286499,0.13968881964683533,0.28685683012008667,0.2522522807121277,1.7425342798233032,1.1824394464492798,0.7347152233123779
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.06387566811907638,0.0002489019825588912,0.0,0.0,0.0,0.0,0.0,0.06400915398953613,0.000255961058428511,0.035445044151435165,0.0,0.020971009526224747,0.09698808193206787,0.0001999629894271493,0.04106698930263519,6.928591028554365e-05,0.00027801984736227774,0.0003178359183948487,0.11884886026382446,0.12073749303817749,0.012986300082974724,0.016394493814022023,0.015553305856883526,0.015410411171615124,0.038241248189118386,0.038360441068121684,0.00178726966730747,0.002984713296311369,0.0018118843089471462,0.0011310807533588254,0.002038531471043825,0.002261974848806858,0.23471063192057404,0.24057669342836946,0.08434177136987915,0.08786273514437072,0.010949569754302502,0.011020056903362274,0.06024780498155052,0.03466225113670122,0.03463695167641397,-1.2969137060281355e-05,0.07139933854341507,0.07796977460384369,0.04364422336220741,0.04885302484035492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1296873092651367,0.30867189168930054,0.6014685034751892,0.48802900314331055,3.4661917686462402,2.3321542739868164,1.38916015625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.09255817666524613,0.00031602667877450585,0.0,0.0,0.0,0.0,0.0,0.09271714236650407,0.00029830256244167686,0.043335867975819016,0.0,0.031951751005380134,0.114119753241539,0.00027977838180959225,0.07558166235685349,7.566911517642438e-05,0.00029254545822089516,0.00043977945460937917,0.16496075689792633,0.16568082571029663,0.012854004412246808,0.016225224776733767,0.02178029529750347,0.021833525970578194,0.03759932890991631,0.03930411379498692,0.001707530005833892,0.004078830070475654,0.00184397993896372,0.0016714430714734603,0.0030101132579147816,0.0033215696457773447,0.30620913539916017,0.3152000285637714,0.12713853290253632,0.13144458016716157,0.015728643164038658,0.015805741772055626,0.07515802759445839,0.03452715748186527,0.03450439092349075,-9.948545630322769e-05,0.10113842040300369,0.10957195609807968,0.06475302577018738,0.07097460329532623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8714457750320435,0.501645028591156,0.9393864274024963,0.675666332244873,5.064070224761963,3.404381036758423,2.110294818878174
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.11483701069634263,0.0003501875908114016,0.0,0.0,0.0,0.0,0.0,0.1150090491247377,0.00030682492069900036,0.04738967471695732,0.0,0.044246998230253604,0.12157191336154938,0.00024855497758835554,0.12820295989513397,0.00025106436805799603,0.00041585964752553913,0.0005617077695205808,0.19449937343597412,0.19385404884815216,0.012841837974031373,0.016161046662713795,0.026042768731713295,0.025983721017837524,0.03366110360368618,0.03772811625290119,0.0016309213265608706,0.0052185794780161094,0.001791033126661349,0.004342629448066254,0.003960802219808102,0.004374363925307989,0.3605739273230133,0.37274151220766966,0.17993075232936614,0.18543367212872008,0.017039760947227478,0.017132841050624847,0.09241403488845992,0.03460604262299005,0.034588620252088795,-0.00016149639850482345,0.12547431886196136,0.13556885719299316,0.08488978445529938,0.09249438345432281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694857358932495,0.6290715932846069,1.361020565032959,0.904201865196228,6.805872440338135,4.117632865905762,2.82763409614563
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.13253305370942262,0.0006226954865269363,0.0,0.0,0.0,0.0,0.0,0.13270308959072816,0.0005172083037905395,0.05157034166156952,0.0,0.05692613330434044,0.13071832060813904,0.0002266344818053767,0.21258597075939178,0.0007426668889820576,0.0005273874806156713,0.0007768156938254833,0.20847871899604797,0.20748735964298248,0.012806695116450877,0.016225839202203596,0.02739805541932583,0.026872634887695312,0.02977495492566315,0.037222829866416667,0.0014392559710673563,0.006129367218281908,0.0018037188003165515,0.01374881071742424,0.004832982085645199,0.00553044443950057,0.42227850038658693,0.4367741465495142,0.24986460533252686,0.2576291200209845,0.014598419889807701,0.014699195511639118,0.10911661087506316,0.034723482437110285,0.03471026520321495,-0.0002105221210513264,0.14815932512283325,0.16030222177505493,0.11019201576709747,0.12196353077888489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572880744934082,0.9143803119659424,1.7591590881347656,0.9774793982505798,8.408157348632812,4.949276447296143,3.4422121047973633
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.12073095130578873,0.0005181963206268847,0.0,0.0,0.0,0.0,0.0,0.1208874827094989,0.0003863534366246313,0.045165289354988786,0.0,0.05792175477941826,0.12143954634666443,0.00015819762484170496,0.26842203736305237,0.0021487106569111347,0.000583623505920434,0.000638448866084218,0.17458023130893707,0.17312487959861755,0.012705985891943258,0.016272895907306836,0.021875081583857536,0.021025817841291428,0.02415036021818861,0.035293714663634186,0.0012583445962824913,0.005658470901176672,0.0019753321040177664,0.024819459994517973,0.004727758880972357,0.005418008659034967,0.4145979892383923,0.4274271838207556,0.27657394307169253,0.28580767645312927,0.013650898821651936,0.013783833011984825,0.10259886982355469,0.03449521981367681,0.03451937414773789,-0.000215457082958892,0.13863255083560944,0.1503152698278427,0.1171543300151825,0.1337016224861145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.661606550216675,0.8755825161933899,1.833377480506897,0.8649294972419739,8.462837219238281,4.841035842895508,3.4432876110076904
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.11047436539065322,0.0004693380615208298,0.0,0.0,0.0,0.0,0.0,0.11061013506055618,0.00025285451556555927,0.040669634478786014,0.0,0.05891257112513275,0.11783633381128311,0.0003150520205963403,0.31213822960853577,0.008451294153928757,0.0003955040897519916,0.000570145552046597,0.14821405708789825,0.14544795453548431,0.012493915890708602,0.01615999870115968,0.018668176606297493,0.017742358148097992,0.026110654732037775,0.04097814934145088,0.0011301412693659676,0.005053919451783285,0.0023082721556955464,0.03334148722624001,0.004856237439979677,0.005565637722611427,0.4160432479924854,0.42678918468901245,0.2884011345671417,0.29793750067543456,0.013488109223544598,0.013705920428037643,0.09603097291393875,0.03382777594933178,0.0338840583359122,-0.00022704422008246183,0.13294559717178345,0.14468339085578918,0.12079718708992004,0.14044879376888275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8221466541290283,0.7034894824028015,2.0587618350982666,0.8152790665626526,8.660109519958496,4.3105363845825195,3.6118507385253906
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10403088092460587,0.00044404304935596883,0.0,0.0,0.0,0.0,0.0,0.1041325720945958,0.00022484510554932058,0.038632843121438366,0.0,0.05947382651865822,0.1250687688589096,0.0004827437223866582,0.3167293071746826,0.014439007267355919,0.00032465311232954264,0.0005021670367568731,0.13280896842479706,0.12673664093017578,0.01251171505261067,0.016101558685609134,0.016723889857530594,0.01572362333536148,0.0372774135464645,0.05341086534402023,0.0011489645796785152,0.004538997654595165,0.00289906154050517,0.036228971208942716,0.0049732473498057365,0.005759625229984522,0.41908419203393127,0.42687251493171324,0.27139405992698484,0.27979054261354247,0.020564081147313118,0.020792150869965553,0.09735466388061662,0.033568204915035205,0.033654186532924395,-0.00022701651323586702,0.1289631873369217,0.1404930055141449,0.11799716204404831,0.13952146470546722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.148963451385498,0.6515581607818604,2.1847012042999268,0.785315752029419,8.710205078125,3.604064464569092,3.8975582122802734
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10075220091370743,0.0006804386503063142,0.0,0.0,0.0,0.0,0.0,0.10082423257214249,0.0004931786679662764,0.03860692036350853,0.0,0.05976933108777038,0.13708248734474182,0.0005692545091733336,0.2810274660587311,0.016602765768766403,0.0003922191681340337,0.00045746893738396466,0.12964403629302979,0.12081103026866913,0.012673159548748564,0.015988551026834462,0.01582256704568863,0.014432176016271114,0.04749365297988785,0.06265600547278632,0.0011914011060738352,0.004055786766776238,0.0030983128438032688,0.03268740901179657,0.0053310065811077115,0.006115146446973085,0.40929010810861816,0.4163643639451141,0.23379742436302886,0.24002540775063996,0.03998366743326187,0.0401257760822773,0.10498608498851761,0.03314428159507123,0.03323678188758969,-0.0002262219786643982,0.12670791149139404,0.13655701279640198,0.10945350676774979,0.12863150238990784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611158847808838,0.648932933807373,2.1990129947662354,0.74385005235672,8.621614456176758,3.134493350982666,4.0602922439575195
