Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007074719755068445,0.09282774478197098,0.0,0.0,0.0,0.0,0.0,0.00709542205990962,0.09286637604236603,0.005390364496967525,7.21152318874374e-05,0.007576408779689846,0.023787599056959152,0.00016164022963494062,0.035210903733968735,0.0058586630038917065,0.0019334039105551673,0.0,0.0,1.30215876197326e-05,0.022230392297964287,0.025375742117082253,0.0033964545000344515,0.0027321884408593178,0.021131261035256692,0.02470106982740164,0.0018202166150969386,0.0017494299647116327,0.0020792845203430324,0.0008292830916982567,4.291785444365814e-05,0.0002831437741406262,0.045463290778563994,0.04670952261124527,0.011757025071644688,0.011304995531645125,0.0,0.0,0.06435706839883903,0.06649339053520004,0.06652054937370713,8.802950469544157e-05,0.005511422175914049,0.0057924166321754456,-9.998003952205181e-05,0.0001125053531723097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36402130126953125,0.08613228797912598,0.6894577741622925,0.13847820460796356,1.3932759761810303,0.5480191111564636,1.7513477802276611
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012690744731012478,0.1942712962627411,0.0,0.0,0.0,0.0,0.0,0.01272052131353077,0.19433920085430145,0.010924239977190761,0.00013880031474400312,0.013568195532830372,0.059581466019153595,0.0006956630968488753,0.10966859012842178,0.03409397974610329,0.003526552619339175,0.0,0.0,0.0,0.06707253011611022,0.06948153379564148,0.005781058222055435,0.004392928443849087,0.03319426400831032,0.03721820000738789,0.0017704677131186203,0.003052753628136983,0.0018432768791829127,0.0010791650495517993,7.664204895263538e-05,0.0005498832324519753,0.09054764921831879,0.0907989531882724,0.02543698384434452,0.025143095753663712,0.0,0.0,0.09561078624137337,0.10252502415250533,0.10257962491135239,0.00027008651522919536,0.008482363075017929,0.008605659939348698,-0.00019063838408328593,9.315615898231044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745188295841217,0.1788177490234375,1.3148407936096191,0.2730094790458679,2.4979143142700195,0.9230715036392212,4.040623188018799
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01879771187776291,0.308512806892395,0.0,0.0,0.0,0.0,0.0,0.01884195540163456,0.30865129828453064,0.01588196952359667,0.00026156738749705255,0.018525810357658844,0.09578302502632141,0.0016129640862345695,0.20782220363616943,0.08006656169891357,0.005818069113017311,0.0,0.0,0.0,0.12871385515859346,0.13050877156756363,0.007543754298239946,0.005354783497750759,0.04509460926513138,0.04912456948024483,0.0016763321584137751,0.004470981135646419,0.0018211210774791552,0.0010936038636379648,8.175214315997437e-05,0.0007997333304956555,0.14068663452654817,0.13646593465927612,0.03729426881247513,0.03668731009923134,0.0,0.0,0.13201748732246094,0.14747831376495377,0.14756521283353027,0.0004371988179627806,0.009903018362820148,0.00932486355304718,-0.00016326759941875935,8.578035340178758e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079262137413025,0.2920600473880768,1.77205491065979,0.4190801680088043,3.463468074798584,1.2744842767715454,6.658293724060059
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025782860189488565,0.4260934889316559,0.0,0.0,0.0,0.0,0.0,0.025855891577621422,0.4263307452201843,0.021676923864849318,0.0004318515711929649,0.022955162996684455,0.12953664362430573,0.005977285094559193,0.2717038691043854,0.13014942407608032,0.008747494523028908,0.0,0.0,0.0,0.18298121841368165,0.1840749740392169,0.008890441618859768,0.006003144662827253,0.05754307730242142,0.06080885078895294,0.0017442642702385784,0.006080825857272358,0.0018417085270777157,0.0011992144184399139,7.816353172529489e-05,0.0010428607929497957,0.17313776389756774,0.16618461087195344,0.04122705589963669,0.039745291082663343,0.0,0.0,0.1747112482640283,0.2026791811361267,0.20278786420740297,0.0006703084800392389,0.010694143362343311,0.009261219762265682,-0.00026666608755476773,9.48177621467039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2578963041305542,0.3427448868751526,2.246619701385498,0.5581123232841492,4.512803554534912,1.8290016651153564,9.174081802368164
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033525752676879426,0.5519109964370728,0.0,0.0,0.0,0.0,0.0,0.03359531375354515,0.5521865487098694,0.02594187736510937,0.0005761535721831024,0.025533879369003372,0.1396360695362091,0.014768979512155056,0.2796786427497864,0.1731698364019394,0.011018461514395695,0.0,0.0,0.0,0.2168497413312433,0.21824748516632692,0.00914751086384058,0.005772898904979229,0.06352449805606095,0.06538250971139214,0.0017803182159101165,0.007493428361531182,0.0019927257109759243,0.0014129096270146333,0.00016968403360806406,0.0013141967356204987,0.18463554162632537,0.1744209498093637,0.03767212208620041,0.03698975708973297,0.0,0.0,0.21779069005482696,0.2588502198854971,0.2589820027661731,0.0007508638664148748,0.010618832893669605,0.009026829153299332,-0.0004595427599269897,-8.81229352671653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5279062986373901,0.6094607710838318,2.6601169109344482,0.723378598690033,5.697885990142822,2.3954360485076904,11.61514663696289
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03481280791417953,0.5492967367172241,0.0,0.0,0.0,0.0,0.0,0.034909697420211334,0.5496355295181274,0.023381717664667817,0.0006965036736801267,0.02411367616256073,0.10936442017555237,0.020321788266301155,0.19622379541397095,0.17571787536144257,0.011846656648233795,0.0,0.0,0.0,0.17312273976726777,0.1754854292045569,0.008187548257410526,0.0049658603966236115,0.04493634480138763,0.04382290650034893,0.0018585803658076616,0.007087443365231495,0.0022685398590390517,0.0017871725095517563,0.0006106420832569313,0.0018406606977805495,0.13743277005065582,0.12936262412265076,0.025673195817201653,0.02457384935392521,0.0,0.0,0.22583916189585085,0.26376416083787874,0.2638886153681488,0.0007379764574579895,0.009987958706915379,0.009517625905573368,-0.0002324407105334103,6.210878200363368e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.400402307510376,0.5561928749084473,2.6602818965911865,0.7119316458702087,6.138261795043945,2.8027524948120117,10.728527069091797
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0352873640133091,0.540656328201294,0.0,0.0,0.0,0.0,0.0,0.03538808987737442,0.5409957766532898,0.021795274230339546,0.0007847288507036865,0.021813898884160233,0.0846373662352562,0.025989141315221786,0.13428696990013123,0.16531163454055786,0.012516348333079148,0.0,0.0,0.0,0.12579012514314805,0.12879453449274492,0.006660756655037403,0.003346158191561699,0.02762991007213711,0.024258759634600828,0.001922939389894427,0.006936802240560636,0.0023168492728098742,0.0019224759276729488,0.0006491083736353266,0.00195329450070858,0.1003094650454219,0.09373831528374282,0.012753495270192814,0.011828771245891552,0.0,0.0,0.22965213658018707,0.2641269147044037,0.26425389346020506,0.0008135783718898892,0.009861316531896591,0.010897533036768436,-0.0003135730803478509,5.972072540316731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3861595392227173,0.6227730512619019,2.6718204021453857,0.7241069078445435,6.702239036560059,3.0825045108795166,9.84405517578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03551345675840332,0.5256527662277222,0.0,0.0,0.0,0.0,0.0,0.035596219728386766,0.5258437991142273,0.020756281390338287,0.0006879061693325639,0.018992244234684524,0.06985015422105789,0.03178176283836365,0.08952240645885468,0.15192720293998718,0.011999097652733326,0.0,0.0,0.0,0.09162383231866028,0.09439336356458161,0.006327071692794561,0.0030740469228476286,0.02011593246402508,0.015136106848629819,0.0018542791469911134,0.007090843860783367,0.0023450208404243653,0.002052281636310406,0.0005859326856057882,0.0017525411676615477,0.07466486167542602,0.06966709419921509,0.004908222638784009,0.004304552044547005,0.0,0.0,0.2330363601167502,0.2595006019070285,0.2596338838705313,0.0008140695281326771,0.010350792668759823,0.012644287198781967,-0.00045290013076737523,-0.00028142883093096316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356015682220459,0.5143378376960754,2.8826005458831787,0.720535933971405,7.1916022300720215,3.4935176372528076,8.88988208770752
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.035883370769302064,0.5106677412986755,0.0,0.0,0.0,0.0,0.0,0.03596979694945038,0.5108687281608582,0.018527160482608145,0.0006247351411730051,0.015484521707000657,0.060625042766332626,0.03480096161365509,0.06317877024412155,0.13351163268089294,0.011332674883306026,0.0,0.0,0.0,0.07392394839235703,0.07698845566964738,0.00548909418284893,0.0024526796769350767,0.017766968886412507,0.013457044412757808,0.0024101143439778476,0.007230411172577534,0.003949876662090374,0.003411579806507087,0.0009079786647619664,0.001906231394968927,0.05865241142521133,0.05444762817679596,0.002200428635869787,0.001839261152330675,0.0,0.0,0.2326471567062567,0.24730417129472962,0.247445198906698,0.0009642753284424543,0.011424222029745579,0.0143806803971529,-0.0004933567834086716,-0.000280965119600296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4186739921569824,0.5393882393836975,3.119434356689453,0.7128771543502808,7.385746002197266,3.543680191040039,8.308544158935547
