Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.014743989328011894,0.02890198864042759,0.0,0.0,0.0,0.0,0.0,0.014766650204227485,0.028874292969703674,0.006213934912345142,0.0,0.006616584474662123,0.015097585506737232,0.002045992761850357,0.012841383926570415,0.0001461719220969826,0.0008201218014100922,0.0,0.03788746893405914,0.03579769283533096,0.013246817982357032,0.016277007606892865,0.005844670347869396,0.005605184938758612,0.0206602781707576,0.02152690083833933,0.0018621553512004137,0.002449286516075697,0.0019092497455601978,0.0005501098367315209,0.0003179186023771763,0.00029475020710378885,0.048426669804023284,0.05074688420329964,0.0076588220384358405,0.007618564667609043,0.0,0.0,0.0927959010096846,0.06731559563168327,0.06732897834666665,4.3836713302880526e-05,0.016306059435009956,0.01838582381606102,0.0017979644471779466,0.002854368882253766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601183354854584,0.2271333634853363,0.4153968393802643,0.17138248682022095,1.4256311655044556,1.4870665073394775,0.9180399179458618
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.027042597900513304,0.06492031365633011,0.0,0.0,0.0,0.0,0.0,0.02705038875101265,0.06482265144586563,0.011911300345251827,0.0,0.01117221826669754,0.028256336227059364,0.005433682352304459,0.026819869875907898,0.004166410770267248,0.0011461745988775266,0.0,0.07206554710865021,0.06736455112695694,0.013204163870813447,0.015998291888553392,0.011113552376627922,0.010679952800273895,0.028765877320077897,0.028477069886335624,0.0020249737291814255,0.0043520391908459565,0.002042935755409662,0.0008533199363879853,0.0006970669492147863,0.0006303354748524725,0.08499396408962998,0.08798363955101578,0.013386005936269665,0.013524212404662304,0.0,0.0,0.15106565506466324,0.10047991428445571,0.1005005403957808,8.453083137283102e-05,0.032727040350437164,0.03688221052289009,0.004994977731257677,0.007420246955007315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5620620846748352,0.44078683853149414,0.8426664471626282,0.3275430500507355,2.856626033782959,2.7424325942993164,2.1270155906677246
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.037683562784134976,0.1057543158531189,0.0,0.0,0.0,0.0,0.0,0.03767793398413597,0.10554762184619904,0.017521269549596215,0.0,0.015250217546253185,0.04763686656951904,0.010838325135409832,0.046365756541490555,0.013639072887599468,0.0019083020897295976,0.0,0.10536542534828186,0.09767743200063705,0.01318380650150118,0.015729151165303875,0.016520150005817413,0.015789521858096123,0.03787602112154427,0.03599072884482594,0.002089039073499212,0.006288086007962541,0.002208155980293931,0.0012851570102163363,0.001074177329428494,0.0009930249070748687,0.130806151376066,0.13424138500813018,0.020737517829475326,0.020642685949431992,0.0,0.0,0.21230129305041961,0.13701102288665787,0.13704175947869476,0.00020108913304284215,0.04978194832801819,0.05603545159101486,0.009127644822001457,0.01340478751808405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833670377731323,0.5010964870452881,1.3108500242233276,0.4807285964488983,4.588159084320068,3.424241065979004,3.6679015159606934
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04544671748559776,0.1538914442062378,0.0,0.0,0.0,0.0,0.0,0.045396676458140335,0.1535673588514328,0.025854620867737044,0.0,0.019911477888261222,0.09367477893829346,0.014060074463486671,0.08187049627304077,0.01181281078606844,0.0028396895849956845,0.0,0.14496488869190216,0.1343313604593277,0.01332614343706417,0.015495476955661013,0.022769179195165634,0.021512120962142944,0.053377852571452944,0.05036746557939255,0.0022929490069523457,0.008400350853255006,0.0024104884546397067,0.0020081376326482486,0.001517110737040639,0.0014892324106767774,0.22052348629632568,0.22384054139105744,0.03511177580787415,0.03470401963452797,0.0,0.0,0.280013701305105,0.181074449457164,0.1811067342749994,0.00030106829944998026,0.06923149526119232,0.07655059546232224,0.014541012234985828,0.02187340147793293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927330017089844,0.6481290459632874,1.6929149627685547,0.6123791933059692,6.322560787200928,3.931262969970703,5.376028537750244
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05322893227473404,0.20791897177696228,0.0,0.0,0.0,0.0,0.0,0.05314390125459419,0.20755313336849213,0.03815169326960747,0.0,0.02613190953384121,0.1650218367576599,0.010389603674411774,0.11653764545917511,0.0016908181132748723,0.004472878262531977,0.0,0.1916290670633316,0.17796455323696136,0.013551207821292204,0.015401288278777892,0.032171789556741714,0.03032148815691471,0.07663211823571411,0.0708232328623607,0.002360760528549323,0.010243951749916954,0.0025667720785224678,0.0027971238340789937,0.00196578330360353,0.0019748101476579905,0.3535772033418329,0.3561069786475214,0.061133415515336686,0.06074473005425819,0.0,0.0,0.35320602058403994,0.23256625537076478,0.2325947732043674,0.00046879411092959344,0.08942767977714539,0.09763244539499283,0.018613990396261215,0.02835914120078087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110477685928345,0.8830934762954712,2.00744891166687,0.7460306882858276,7.766506671905518,4.390298843383789,7.252479076385498
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.047717835631531445,0.213298037648201,0.0,0.0,0.0,0.0,0.0,0.04766584018549492,0.2130155712366104,0.046191699964472505,0.0,0.029204628082116393,0.20668670535087585,0.003724985057488084,0.12271393090486526,0.001091253710910678,0.004456779656723404,0.0,0.20948074758052826,0.1970582902431488,0.013392818566489426,0.015503701313420923,0.037761133164167404,0.03590626269578934,0.08721910494466767,0.08145553763831603,0.0020623391932182997,0.01018064037568901,0.0025378551082092284,0.0041194148317061,0.0021862163620884134,0.0022935429587960243,0.4229089926849713,0.42479724807933106,0.07671501683506302,0.07619609667731903,0.0,0.0,0.36282988788996096,0.2507737159392734,0.25081338286235044,0.0005043077399022877,0.09365954995155334,0.10096187889575958,0.017355933785438538,0.028321728110313416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2899658679962158,0.8774213194847107,2.067655086517334,0.7514247894287109,7.458907604217529,4.527484893798828,7.4151434898376465
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04325816277396164,0.20676648616790771,0.0,0.0,0.0,0.0,0.0,0.04318317787051941,0.20652103424072266,0.05364938034365418,0.0,0.03344280605803222,0.22159363329410553,0.0017611098010092974,0.12031712383031845,0.0009144449140876532,0.004690956500340033,0.0,0.22976677119731903,0.21736963093280792,0.01320170731040839,0.01541604190130795,0.04244597256183624,0.04041029512882233,0.09473683688585877,0.08912605495940323,0.0018294468852194858,0.010657404726843223,0.002579717688839834,0.0051238311540108585,0.0024695577999398755,0.0026429409626871347,0.4639987013883289,0.46493690240332214,0.0882862883375885,0.08685916235041091,0.0,0.0,0.37024761737986206,0.26457771953400117,0.26465041335957334,0.00042546988697722554,0.09609812498092651,0.1019434854388237,0.019063852727413177,0.029763221740722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3346922397613525,0.8982457518577576,2.105897903442383,0.7964529991149902,7.706040382385254,4.669596195220947,7.0173187255859375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03981611862435295,0.1849525421857834,0.0,0.0,0.0,0.0,0.0,0.039723722169793016,0.18472370505332947,0.05980304576411758,0.0,0.037459476819637835,0.20580385625362396,0.0008363127708435059,0.11552338302135468,0.0009487330680713058,0.0045505790039896965,0.0,0.2518099248409271,0.23856966197490692,0.013208027223086392,0.015391751185365947,0.0461294986307621,0.044113803654909134,0.09571294487955337,0.09113446620843063,0.001748739359081166,0.01053368078617075,0.002483657678952693,0.004453097123218365,0.0024281096929531336,0.002724956488236785,0.47173291515938903,0.47335728332236876,0.09933146920871551,0.09730403084663193,0.0,0.0,0.3719423174579443,0.2708269894316333,0.27091149989454866,0.00030780673841945827,0.09950105845928192,0.10425178706645966,0.0225188247859478,0.03371277078986168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3442676067352295,0.9238488674163818,2.194357395172119,0.8288931846618652,8.25483512878418,4.518589973449707,6.5275115966796875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03777799008516472,0.15113593637943268,0.0,0.0,0.0,0.0,0.0,0.03766230064016998,0.15089881420135498,0.06139316138824112,0.0,0.04204606505245201,0.17556700110435486,0.0005111944628879428,0.11304432153701782,0.0009163892245851457,0.004426323343068361,0.0,0.27016568183898926,0.25569072365760803,0.013353160317373741,0.01541101726369961,0.04779598116874695,0.046039875596761703,0.09213980434373749,0.08975343555296172,0.001736783067347796,0.010363304876455459,0.0024272086359355123,0.0036029977948968173,0.002866792241255379,0.003155351849272847,0.45517450871477355,0.4592539589768524,0.10993991874350297,0.10719996609214309,0.0,4.80341914226301e-05,0.37515605091135007,0.27422727641538847,0.27429360450629214,0.00024415075313299894,0.10460735112428665,0.10843870788812637,0.02908485382795334,0.03948719799518585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4260315895080566,0.9403831958770752,2.1861026287078857,0.8501360416412354,8.720475196838379,4.635066032409668,5.872520446777344
