Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010989233845934296,0.03870512917637825,0.0,0.0,0.0,0.0,0.0,0.0110626015110474,0.038691602647304535,0.00816425150912139,0.0,0.005738649966636477,0.0381578728556633,0.00039539780118502676,0.011944947764277458,7.789038136252202e-06,0.0009823473672831786,3.501820538076572e-05,0.042079608887434006,0.04189813882112503,0.013220285336168461,0.01632854519327985,0.008894256316125393,0.0089423768222332,0.028219804882459947,0.029816203537607194,0.001999921679607865,0.0024651208624893095,0.0018709709862121662,0.0005291789148398167,0.0002800997463054955,0.00043218405335210264,0.09223890748398163,0.09408210963641082,0.014692346141898537,0.015893118942585296,0.004898236133158207,0.005015010945498943,0.05551003106856922,0.034837260154475254,0.034838879617781,6.123425555415452e-05,0.016936222091317177,0.020868171006441116,0.0021720577497035265,0.005157456733286381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2257869690656662,0.057333968579769135,0.5329539775848389,0.163211390376091,2.047600269317627,0.5092445611953735,1.3468626737594604
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02237153090107788,0.08546573668718338,0.0,0.0,0.0,0.0,0.0,0.022518386838418808,0.085426464676857,0.021813378072271614,0.0,0.010856682453127518,0.09785371273756027,0.0005036558141000569,0.03307557851076126,8.981661812867969e-05,0.0015671924147021247,0.0001465610257582739,0.07718978822231293,0.07855503261089325,0.013070117148362571,0.01630870115697591,0.018899958580732346,0.018718000501394272,0.05222999451926041,0.051621224695750964,0.002009639328367399,0.004564614499824514,0.0018970564814228688,0.0006926109711199993,0.0005205697380006313,0.0008865936542861164,0.20663322324919495,0.20842618645510286,0.03726698405117264,0.04048922052192085,0.007085213903337717,0.007361068390309811,0.07237823681243355,0.03460318454273862,0.034597803195533815,0.00013843215128872544,0.03266793489456177,0.04049140587449074,0.0035747371148318052,0.010454357601702213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187661051750183,0.1329382210969925,1.0432827472686768,0.3035345673561096,3.751361131668091,0.9266265034675598,3.0668222904205322
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03478504478806221,0.13868802785873413,0.0,0.0,0.0,0.0,0.0,0.035023329370354996,0.13869203627109528,0.038856154237854386,0.0,0.017959100571005325,0.1568046361207962,0.0005500300321727991,0.05976606905460358,0.00012227374827489257,0.0019347442002680803,0.00024510009097866714,0.11257584393024445,0.11673953384160995,0.012936042093087394,0.01615420077841739,0.03013993427157402,0.029633019119501114,0.07390742749432984,0.0713237494574234,0.0019927266113798263,0.0065479003262320324,0.001893634784461291,0.0008870133208353776,0.0008058022940531373,0.0015128306113183498,0.3198475423911188,0.32197576537254824,0.06794262697869294,0.07425443759523544,0.006346594542264938,0.0067378319799900055,0.08741633001483612,0.03442331898019255,0.03441441694095079,0.00017730359104461968,0.04960334673523903,0.061875347048044205,0.006647487170994282,0.01881558634340763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007660388946533,0.20065084099769592,1.6219209432601929,0.4285975396633148,4.973623275756836,1.2000083923339844,5.188027381896973
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04657307763378921,0.19034981727600098,0.0,0.0,0.0,0.0,0.0,0.04689553210856529,0.19041325151920319,0.05157253869748901,0.0,0.025993569368754767,0.1935369223356247,0.000554578029550612,0.09030991047620773,0.00033377751242369413,0.0025700798487170314,0.0002544873277656734,0.15729956328868866,0.1621871441602707,0.012879209489677019,0.016168868346252873,0.039435580372810364,0.03872598707675934,0.08351694120212921,0.08007818307864868,0.001881384144363925,0.008224143690815183,0.001996518950814933,0.0010862309038851153,0.0011180485598742962,0.002110088709741831,0.40957556144395446,0.4119407452627844,0.10384287517501586,0.1121384290442894,0.006723607890307903,0.0071618021465837955,0.10021155177087951,0.0343341777398013,0.03432806402363446,0.0001980709348572418,0.06732957065105438,0.08352142572402954,0.014033528044819832,0.03169498220086098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4674787521362305,0.27017372846603394,2.2040412425994873,0.5667787790298462,6.721880912780762,1.4872825145721436,6.755776405334473
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0584116827978244,0.22489014267921448,0.0,0.0,0.0,0.0,0.0,0.05879801648443924,0.22504818439483643,0.0587032704800338,0.0,0.03631834146331032,0.20887237787246704,0.0005503944121301174,0.12073979526758194,0.000472450366942212,0.0034327285495968866,0.00016592502652201802,0.21396754682064056,0.21804414689540863,0.012851076136866917,0.01609810896593127,0.04611040651798248,0.045328374952077866,0.08210867495406357,0.07999751273096345,0.0017791591995179228,0.009824686159308834,0.001951314794665655,0.001264783819259938,0.0013739544665440917,0.0025974824093282223,0.47159851271759584,0.476561290018371,0.1422874006282422,0.15221696463119874,0.012135706841945648,0.012522049248218536,0.11020614652865432,0.034356038275726385,0.034364960597143654,0.00016972236335277557,0.09075413644313812,0.11135493218898773,0.027752842754125595,0.05089865252375603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9540939331054688,0.3538692593574524,2.80161714553833,0.7278104424476624,9.278875350952148,1.834946870803833,7.396644592285156
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05787596466795799,0.1844174712896347,0.0,0.0,0.0,0.0,0.0,0.058260729707093735,0.18464376032352448,0.051288888019987794,0.0,0.041009573849042205,0.17624083161354065,0.00035854734596796334,0.12168972939252853,0.0005247540539130569,0.002952896494210029,0.00014574415399692953,0.223781019449234,0.22712619602680206,0.012743807425567341,0.01610919292913636,0.04241553694009781,0.04196247085928917,0.060155046014985884,0.06096926104153145,0.0015718998941899331,0.008881868204549294,0.0016530229632615058,0.0018461318641982602,0.0014816594256902647,0.002715126844123006,0.4313228737484326,0.43988002462580933,0.15020561414274505,0.15918367340041778,0.022115666419267654,0.022303752601146698,0.10293108376179093,0.03422454081721909,0.03423956729510615,8.854120824253187e-05,0.09782188385725021,0.11787204444408417,0.04131994768977165,0.06318389624357224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8500661849975586,0.37434595823287964,2.7622859477996826,0.7607925534248352,10.43160343170166,2.014021635055542,6.275706768035889
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05753610897790871,0.14761613309383392,0.0,0.0,0.0,0.0,0.0,0.05789996699691559,0.1478136032819748,0.04405733151982071,0.0,0.04374616181145401,0.15852044522762299,0.00028532836586236954,0.12144085019826889,0.0004884005757048726,0.0022384779890810727,7.228240428958088e-05,0.22938530147075653,0.23098677396774292,0.012529598351001776,0.01596675625184628,0.04007348045706749,0.039783820509910583,0.04536551613156914,0.04846764432083244,0.0014808061338930291,0.008447016766766891,0.0014610103346593194,0.003056533922604885,0.0017997689978972722,0.0029020849615335464,0.4080004058427509,0.41934772360273925,0.1493178385065796,0.15771308859180877,0.03687911108136177,0.03704672306776047,0.09987245501680969,0.03377419434226941,0.033774266878550195,5.919732211623341e-05,0.10512788593769073,0.12407726049423218,0.05402427539229393,0.07425598055124283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7994194030761719,0.39828717708587646,2.648636817932129,0.8053163290023804,10.724809646606445,2.198274612426758,5.986724376678467
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06199272334232284,0.09438426047563553,0.0,0.0,0.0,0.0,0.0,0.062312154004967577,0.09448225796222687,0.04371217586055313,0.0,0.04476523303091866,0.16950789093971252,0.0003026158083230257,0.12100294232368469,0.00048753153532743454,0.0017730401596054435,0.0001208639150718227,0.2337622493505478,0.2337763011455536,0.012539466369858419,0.016035980188594194,0.03866058960556984,0.03841695934534073,0.037276750444791375,0.04133814198515068,0.001492371370895209,0.008179699648895054,0.0016540420778470774,0.0039678047201909495,0.0021595975203286648,0.0031155929900705814,0.4112568206750598,0.4251345925016748,0.14426668074798402,0.15231605578569213,0.04792269691824913,0.04813277721405029,0.10216770914390702,0.03350311753060731,0.033481487458896335,5.1907078159274533e-05,0.11604759842157364,0.13371406495571136,0.06395742297172546,0.08161451667547226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8354581594467163,0.41950297355651855,2.461810827255249,0.8034303784370422,10.737151145935059,2.474123954772949,5.782830238342285
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06741243971614044,0.05395100638270378,0.0,0.0,0.0,0.0,0.0,0.06770006137472809,0.053966864943504333,0.04762080040773041,0.0,0.046102541109027784,0.20202580094337463,0.00031046720687299967,0.1234263926744461,0.0004893196746706963,0.0015122672775760293,0.00013352185487747192,0.23614099621772766,0.23474128544330597,0.01263520953626493,0.016140949160484884,0.03734385967254639,0.03708568215370178,0.032198445479430085,0.035750805959947014,0.0015550031343749373,0.008327661902376804,0.0017811723721473933,0.0037879361064736606,0.0023558260688135387,0.0031076096929609776,0.4441940814496063,0.45924263409434507,0.14567091398133025,0.15321098931554322,0.05963753163814545,0.05990186333656311,0.10802420078794464,0.033291831088775224,0.033250205767453384,3.0144303309498355e-05,0.12474782764911652,0.1410711407661438,0.07287174463272095,0.0886966735124588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9884661436080933,0.4668882489204407,2.3090341091156006,0.7863873839378357,10.23171329498291,2.905325174331665,5.753775119781494
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.07150966900978073,0.028759384527802467,0.0,0.0,0.0,0.0,0.0,0.07180125700691757,0.028795789927244186,0.054920174760462036,0.0,0.04690325151900741,0.24032527208328247,0.00034043361665681005,0.12883847951889038,0.0007380367605946958,0.0012257654452696443,0.00029995859949849546,0.23189857602119446,0.23148790001869202,0.012968405697863722,0.01643227428269511,0.0364064946770668,0.036076854914426804,0.03342061598095303,0.034850820490027426,0.0016203475234353858,0.008067397926712207,0.001968625478481686,0.004068972954306865,0.0025590288120063065,0.003268437460064888,0.4852706365054205,0.5001422673793084,0.1478388305649475,0.1555086295406903,0.06659089028835297,0.0668155625462532,0.11544756886195587,0.03318574323729696,0.033150988535985665,5.281567428028211e-05,0.1285804808139801,0.14402268826961517,0.07536912709474564,0.09131266921758652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0888378620147705,0.5177116394042969,2.1197733879089355,0.7832449674606323,9.529559135437012,3.342740535736084,5.956653594970703
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.07537158845682816,0.014248831197619438,0.0,0.0,0.0,0.0,0.0,0.07562556785858933,0.014293291606009007,0.06300642008906326,0.0,0.04809066095663597,0.2711092233657837,0.00035094443592242897,0.13285137712955475,0.0007219351828098297,0.0010679417755454779,0.00038761497125960886,0.22410739958286285,0.22436626255512238,0.01305852357031622,0.016676073923972416,0.03537820279598236,0.03480659797787666,0.03944172149370579,0.039880669144573666,0.00165158544406133,0.007978430148450108,0.0020624301269480754,0.0041171413929542685,0.002861733938013854,0.003496675396676879,0.5199342660901672,0.534799410365238,0.1514462393807022,0.15917710127689513,0.06562946736812592,0.06585089862346649,0.12223572581681046,0.032865991542935236,0.03283141158532498,4.073120726388879e-05,0.13054847717285156,0.1442468762397766,0.07333696633577347,0.0885910615324974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1067700386047363,0.5565123558044434,2.0241570472717285,0.7856255173683167,9.416706085205078,3.4170591831207275,6.056734085083008
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.07788025045695343,0.0037883559707552195,0.0,0.0,0.0,0.0,0.0,0.07811304426891037,0.003859099466353655,0.07048241703760925,0.0,0.04898213708479271,0.2924610674381256,0.00035086902789771557,0.1362341344356537,0.0006530500832013786,0.0008571267244406044,0.000480270100524649,0.21735243499279022,0.21933633089065552,0.013339873581784479,0.017016763963566783,0.03453253582119942,0.03374859318137169,0.046666972318140335,0.04674117565624145,0.001713975224973188,0.008121797767609214,0.0021051194231814577,0.0031893044425032233,0.003083378491675067,0.0036427883214436244,0.5465212942926551,0.5615731340213123,0.1561648406234256,0.1640403223262378,0.0558125264942646,0.05596773698925972,0.12758746446058625,0.03273958369740636,0.03270523781943659,4.952419476467185e-05,0.12980157136917114,0.14194564521312714,0.06941977143287659,0.08376318216323853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079732656478882,0.5496001243591309,1.9430031776428223,0.7820435166358948,9.487813949584961,3.3895816802978516,6.17222785949707
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.0799322291185608,0.0011437181383371353,0.0,0.0,0.0,0.0,0.0,0.0801370475337912,0.0012166836531832814,0.07575831307835083,0.0,0.05032303690484314,0.2928517758846283,0.0003732720506377518,0.13418442010879517,0.0005128444172441959,0.0007761162705719471,0.0005413302569650114,0.2192809283733368,0.22149497270584106,0.013678298592600472,0.017328882173652378,0.034568700939416885,0.03355840966105461,0.05114172171691574,0.05139402302280853,0.0017720751332239418,0.008330073354407197,0.002079732099560648,0.0024515878718832447,0.0034038883751939296,0.003859326969716153,0.5587975628558923,0.5737721800949389,0.1622464401496222,0.16935428962418123,0.04053032025694847,0.040631938725709915,0.12758680881702758,0.03279152509826438,0.03276156820855381,5.073066859040409e-05,0.1291547566652298,0.13941198587417603,0.06645172834396362,0.0790911540389061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058680772781372,0.5324981212615967,1.930748462677002,0.7939043641090393,9.506196975708008,3.2367782592773438,6.3956403732299805
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.07911758574131042,0.0008174925460480154,0.0,0.0,0.0,0.0,0.0,0.07928001912068314,0.0008744854712858796,0.07602984292541626,0.0,0.050642163848015745,0.2569924592971802,0.00040460293530486524,0.12818817794322968,0.00039703500806353986,0.0008420044323429465,0.000476358225569129,0.23060736060142517,0.23115938901901245,0.01397119399827298,0.017601743521487273,0.03473493456840515,0.0337068997323513,0.04804941643284744,0.0474567316831353,0.0018391745804415723,0.008254437539341812,0.0021254507614898686,0.0022652823680853846,0.0036630087668312263,0.003998945547360086,0.5417079167353333,0.5560792538881189,0.16781773581546996,0.17397648279450928,0.024765122681856155,0.0248411912471056,0.12396667003944001,0.0326801110990488,0.03264892284300044,2.6768670068122447e-05,0.1269967406988144,0.13619008660316467,0.06405182182788849,0.07569210231304169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0060105323791504,0.5125199556350708,2.031498432159424,0.8222217559814453,9.816462516784668,2.9946987628936768,6.371855735778809
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.07598570793964325,0.00044353478006087244,0.0,0.0,0.0,0.0,0.0,0.07613493410619522,0.0005324202938936651,0.06480863389564606,0.0,0.05026475694503403,0.1914716511964798,0.00035120072425343096,0.11630992591381073,0.0002365351829212159,0.0010825255885720253,0.0003841185534838587,0.24956969916820526,0.24728140234947205,0.01448912358344719,0.01788346286045345,0.0347842313349247,0.033999744802713394,0.03293426484261566,0.03192524164956314,0.0017775455165048406,0.007789956307463446,0.0020994240909926448,0.002165901821141305,0.0037451546799033976,0.004136575470229206,0.4722605519022638,0.48502585668204834,0.16793802018266846,0.17220050341867432,0.017583079636096954,0.01757499761879444,0.11967225822320908,0.03258681323098047,0.03257525150533741,3.740087049663998e-05,0.12408299744129181,0.13339775800704956,0.06400375813245773,0.07515017688274384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9370893239974976,0.4804273843765259,2.1228737831115723,0.8526373505592346,10.262803077697754,2.8203279972076416,6.074036121368408
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.07218407691747268,0.0004778126603923738,0.0,0.0,0.0,0.0,0.0,0.07230592156832946,0.0005421766545623541,0.048554923002648694,0.0,0.04942555667413544,0.12747593224048615,0.0001700479188002646,0.09763159602880478,-7.215607911348343e-05,0.0012252957094460726,0.00029688567155972123,0.2692193388938904,0.26290974020957947,0.014978646081947558,0.01824729707073147,0.03322289139032364,0.03263422101736069,0.014699696119372798,0.016047126856496778,0.0015483169088253684,0.007087545934320765,0.0020289130848646954,0.0022055611562495996,0.0037594457010535,0.004153138169223786,0.37482415698051574,0.3864871766205884,0.16052680196579772,0.1628752016761554,0.016445159912109375,0.016440285369753838,0.1173100739482425,0.03399186103685143,0.03399826231325878,8.645177149446681e-05,0.125728577375412,0.13541842997074127,0.06998533010482788,0.07994893193244934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6990479230880737,0.4589129686355591,2.211290121078491,0.8928813338279724,10.729186058044434,3.0090694427490234,5.558352947235107
