Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0118424454648942,0.0937202200293541,0.0,0.0,0.0,0.0,0.0,0.011870887060330428,0.09372974932193756,0.0038272480545553877,5.6742846936685964e-05,0.004386184720763741,0.009933771565556526,0.0037700876127928495,0.013039949350059032,0.006837719120085239,0.001991258833043499,0.0,0.01049717701971531,0.009129765443503857,0.013177058857430682,0.016394885192473438,0.00503753125667572,0.00433812290430069,0.022600753947549172,0.023995972025418283,0.0019567329485381886,0.002413232225244608,0.0019777041266677833,0.0005965249020303091,0.0005153350066393614,0.0007853169227018952,0.020767600057290572,0.021143242723092193,0.0022963772483556508,0.0016991301881712747,0.0059758988209068775,0.005994082428514957,0.05470085331225971,0.038878889230275555,0.038890758546075176,0.00012294063344597816,0.006062446162104607,0.0075888680294156075,8.822761628834996e-06,5.617860006168485e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28605324029922485,0.09167876094579697,0.7400318384170532,0.11293049156665802,1.7751086950302124,0.48515599966049194,1.4342623949050903
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02050746269095291,0.18935437500476837,0.0,0.0,0.0,0.0,0.0,0.02053357824443039,0.18934942781925201,0.005805436856041221,0.00010576104978099465,0.006451034005554333,0.013574081473052502,0.003165922360494733,0.03211429715156555,0.024088069796562195,0.003414819987417407,0.0,0.015010468661785126,0.012623727321624756,0.012952167117891024,0.01643715692991365,0.007489796727895737,0.006099460180848837,0.029337754084375382,0.030097506904908908,0.0019718160194096583,0.003562956581728926,0.002274459506108787,0.0013142292375702405,0.0010166011052206159,0.001526825362816453,0.02898835952448639,0.02808474340817539,0.005045752907251024,0.0040169353555380635,0.01771991327404976,0.01776750385761261,0.07380367071636612,0.04355926200668806,0.04358883719663261,0.00021159947209525853,0.011620426550507545,0.014633722603321075,5.5543943744851276e-05,0.00017008846043609083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558397650718689,0.17497394979000092,1.5285632610321045,0.22212302684783936,3.52018404006958,0.9661389589309692,2.918992519378662
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.029090329481899376,0.2861821949481964,0.0,0.0,0.0,0.0,0.0,0.029115147479509697,0.2861342430114746,0.007514471583980226,0.00016780479927547276,0.00851505427110074,0.016095144674181938,0.00198722374625504,0.06411626189947128,0.04769159108400345,0.004377070014895191,9.685689292382449e-05,0.019086040556430817,0.016326015815138817,0.012690426857033685,0.01646041301982953,0.008277196437120438,0.006625774782150984,0.03205122799138489,0.03434143479627819,0.0020934399801178965,0.00425511639533432,0.0034770232089397623,0.0033052627297826816,0.0017033161129802465,0.0024607127998024225,0.043560210213956604,0.04282992109182846,0.012675591017541808,0.011460509396719075,0.036748480051755905,0.03681515157222748,0.09053843993462257,0.04753432573976532,0.04757808780933079,0.00043442496098577976,0.017019513994455338,0.021904094144701958,-3.265243140049279e-05,0.0006978986784815788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713163733482361,0.28990834951400757,2.219639301300049,0.3342716097831726,5.212772369384766,1.525310754776001,4.40924072265625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.037548785403183134,0.38395899534225464,0.0,0.0,0.0,0.0,0.0,0.03755211288454147,0.3838745951652527,0.008910784283049812,0.00019791905651800334,0.011718967544173146,0.021278033033013344,0.0014052345650270581,0.11111612617969513,0.06933414936065674,0.004984925710211573,1.944446557899937e-05,0.024882357567548752,0.02104710415005684,0.01271351346664495,0.01642843263351491,0.008563085459172726,0.006353411823511124,0.03468487298234829,0.03767696429181301,0.002024506363378838,0.004685896027287455,0.005397633202388678,0.0069555191924076274,0.0023819776251912117,0.0033764622639864683,0.07348520533242797,0.07193365618435807,0.026106449030177534,0.025202404095334818,0.058247245848178864,0.058335352689027786,0.10423186270923782,0.04854803685092468,0.048594033531026135,0.0006086699431762099,0.02317298948764801,0.030257713049650192,-0.00022513810836244375,0.00123523676302284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2368783950805664,0.42204126715660095,2.9028525352478027,0.4284500479698181,6.927666664123535,2.001732110977173,5.915802001953125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.04626699800625946,0.48127511143684387,0.0,0.0,0.0,0.0,0.0,0.04627818005865799,0.4811531901359558,0.010538987554606838,0.00022979288769420236,0.014812411933643417,0.03419454023241997,0.0008795413305051625,0.1683099865913391,0.0770542249083519,0.005068199210000257,0.00017227321222890168,0.028045102953910828,0.026244131848216057,0.01267317117337357,0.016450310876504327,0.009091656655073166,0.006488404236733913,0.04108719752300469,0.0439461835056617,0.0020363097460491158,0.005089288518693133,0.005664721628078247,0.01096290545310625,0.003069056663662195,0.0044323778711259365,0.1207929544533403,0.11930683701496445,0.042863757426652604,0.043436848788379515,0.07843229174613953,0.07856415957212448,0.12050859331124328,0.04807968180873875,0.048114415289204335,0.0008493199711665511,0.029013844206929207,0.038677703589200974,-0.00013908524124417454,0.0028483050409704447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6733522415161133,0.5780574679374695,3.7947003841400146,0.5184842348098755,8.5584135055542,2.280190944671631,7.290044784545898
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.046953495469254224,0.4851274788379669,0.0,0.0,0.0,0.0,0.0,0.0469622930355983,0.48492974042892456,0.010551362460025996,0.0001857175666373223,0.01588801632275179,0.051237985491752625,0.0007017042953521013,0.1914626955986023,0.0652918592095375,0.004927054716065788,0.0002398753131274134,0.02225414104759693,0.020688319578766823,0.012661401617651266,0.01663985070960948,0.008815932087600231,0.006083119660615921,0.0457020297934626,0.04840349178637016,0.0020572393581111967,0.004715956623182039,0.004264125528686023,0.011634124671303444,0.0031308242532307818,0.004534812178462744,0.15507954470027588,0.15225939078524842,0.051820306204884564,0.05250802247597359,0.07412833720445633,0.07434143871068954,0.12515666487131472,0.05039760578786328,0.05045158155097675,0.0008056734222918749,0.029766252264380455,0.03889701887965202,-0.00021885920432396233,0.002333326730877161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7176766395568848,0.5209057331085205,3.899930715560913,0.5138238668441772,8.640512466430664,2.2134475708007812,7.098956108093262
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04751269388925514,0.49109530448913574,0.0,0.0,0.0,0.0,0.0,0.0475009569645002,0.4908260405063629,0.010706280830004234,0.00017320283222943544,0.017040731922192288,0.0658438503742218,0.0007381036994047463,0.2047835886478424,0.055795084685087204,0.005546335306931067,0.0006961858016438782,0.013744082301855087,0.011067457497119904,0.012665558190100863,0.016789683618089954,0.008781226351857185,0.005951024126261473,0.05114382136409401,0.05271078349839325,0.00196577903506969,0.004457696518401489,0.0027063691770843677,0.010602065649978485,0.0032543037054882096,0.00469566835090518,0.1832105032748874,0.17774580943533508,0.05893563504683991,0.05894840826582382,0.06192256882786751,0.06223076209425926,0.1307419464151442,0.0514569051211689,0.05153883952932644,0.0006902639288455248,0.03075062669813633,0.038816794753074646,-0.00016592223255429417,0.0019062418723478913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6585509777069092,0.4802703857421875,3.8857369422912598,0.5080078840255737,8.706088066101074,2.092087745666504,7.2786664962768555
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04740642368450119,0.49557340145111084,0.0,0.0,0.0,0.0,0.0,0.047396058122313386,0.4953456521034241,0.011256013474910603,0.0001567760918987915,0.01723274306059223,0.07564383000135422,0.0009384647128172219,0.20406164228916168,0.046394672244787216,0.005263257771730423,0.0007343888282775879,0.016030076891183853,0.014966695569455624,0.012904521579699067,0.016662362140909763,0.008699590340256691,0.005821111146360636,0.057704851045630036,0.05713764948389183,0.0019892637021796796,0.004787726440259008,0.0025314457029013623,0.0080456399615236,0.0030928497953187466,0.004570190794765949,0.20572520863644744,0.19954798444942107,0.0648153805441838,0.06499195803312104,0.046601247042417526,0.04686615616083145,0.13838879612281937,0.05471419693972046,0.054787624663997884,0.0006823915173299611,0.03199978917837143,0.040312930941581726,-0.00022443193302024156,0.001987155294045806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5655584335327148,0.455339252948761,3.7962722778320312,0.520020067691803,9.361916542053223,2.1544015407562256,6.693202495574951
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04646378008751076,0.4971535801887512,0.0,0.0,0.0,0.0,0.0,0.04649351107460678,0.4971136748790741,0.011618468063079186,0.000130336731672287,0.01770048083871834,0.06747410446405411,0.0008878132794052362,0.17966358363628387,0.028674958273768425,0.0053056031465530396,0.0005572536610998213,0.04173770546913147,0.04046209901571274,0.012742681207336765,0.016252716425964896,0.008159863762557507,0.005230533890426159,0.06013723609880341,0.05809072926724663,0.0019519180727669385,0.004641686455079708,0.0024707998875323207,0.007699582887962913,0.002443243730957246,0.003908795770257711,0.19538267257223357,0.18938238135634614,0.06841975532664048,0.06779486604455474,0.043489646166563034,0.043633028864860535,0.14284093528072342,0.05683425811008682,0.05690825657371498,0.0006158961332403123,0.03474144637584686,0.04324960708618164,3.6631638067774475e-05,0.003378435969352722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4895458221435547,0.44847676157951355,3.488130807876587,0.5622795820236206,10.431648254394531,2.272599697113037,5.890380859375
