Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010210284957751656,0.11907467991113663,0.0,0.0,0.0,0.0,0.0,0.010278498683736838,0.11923573911190033,0.013011784113011094,1.6336143744410947e-05,0.005628477765688477,0.05598289892077446,0.024721072986721992,0.04897526651620865,0.04230201989412308,0.0027964412155079077,0.0,0.0,3.996944360551424e-05,0.06559976932988663,0.06794628652385391,0.0035783625207841396,0.0023269348312169313,0.032592081248216935,0.03186729249658585,0.002661440191668731,0.008131271108304824,0.0016778201712184517,0.0003335336241800761,0.0,0.00013695782399736345,0.04904371198789932,0.04849092662964737,0.000625871093247764,0.0005144816886964139,0.0,0.0,0.15113618970835785,0.10702206793912689,0.10707827659138139,0.00034960568882524967,0.005522833671420813,0.005803225561976433,1.8487453417037614e-05,-2.5285213268944062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19140341877937317,0.08236045390367508,0.84495609998703,0.10391257703304291,0.804660975933075,0.21923163533210754,2.7170071601867676
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.018191192667368544,0.2322346270084381,0.0,0.0,0.0,0.0,0.0,0.018321990740877953,0.23254315555095673,0.02189055677403,7.603979611303657e-05,0.00905127266404213,0.09686704725027084,0.032318055629730225,0.08421719074249268,0.058511584997177124,0.00557242035113389,0.0,0.0,6.997728632995859e-05,0.09739838245060958,0.09985477927331787,0.007557446602731943,0.005210583563894033,0.05122700480988312,0.04734675582678009,0.00279606283691092,0.013773014767932168,0.0016667777543919052,0.00031767087809536545,0.0,0.00030080293072387576,0.0981428679363707,0.09487876446327774,0.0010516631813580336,0.0011430197586729455,0.0,0.0,0.2587889433027118,0.16845073405574554,0.16856106515745758,0.0005662536714226007,0.011217659339308739,0.012153465300798416,5.46751034562476e-05,-6.816935638198629e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4016561508178711,0.17293977737426758,1.8721214532852173,0.21480707824230194,2.0017693042755127,0.5183721780776978,4.747798919677734
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.025713255106150742,0.3414490818977356,0.0,0.0,0.0,0.0,0.0,0.025889634676908836,0.34189900755882263,0.02802341983185997,0.00016900057380553335,0.012327242088048439,0.12480873614549637,0.03138364106416702,0.11087393015623093,0.06053842231631279,0.008839835544646969,0.0,0.0,0.00017357038450427353,0.10951752365758637,0.11282260569832764,0.011331986635923386,0.007966229692101479,0.06772834063033524,0.060569909249369815,0.002723994461294556,0.017351948134283143,0.0015621235873152627,0.00019847248427204368,0.0,0.0005030584870837629,0.1494412604430292,0.1433178909075595,0.001442772773516698,0.0018321320075562954,0.0,0.0,0.36156126264251404,0.22361899318399445,0.22379404007161316,0.0006888975040055811,0.016988975927233696,0.018447790294885635,1.995921047637239e-05,-0.000183054682565853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406317353248596,0.27765482664108276,3.050422430038452,0.3378612697124481,3.4565064907073975,0.8534460067749023,6.293374061584473
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.032674570873191984,0.4501851201057434,0.0,0.0,0.0,0.0,0.0,0.0329036807489595,0.4508031904697418,0.03349015095210861,0.0003072091785725206,0.01671792528245344,0.14235427975654602,0.026067713275551796,0.1323104202747345,0.051407016813755035,0.012285093520383416,0.0,0.0,0.0,0.10295076967892136,0.10686752049030869,0.015065726824104786,0.010667053051292896,0.08476496560617813,0.07374399002778732,0.0024956925763413313,0.019448829858949395,0.0016140419361328519,0.00014713152383712352,3.9417445805156603e-05,0.0007977709174156189,0.20323810950914,0.1947062678620047,0.003150528017269316,0.0033343309466819047,0.0,0.0,0.4593292087170618,0.27268254164599914,0.27291389107622316,0.0008124441956169903,0.022934673354029655,0.025262242183089256,-5.008793232263997e-05,-0.00034248875454068184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8969650268554688,0.38256850838661194,4.438466548919678,0.47899550199508667,4.939565181732178,1.2425963878631592,7.580843925476074
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0388392720653167,0.5558791160583496,0.0,0.0,0.0,0.0,0.0,0.03909620034283386,0.5567757487297058,0.037004557177421495,0.0005094512016512454,0.020555541112525062,0.15447315573692322,0.025145631283521652,0.14411135017871857,0.04143974930047989,0.017053615268451196,0.0,0.0,0.0,0.08333380966534593,0.08935209811283722,0.01813153177499771,0.012734170071780682,0.10131803006995407,0.08699557486475251,0.0025988703742174006,0.021676092815514487,0.0015723264097561927,4.147945210137606e-05,0.0,0.000924158375710249,0.25706282932411745,0.24537583886843048,0.009389912786695652,0.009683884910165157,1.5063285900396295e-05,0.0,0.5505221605204871,0.3155848563114691,0.31590402129415773,0.0007905364036560059,0.03051505982875824,0.033108457922935486,-0.0001683175505604595,-0.00043391346116550267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2063506841659546,0.5267787575721741,6.02126932144165,0.6011833548545837,6.020122528076172,1.638875126838684,8.875547409057617
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.037049665924471585,0.5555669665336609,0.0,0.0,0.0,0.0,0.0,0.03729368949613144,0.5565531253814697,0.03398157672352478,0.0006071996758691967,0.02171356661816433,0.13807086646556854,0.02243638038635254,0.12876692414283752,0.022075099870562553,0.018128092137888335,0.0,0.001025404897518456,0.0,0.0426939151935125,0.050469708479497374,0.018532931804656982,0.012802391313016415,0.09999793845315919,0.08620490278924453,0.0025455409225848555,0.021152693188265306,0.0014861409882421552,0.00012816767693381791,0.0,0.0008877122891135514,0.26157483569492,0.24891639871791138,0.02007085467192463,0.01856191067768715,3.425359682296403e-05,0.0,0.5391538381806409,0.3030018537900348,0.30331038236453245,0.0007224142318591475,0.03413623943924904,0.03649352863430977,-0.00013933538866695017,-0.00035452900920063257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2647053003311157,0.5321632623672485,6.5266523361206055,0.6065953969955444,6.007385730743408,1.5952308177947998,8.427717208862305
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03546055648457489,0.5588166117668152,0.0,0.0,0.0,0.0,0.0,0.03556150586605812,0.5594165921211243,0.031477689283587955,0.0006586094968952239,0.022253073357445908,0.12842004001140594,0.024731021374464035,0.11969989538192749,0.012638168409466743,0.021575857595521736,0.0,0.02255994826555252,0.003260173834860325,0.017182510730244255,0.023177812236799697,0.019472096115350723,0.013064391911029816,0.09975003454630493,0.0859220296312439,0.0026522746872591684,0.02123630902777134,0.0016375324587523453,0.0003609854289569372,0.0,0.0007631252519786358,0.27167990427681765,0.2558479957575473,0.030560395004034232,0.02601118144881199,0.0,0.0,0.5279337614934028,0.29254903193768006,0.2929057269944458,0.0006056386046111584,0.04173050820827484,0.04206322133541107,4.839301254833117e-06,-0.0006479165167547762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3403433561325073,0.5236010551452637,6.646410942077637,0.6209695339202881,5.747408390045166,1.4957329034805298,8.501504898071289
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03435245141043617,0.5635671019554138,0.0,0.0,0.0,0.0,0.0,0.034377889613306886,0.5639126300811768,0.03032678313508545,0.0007010169210843742,0.023178859582546767,0.13152039051055908,0.019486472010612488,0.12740647792816162,0.007492766249924898,0.02369789406657219,0.0,0.05785931646823883,0.026622731238603592,0.013195958475776424,0.017625613829427393,0.02100932039320469,0.014090362004935741,0.0992243290090776,0.086005657888862,0.0026358877178238723,0.021004051548220902,0.001932965141735292,0.00042029263804074356,4.629530774385295e-06,0.0006893858080729842,0.30189749669663574,0.283614837376629,0.04280573961210068,0.03598172549513619,0.0,0.0,0.5160559475143256,0.28440307976747925,0.2847775519260657,0.0006229502032510936,0.05226603522896767,0.05147048458456993,0.00024615050642751157,-0.0008085751323960721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3847144842147827,0.5196288824081421,6.715951442718506,0.6504274010658264,5.788807392120361,1.3848599195480347,8.354796409606934
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.033410135638992006,0.5725454688072205,0.0,0.0,0.0,0.0,0.0,0.03339375125748337,0.5728100538253784,0.03220946815808899,0.0006681576487608254,0.024719780852498933,0.15362590551376343,0.009796848520636559,0.14454638957977295,0.003926013596355915,0.023752832785248756,0.0,0.09361757338047028,0.05969194322824478,0.012740521121040266,0.016890653704917345,0.022833017632365227,0.01594790630042553,0.0983680277867688,0.08751531839454879,0.0024087992000871687,0.02086196269906441,0.0021354808488917294,0.0005116648411243096,0.0,0.0006021067383699119,0.37256074252138366,0.3544208031064148,0.06741488062037217,0.059958717901740115,0.0,0.0,0.504170989981098,0.2787520736165451,0.27912460566882114,0.0005446565337479115,0.06515078246593475,0.0638870894908905,0.0001969170552911237,-0.0005008113221265376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818377494812012,0.5149329304695129,6.702838897705078,0.6751316785812378,6.003115177154541,1.2544339895248413,8.132563591003418
