Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00147710312,0.0,0.0,0.0,0.0,0.0,0.0,0.0019448828000000003,0.0,0.0030027596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360019208,0.0035795376,0.03728972968,0.027609947359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.05890161392,0.06995436551999999,0.020080909120000004,0.02275752128,0.0,0.0,0.06592736248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0195798175676326,0.00961973425000906,0.0,0.0,0.0,0.0,0.0,0.020076225660215073,0.00955989584326744,0.014487635508425656,0.0,0.005863835569471121,0.056574832648038864,0.0001303910103160888,0.01838519237935543,7.14943598723039e-05,0.00022279450786300004,8.705359505256638e-05,0.02810315228998661,0.026966121047735214,0.0,3.8205369492061436e-05,0.012361685892064819,0.01237128454617611,0.05908549803487282,0.0472119148444714,0.0,0.0015243852976709604,0.0,0.00010817410657182336,0.0006202442455105484,0.0006125360960140824,0.16355536130679094,0.17427934554797625,0.03585468415277775,0.039393138120019766,0.016464943066239357,0.016538264229893684,0.07435992938212171,0.0,0.0,7.130253652576357e-05,0.009869263507425785,0.011571738868951797,0.0007659518742002547,0.0018200905760750175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3035293221473694,0.1038181334733963,0.47292429208755493,0.11176066100597382,2.3326468467712402,0.8739221692085266,0.7088078856468201
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03647723925739677,0.03317059576511383,0.0,0.0,0.0,0.0,0.0,0.03701098521928551,0.03306451812386513,0.026063328588281327,0.00011245758227573739,0.011457683518528938,0.11848922818899155,0.0002817147469613701,0.03896767646074295,0.00014843480312265456,0.0004912400618195534,5.6634067732375115e-05,0.05386127904057503,0.05097365379333496,0.0,6.426772597478703e-05,0.021397893125272446,0.021302599810270613,0.08337063492703278,0.06951258327675278,0.0,0.0030374459456652403,0.0,0.00016169385344255716,0.0011590509675443172,0.0011439855443313718,0.27149607840530243,0.28134769201900817,0.05181954576616539,0.05606017336428551,0.030811259523034096,0.030945921316742897,0.0861730236784325,0.0,0.0,6.090330862207338e-05,0.01929757371544838,0.023019473999738693,0.0012766608269885182,0.0034008552320301533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243972778320312,0.1797090768814087,1.027686357498169,0.20293757319450378,4.587469577789307,1.622066855430603,1.587423324584961
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.05247212011413292,0.07349759340286255,0.0,0.0,0.0,0.0,0.0,0.053036547791278685,0.07337278127670288,0.038084672001165464,0.00022471998436849998,0.016218572854995728,0.1821443736553192,0.00044924256508238614,0.06177464872598648,0.00037427444476634264,0.0008015315979719162,0.0001189985268865712,0.07824185490608215,0.07419490814208984,0.0,2.5263505449402146e-05,0.030877912012280427,0.03073075155113415,0.10710615515221925,0.09129828959652511,0.0,0.004551449324935675,0.0,0.00041744514601305127,0.0016188973095268011,0.0016626501455903053,0.3742377519585022,0.38284193278809997,0.06784311679296601,0.07357705534699203,0.0448446162045002,0.04504872485995293,0.09431746971064003,0.0,0.0,1.7259657397517003e-05,0.028851639479398727,0.03500404208898544,0.0027466758619993925,0.007020704913884401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9579010009765625,0.3019956946372986,1.525191068649292,0.3048434853553772,6.613822937011719,2.3346455097198486,2.6731765270233154
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.06902871318414124,0.11951819807291031,0.0,0.0,0.0,0.0,0.0,0.06964165384740204,0.11935378611087799,0.04907764457633682,0.00029556513731910245,0.02130873315036297,0.24440021812915802,0.0007179831154644489,0.08199714124202728,0.000327407440636307,0.0013248191680759192,6.0182810557307675e-05,0.10512491315603256,0.09927468746900558,0.0,0.0,0.04080693087049667,0.04043595718563347,0.12905555065505342,0.11120034604390214,0.0,0.006116395816206932,0.0,0.000521342153660953,0.0023152402136474848,0.0023895162157714367,0.47494982480578124,0.4819675624105866,0.08442776349325165,0.09105726184686966,0.056585103273391724,0.056891340762376785,0.10223004294676888,0.0,0.0,4.620790605258662e-06,0.039301492273807526,0.04817504063248634,0.004973462782800198,0.010625341907143593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2901355028152466,0.44294214248657227,2.137768268585205,0.39561429619789124,8.532047271728516,2.989017963409424,3.904615879058838
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0857508201308432,0.16603733599185944,0.0,0.0,0.0,0.0,0.0,0.08643861971671951,0.16585376858711243,0.05712584516891113,0.0005122726940575188,0.02609352581202984,0.2979089915752411,0.0009470453951507807,0.10113980621099472,0.00027022670838050544,0.0019515890162438154,0.0001860032934928313,0.13620920479297638,0.12829509377479553,0.0,0.0,0.05031930838237099,0.0499707601914785,0.14857597055838043,0.12882600724225768,0.0,0.007990647107362747,0.0,0.0006689646979793906,0.0032810301054269075,0.0033925974275916815,0.5674947797967431,0.5727578401911877,0.09900110068409942,0.10661195370797104,0.06727483868598938,0.06772266328334808,0.10843102113498573,0.0,0.0,1.9709170373971574e-05,0.05157690495252609,0.06366636604070663,0.006454985123127699,0.013964873738586903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.610034704208374,0.6885156035423279,2.6451501846313477,0.4957602024078369,10.38534927368164,3.8767526149749756,5.075319766998291
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08706706949070496,0.17052598297595978,0.0,0.0,0.0,0.0,0.0,0.0877536814347783,0.17028295993804932,0.05375126302933075,0.0007390514767442445,0.026652976870536804,0.2828598916530609,0.0008951571653597057,0.09818615764379501,0.0001140547901741229,0.002116317395120859,5.630791201838292e-05,0.13782081007957458,0.12860672175884247,0.0,0.0,0.050137708374323575,0.04984527490985443,0.1446654498618216,0.12620983273349412,0.0,0.008356073871254921,0.0,0.0005756099708378315,0.0033522951416671276,0.003474774304777384,0.5483528852086176,0.5536788582415448,0.09760408994655685,0.10452177972288788,0.06805691123008728,0.0685974583029747,0.10777229966067231,0.0,0.0,-2.0247698557795957e-05,0.05310724675655365,0.06506912410259247,0.005556131713092327,0.012106889858841896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094601154327393,0.6170920729637146,2.7937815189361572,0.4828508794307709,10.148106575012207,3.766064167022705,5.404476165771484
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.08818734364660782,0.1677546501159668,0.0,0.0,0.0,0.0,0.0,0.08884491209021134,0.16745629906654358,0.04798263198781593,0.0008281449902913494,0.027615010738372803,0.25767457485198975,0.0007557270000688732,0.09685936570167542,7.593106420245022e-05,0.0023922554682940245,0.0,0.13036870956420898,0.11938066780567169,0.0,0.0,0.048531924587127455,0.04826501978971046,0.13790806684212967,0.12056014988781356,0.0,0.008287758566439152,4.835184518015012e-05,0.0005663615302182734,0.0033907198812812567,0.0034656759817153215,0.5143904686257361,0.5200914740475904,0.0946027636858226,0.10032377245659485,0.07517903298139572,0.07578866183757782,0.10837486240528793,0.0,0.0,-3.24749962601345e-05,0.05261940881609917,0.06377774477005005,0.0030852612107992172,0.007616796530783176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6250743865966797,0.6201230883598328,2.977395534515381,0.47600439190864563,10.129741668701172,3.7189040184020996,5.303625583648682
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0879765898042311,0.16582991182804108,0.0,0.0,0.0,0.0,0.0,0.08859656937249634,0.1654851883649826,0.04264176523873764,0.0011148214369898436,0.028976868838071823,0.22623729705810547,0.0005894589703530073,0.10135868936777115,9.836327080847695e-05,0.0025956006720662117,0.0,0.11285706609487534,0.10134419798851013,0.0,0.0,0.045530387732887805,0.04515755843563652,0.12888104914794282,0.11254711896465072,0.0,0.008070453070104122,0.00013231515185907483,0.000565232359804213,0.0031645745038986206,0.003153946017846465,0.46432859298033446,0.47126770613764224,0.09072443096049591,0.09597233533001388,0.08649518340826035,0.08708862215280533,0.11152259784000679,0.0,0.0,-1.909583806991577e-05,0.04994857683777809,0.05975661799311638,0.001467633992433548,0.0035989326424896717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6316859722137451,0.6113753318786621,3.1211979389190674,0.46784549951553345,10.092950820922852,3.744015693664551,5.128201007843018
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.08518095200364074,0.16689997911453247,0.0,0.0,0.0,0.0,0.0,0.08577363043120637,0.16661064326763153,0.038147818681328584,0.001360203269344865,0.03007512353360653,0.19812440872192383,0.0005881630349904299,0.11103848367929459,0.00024134229170158505,0.0024080758448690176,0.0,0.09402666985988617,0.08280845731496811,0.0,0.0,0.04125249124971245,0.04069778512228752,0.1199884176298697,0.10472150145956513,0.0,0.007707664277404547,0.0,0.0007134064799174666,0.002772138686850667,0.0027040166314691305,0.4131179631025812,0.4215989172708185,0.08723373265821183,0.09263050256085464,0.09731632471084595,0.09779007732868195,0.11471918449816797,0.0,0.0,-2.6854872885451186e-06,0.046201709657907486,0.05452165752649307,0.0009731249301694334,0.0020460712257772684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553523063659668,0.5524226427078247,3.1872873306274414,0.46618056297302246,10.172207832336426,3.891619920730591,4.978156089782715
