Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01674678641752901,-0.00017715326976031065,0.0,0.0,0.0,0.0,0.0,0.016814105142519988,-0.00016775030235294253,0.0034720246279600574,2.5535375698382268e-06,0.003054631217358438,0.010157140903174877,0.00514307850971818,0.010779943317174911,0.003269663779065013,0.0005588300562912954,0.0,0.008740385062992573,0.008114507421851158,0.013198472178950186,0.01634257114817693,0.0024920327123254538,0.0025216415524482727,0.023475079580598184,0.026454304131889345,0.0018901837660179406,0.0020205347065531875,0.0019964338167226805,0.00040793818156113423,0.0004336838610470295,0.0002834591723512858,0.021608189461396712,0.023442545912012214,0.001126112691351676,0.000890112095475651,0.0,0.0,0.05813357979977707,0.04924602195360701,0.04925747962482865,0.00012284070544410497,0.006384638603776693,0.00747932493686676,0.00045936545939184725,2.9935628845123574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33466583490371704,0.1541331261396408,0.4430828094482422,0.1323142945766449,1.8050565719604492,1.3762034177780151,0.6901230812072754
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.029988970975760115,-0.0002848010917659849,0.0,0.0,0.0,0.0,0.0,0.030090166029912796,-0.0002940634440165013,0.006333748678604631,0.0,0.0033027216743770384,0.01885722205042839,0.013540166430175304,0.014123605564236641,0.007157571613788605,0.0010238156345870567,0.0,0.016756854951381683,0.014733351767063141,0.013083715054580482,0.016170917751895938,0.005325564183294773,0.005368540529161692,0.03654124362638283,0.039255138451167834,0.0021715221966368574,0.0038611527987741138,0.0021115242433300133,0.00048503432869589826,0.0008879948290996253,0.0005653350963257253,0.030510224430439797,0.03220578992149441,0.0010700668721320273,0.0008846763188909072,0.0,0.0,0.08246924356826241,0.06330383796166175,0.06333346996228337,0.00026261148741468787,0.011719875037670135,0.013881796970963478,0.0007290301145985723,0.0001068118290277198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395422220230103,0.2874302268028259,0.892898678779602,0.25952503085136414,3.846555233001709,2.6609110832214355,1.3119968175888062
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.041673181055724255,-0.000209473873837851,0.0,0.0,0.0,0.0,0.0,0.04181369911942421,-0.00020361811039038002,0.00917944677637806,0.00013305465108714998,0.003109185401825886,0.02735963463783264,0.02932783216238022,0.006793745793402195,0.011983644217252731,0.003784175628395071,0.0,0.02932237833738327,0.023492705076932907,0.012966528439164335,0.015864618232897584,0.008587243035435677,0.00846878346055746,0.04947095364789429,0.05083008560997696,0.0044125845017249825,0.006159227750877456,0.0021625555748653724,0.0005447724363427381,0.0013835178688168526,0.0009262962266802788,0.03307963122516609,0.033240876714620705,0.00099001330156192,0.0007480239564108461,0.0,0.0,0.11220937374747925,0.07499260606470123,0.07505789844954666,0.0005175689002498984,0.01755107380449772,0.020402783527970314,0.0009506898932158947,0.00034095963928848505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900560200214386,0.44629937410354614,1.304646372795105,0.38729867339134216,5.976926803588867,3.9906296730041504,1.8806252479553223
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05359929551165405,0.004913999233394861,0.0,0.0,0.0,0.0,0.0,0.05380077118398758,0.005073269829154015,0.013117654034264794,0.0006530903629027307,0.002788954785817558,0.040073759853839874,0.05015193298459053,0.0010026049567386508,0.018547307699918747,0.01145452142188984,0.0,0.0528484582901001,0.03747858107089996,0.01294712171007894,0.01566072288795507,0.014749850146472454,0.014068770222365856,0.0644417822186602,0.06305650469052994,0.012206992715656758,0.01029366445486805,0.002423749323949013,0.00043696778199893655,0.001847808831371367,0.0013955128379166126,0.03793789298334694,0.03368307947961754,0.0014284759059789206,0.00014888137114222645,0.0,0.0,0.1542548373195665,0.08730345372104187,0.0874245122066896,0.0008794388850219548,0.026455622166395187,0.02892514504492283,0.0011343954829499125,-1.1878370969498064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101600170135498,0.5858676433563232,1.7074028253555298,0.5402714610099792,8.223634719848633,5.254818916320801,2.4508118629455566
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06779036934510375,0.026869595050811768,0.0,0.0,0.0,0.0,0.0,0.06803415852373824,0.027196362614631653,0.017857664003965303,0.0013046105159446597,0.0023014941884402303,0.06097311154007912,0.07911112904548645,0.0008266574004665017,0.030149567872285843,0.021072344821077806,0.0,0.08168822526931763,0.053786274045705795,0.01313525616744287,0.015411047258791322,0.02336687594652176,0.021844660863280296,0.08096385599244324,0.07507061142028115,0.02544924017596222,0.01807535387289135,0.0028326231133052947,0.0002072616806792581,0.0026071371976286173,0.0022727600298821926,0.05056404251705719,0.0416598215625795,0.0026728998243692446,0.0,2.676747681107372e-05,0.0,0.21229554413788818,0.0999937385717917,0.10017544034246705,0.0014327153330668807,0.04097907245159149,0.04266004636883736,0.0017160306451842189,-0.0003766034496948123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3145909309387207,0.6985368132591248,2.0669422149658203,0.7223727703094482,10.654276847839355,6.2629523277282715,3.1345272064208984
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.06948990362541077,0.04951963573694229,0.0,0.0,0.0,0.0,0.0,0.06977394426545669,0.050120700150728226,0.019386898887821885,0.0017578786937519908,0.0023085717740836823,0.07836998254060745,0.09746913611888885,0.002512194449082017,0.043829046189785004,0.026951838953212164,0.0,0.0883423313498497,0.05556778609752655,0.013100188369707597,0.01544942493971789,0.02669433504343033,0.024556798860430717,0.08463656234642014,0.07473274465526092,0.03252218046997013,0.023030710747912866,0.00312780756311146,3.324972485076671e-05,0.0029825444280053093,0.0029336640145629644,0.06310863903869293,0.053310602887423175,0.0030595407399081373,0.0,0.00020521186525002122,0.0,0.24982532265100832,0.10992312725995973,0.1101265504939766,0.001748714130371809,0.0519397146999836,0.05308503285050392,0.002467302605509758,-0.0003958584275096655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3292158842086792,0.6573349237442017,2.126012086868286,0.7443079352378845,10.728885650634766,5.736112594604492,3.6326451301574707
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0703365528954216,0.07543360441923141,0.0,0.0,0.0,0.0,0.0,0.07063601182103897,0.07613921910524368,0.02108604973802807,0.0017810113495215774,0.002877966804830146,0.09842298179864883,0.11577722430229187,0.013766680844128132,0.06586351990699768,0.027518798307496834,0.0,0.07997143268585205,0.0492517426609993,0.012820923655717204,0.015468822047087202,0.02797556482255459,0.02576080523431301,0.09176447246019959,0.0832822516728508,0.03210101161193726,0.0264421954662603,0.0035168933930061273,4.4271055772569204e-05,0.0033862802633837508,0.0034092641435563564,0.08584788810679275,0.07824143546768753,0.0031378169299962045,0.0,2.3522227365901927e-06,0.0,0.30606599153681396,0.1476374074464653,0.14784128364460755,0.002123103942722082,0.06279243528842926,0.06436507403850555,0.0044393460266292095,0.0008504675352014601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3172638416290283,0.6281670928001404,2.091789960861206,0.7950774431228638,10.342184066772461,5.153127193450928,4.648861408233643
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0695159023965831,0.10178261995315552,0.0,0.0,0.0,0.0,0.0,0.06980605600277222,0.10228678584098816,0.021618715896754608,0.0011975093511864543,0.0033873154003207064,0.11784716695547104,0.12474077939987183,0.06941227614879608,0.09938426315784454,0.02164236083626747,0.0,0.055406536906957626,0.03228820487856865,0.01292005812116753,0.01541215826741326,0.02668595500290394,0.024653535336256027,0.1039371192598558,0.09960110483309875,0.022968299347903023,0.02579621469674328,0.003901360150324433,0.00016865751476366053,0.003663704665921235,0.003656171029433608,0.11408788781993057,0.10866939350799194,0.0029579826432895233,0.0,0.0,0.0,0.3737710177619757,0.20961132051493103,0.20981942120878816,0.002025306923314929,0.07267215102910995,0.07586740702390671,0.0076688057743012905,0.0039780945517122746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3762441873550415,0.5557643175125122,2.006596088409424,0.8282822370529175,9.340627670288086,4.5276570320129395,6.277046203613281
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06558648122576874,0.13131076097488403,0.0,0.0,0.0,0.0,0.0,0.06587496715170563,0.1316748857498169,0.022774196313821143,0.0007041524513624609,0.004174761899227722,0.1360282450914383,0.10734390467405319,0.1578822284936905,0.1352490484714508,0.01607857272028923,0.00016628413868602365,0.02323193848133087,0.008170107379555702,0.0129524740627944,0.015823465234729515,0.024472029879689217,0.022554799914360046,0.11331781146959198,0.11501580625856628,0.011317615231267491,0.02190197993136326,0.004450880011290265,0.0005293874149541244,0.00350554588265214,0.0034485424403101206,0.13867469432363738,0.13314700833617402,0.003922411130797729,0.0,0.0,0.0,0.4486441969780157,0.28796702620462644,0.28818834127310733,0.0018601855263113976,0.07776310294866562,0.08219142258167267,0.008106391876935959,0.005924767814576626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.501343011856079,0.5269660353660583,1.9533995389938354,0.7973024249076843,8.171217918395996,3.9896492958068848,7.816617488861084
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.05981199670228943,0.16694757342338562,0.0,0.0,0.0,0.0,0.0,0.06013657587030945,0.16735684871673584,0.024539007452965965,0.0002326364046894014,0.006181872065691085,0.1500750035047531,0.08048020303249359,0.23125648498535156,0.15220953524112701,0.009803743101656437,7.142216054489836e-05,0.0030575108248740435,0.0,0.021074590995811097,0.025053600755771007,0.022546853870153427,0.021062102168798447,0.11709421422573929,0.12352913763454056,0.004490396589112835,0.017829037797415428,0.005064793524367547,0.0011070647491273672,0.003026689648881745,0.0029877545312047005,0.16130784375124727,0.15476088825180603,0.01242163180264988,0.009578125114330177,0.0,0.0,0.5230718880577032,0.36503880026957336,0.36524336339751706,0.0017715581925585866,0.07762694358825684,0.08396856486797333,0.006112595088779926,0.0060177273117005825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671108603477478,0.5007818341255188,2.016263961791992,0.7669567465782166,7.24308967590332,3.619777202606201,8.938687324523926
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.05395629524012283,0.20540864765644073,0.0,0.0,0.0,0.0,0.0,0.05429152694858375,0.20582857728004456,0.02793894561952076,7.059879862936214e-05,0.011489352223411103,0.1502000391483307,0.06345536559820175,0.26920363306999207,0.1535218507051468,0.007497789803892374,9.736209904076532e-05,0.0007675566012039781,0.0,0.03339231873828762,0.03677747957504818,0.020516231656074524,0.01916705071926117,0.12180619684825805,0.13245118263143585,0.0027803316779782296,0.015103668105093213,0.005512679841608534,0.003051407084741273,0.002177701721345725,0.002163273625414591,0.17138588356949158,0.16551302220643982,0.026639678804740143,0.025016705565234755,0.0,0.0,0.5902760952678564,0.4279679089666797,0.42817504405899354,0.001520946272648871,0.07606100291013718,0.08330412209033966,0.0027696192264556885,0.003520181868225336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6925694942474365,0.48294103145599365,2.1432228088378906,0.7145242691040039,6.58949089050293,3.4714202880859375,9.678703308105469
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.04805247316064873,0.23440563678741455,0.0,0.0,0.0,0.0,0.0,0.04836022726399132,0.23471888899803162,0.02969413160336319,0.0,0.01631089226980076,0.1368231624364853,0.05542626976966858,0.2632351219654083,0.1483267843723297,0.005139254964888096,0.00012644439993891865,0.0006928129587322474,0.00020191491057630628,0.03220407778665859,0.034905904195567286,0.019155217334628105,0.01776674948632717,0.12770890814944869,0.14129311144821075,0.0024406530206561054,0.012998461675971603,0.006312219676733656,0.004769045458533535,0.0020522180206454872,0.0020878903350911807,0.16858312803193573,0.16477635617688324,0.03107434773414051,0.030915888868386383,0.0,0.0,0.6372944831936108,0.4727911800472101,0.47300756576501035,0.0013026094529777765,0.07439127564430237,0.08197669684886932,0.0017652688547968864,0.002505810232833028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6467957496643066,0.5095476508140564,2.297337055206299,0.6900101900100708,6.263310432434082,3.8141069412231445,9.598729133605957
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.04214210574529076,0.26016661524772644,0.0,0.0,0.0,0.0,0.0,0.04243314600447907,0.26050007343292236,0.03131825408703785,0.0,0.019783401335985946,0.12285661697387695,0.05336509644985199,0.2383056879043579,0.14387363195419312,0.006175146903842688,7.354169792961329e-05,0.0009419502457603812,0.00037333546788431704,0.02764342800833794,0.029748820516298142,0.01831158995628357,0.01677348092198372,0.13403852801660218,0.1476736739493985,0.002324108756758895,0.0116044060863694,0.004303087882477417,0.004034321460176439,0.0014809717542241573,0.0015736177143411852,0.16297432257574096,0.16119291187785217,0.029368438370304336,0.029897250089135588,0.0,0.0,0.6659222513600573,0.5086183250041815,0.5088340938141132,0.0009694844484329224,0.07239937037229538,0.08058629184961319,0.0012372732162475586,0.0019278265535831451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5406028032302856,0.5059902667999268,2.457663059234619,0.6942658424377441,6.251477241516113,3.9296228885650635,9.525604248046875
