Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.011492168525323296,0.11007751524448395,0.0,0.0,0.0,0.0,0.0,0.011510775354371585,0.11002983152866364,0.007602826512417526,0.0,0.0058946269401105025,0.026592057198286057,0.00017536550876684487,0.014591480605304241,6.171026325318962e-05,0.002008187134236319,0.0,0.030791401863098145,0.028383692726492882,0.013273517053343101,0.01635872520016811,0.008143316954374313,0.007621752563863993,0.03483564105575592,0.036832411560440065,0.002470516968396765,0.0023053622537010576,0.0019392022691789015,0.000605988390853112,0.0,0.00013394445704761893,0.0760532661952243,0.07650336623822128,0.010969274253809357,0.010942765998151607,0.0,0.0,0.09644772113288025,0.06775137636550704,0.0677762180734485,-4.708469077741029e-06,0.011457120068371296,0.01412576250731945,4.985817213309929e-05,0.0001813098497223109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24916955828666687,0.0768662840127945,0.8476806879043579,0.13395926356315613,1.4204933643341064,0.5286429524421692,1.6578489542007446
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.022434797506216658,0.22405186295509338,0.0,0.0,0.0,0.0,0.0,0.022449394462091293,0.22392427921295166,0.02196129631150749,0.0,0.010554998200209751,0.07976861298084259,0.00024927628692239523,0.03408394008874893,0.00016230301116593182,0.0034947547055047224,0.0,0.06321187317371368,0.05944113805890083,0.013215740297727409,0.01625258469723023,0.01814613863825798,0.01677733287215233,0.06597098110487748,0.0662528648617952,0.0024505268531137573,0.004332532173859348,0.0021169514819778393,0.0009186419413451099,0.0,0.00031693963683210313,0.18462888713049683,0.18376026452860444,0.0298714110907959,0.030429476402276688,0.0,0.0,0.15226034821279938,0.09794512990783447,0.09797906275610566,2.9004335374338552e-05,0.024560291320085526,0.029820939525961876,8.704392530489713e-05,0.00046104463399387896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226311683654785,0.15647248923778534,1.578322172164917,0.25298887491226196,2.556032419204712,1.00564444065094,3.6862545013427734
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03445920109623634,0.34625425934791565,0.0,0.0,0.0,0.0,0.0,0.03446840640220581,0.34604573249816895,0.04664251760112038,0.0,0.01722190566781042,0.1589263677597046,0.0003636251203715801,0.055686213076114655,0.0001003468714770861,0.004784597215772858,0.0,0.10218681395053864,0.09800263494253159,0.013105160748409048,0.016135668677905442,0.030708730220794678,0.02816726267337799,0.1064361035869545,0.1050831944094345,0.0023850334402511957,0.0062734707627991005,0.0021698184503077655,0.0013372110154256929,0.0,0.0005169949727132916,0.3270057622054193,0.325408784295354,0.06196874773078911,0.06369049778543624,0.0,0.0,0.20711619559444122,0.12971909495296494,0.1297588467475241,5.2757262892555445e-05,0.04050222039222717,0.04857129603624344,-9.67358846537536e-06,0.0009234120370820165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8621686100959778,0.22944195568561554,2.2256293296813965,0.37259191274642944,3.5414323806762695,1.3713178634643555,6.0721755027771
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.047109385326316984,0.46938595175743103,0.0,0.0,0.0,0.0,0.0,0.04709746891977402,0.4691163897514343,0.0764182431337912,0.0,0.02634258064094677,0.24240608513355255,0.00025998189812526107,0.07909433543682098,0.0002551623329054564,0.006511605553875742,0.0,0.145191952586174,0.1406831294298172,0.013061984149738132,0.016125176118916295,0.044659215956926346,0.0406874418258667,0.14955282284065613,0.1464071109532138,0.0022252566987313333,0.007912141315093251,0.0022621921275423652,0.002645835619906683,0.0,0.0008571523940190673,0.4760108091036377,0.47295906320063535,0.10701001267863983,0.11011238521198731,0.0,0.0,0.250485753998472,0.1568582520260765,0.1569075018159311,2.8455615392886102e-05,0.058229316025972366,0.06831611692905426,-4.72894316771999e-06,0.0021257263142615557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2891371250152588,0.3180198669433594,2.8265292644500732,0.4863097071647644,4.810044288635254,1.7184419631958008,8.149598121643066
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.059751617564116975,0.5903493762016296,0.0,0.0,0.0,0.0,0.0,0.059716412301719056,0.5900533199310303,0.10084035314619247,0.0,0.03725982662986,0.3002541661262512,0.00013920757919549942,0.1062142476439476,0.0004025651142001152,0.008572010290009003,0.0,0.18979281187057495,0.18511733412742615,0.013016777645971027,0.01606903009928511,0.059553198516368866,0.05438286438584328,0.1867831707106897,0.18201366368234895,0.0020880200350207783,0.009661009942110462,0.002364890855629915,0.005532278304507818,0.0,0.0011852261377498507,0.6052556403363855,0.6008566737101587,0.1597374054442975,0.16430377331268678,0.0,0.0,0.2804671794080069,0.17761776153245454,0.1777108162951877,-4.796206849277951e-05,0.07954628020524979,0.09172190725803375,0.0004993216134607792,0.007000837940722704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7305341958999634,0.43171799182891846,3.539583921432495,0.6320032477378845,6.534848213195801,2.1873281002044678,9.442056655883789
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05912420513884422,0.5821701288223267,0.0,0.0,0.0,0.0,0.0,0.05911077762326767,0.5819612741470337,0.09304675476021454,0.0,0.04010382166703537,0.26759520173072815,3.354344516992569e-05,0.11137659847736359,0.0004525716358330101,0.008557218795433903,0.0,0.20132513344287872,0.19628408551216125,0.013091786501308364,0.0159676432282798,0.05916859582066536,0.0544109120965004,0.16494283157487855,0.16103363927329528,0.002066207179597491,0.009498956954554062,0.0023106484596489875,0.007076768432938271,0.0,0.0013648621970787644,0.5750727068554272,0.5714969150562598,0.17219665842565826,0.17713197304679534,0.0,0.0,0.25916051270876284,0.15839471217607454,0.1585068285448761,-0.00010847389785340056,0.08661553263664246,0.09945372492074966,0.0020762388594448566,0.01455116830766201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710989713668823,0.4462396502494812,3.403017282485962,0.6374779343605042,7.273347854614258,2.2467691898345947,8.642830848693848
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0593984300268837,0.5700347423553467,0.0,0.0,0.0,0.0,0.0,0.05944141016603256,0.5699069499969482,0.08130132361004593,0.0,0.04197145959029884,0.22885139286518097,7.798407023074105e-05,0.11091945320367813,0.00039563191239722073,0.008268085018712807,0.0,0.21556030213832855,0.2075744867324829,0.013028533203659615,0.015606260811882863,0.05767139792442322,0.053570885211229324,0.14050117883627533,0.13763144315968628,0.0019154449789288354,0.00923062040517746,0.0023852581173367314,0.008305257008574572,0.0,0.0013600316597148776,0.5348810813970264,0.5328532062763843,0.1751179921196701,0.17974798699211547,0.0,5.955994311079849e-07,0.23705004157229065,0.13681599792297822,0.1369287013663559,-0.00020400613720994443,0.09475568681955338,0.10907058417797089,0.00738753005862236,0.024873893707990646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711179494857788,0.43990862369537354,3.3915939331054688,0.6680463552474976,7.979248046875,2.248311996459961,7.953676700592041
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.061523720469617384,0.5538837909698486,0.0,0.0,0.0,0.0,0.0,0.06152849821249283,0.5538141131401062,0.07051695831075226,0.0,0.04316085853278977,0.19852343201637268,9.117815352510661e-05,0.11056409031152725,0.00040910375537350774,0.007724429480731487,0.0,0.22880186140537262,0.21652889251708984,0.013140645074386557,0.015562572814946989,0.05490092188119888,0.05114872753620148,0.12228684128763442,0.12131668625018249,0.0018702952177220976,0.008865360748746186,0.0023071658664990877,0.008958737019015141,0.0,0.0016871824627742171,0.5037532455884662,0.5040258102102625,0.17539678600501832,0.1795775513759021,0.0031515469308942556,0.0034680061507970095,0.21590562758043427,0.10965745301987107,0.10975779596655488,-0.0001823182392399758,0.10214309394359589,0.11685344576835632,0.016952771693468094,0.03600402548909187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6200056076049805,0.4606075882911682,3.386512041091919,0.6801741123199463,8.39599895477295,2.2897534370422363,7.516167163848877
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06467865778235596,0.5369822978973389,0.0,0.0,0.0,0.0,0.0,0.06467157172543228,0.5368314981460571,0.06431262669166214,0.0,0.04474298523873321,0.1873515248298645,3.129202741547488e-05,0.10882557183504105,0.00039406190626323223,0.00699363648891449,0.0,0.24565981328487396,0.22823892533779144,0.013185150918170158,0.01566161060081358,0.05416598170995712,0.05075628310441971,0.10875283328727615,0.10937113463962783,0.0017533089789807212,0.008308854774305019,0.0021997897913474114,0.010714176273122883,0.00018853721456099152,0.0018327144207432866,0.48521641197214355,0.48724647573291013,0.17629114620579467,0.17950551875356202,0.025794560089707375,0.026093805208802223,0.1860998630432318,0.0777659974701809,0.07784194798592545,-0.0001730405492708087,0.11073169857263565,0.12538330256938934,0.03146669268608093,0.05007503926753998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5767782926559448,0.4557320475578308,3.411778211593628,0.6977648735046387,8.757033348083496,2.250589609146118,7.295443058013916
