Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0104739349280447,0.006442115642130375,0.0,0.0,0.0,0.0,0.0,0.010507647809253253,0.006395646836608648,0.00287606921698782,0.0,0.004323893676021872,0.012090289033949375,0.00794126745313406,0.015232759527862072,0.034294046461582184,0.0005423808041477931,8.796840847935528e-05,0.012485148385167122,0.010639732703566551,0.013192769447081235,0.016285732160374308,0.0006924121407791972,0.0005940807750448585,0.011231097525373705,0.014487449215935172,0.001965218024788697,0.0016215443576404118,0.0029205087808548405,0.0015082114860345101,0.0014493052149191499,0.0014308954123407602,0.019567138297127265,0.022007837897881622,0.0018805356651931048,0.001723014421258576,0.015607086010277271,0.01565573737025261,0.05675239489400963,0.03476968505101747,0.03475909248885591,0.0016770975198596716,0.00754378130659461,0.009547024965286255,0.00357200694270432,0.004031118471175432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27986568212509155,0.11938226222991943,0.48013463616371155,0.14453086256980896,1.5892536640167236,1.0217888355255127,1.2616387605667114
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01999578848052372,0.024855447933077812,0.0,0.0,0.0,0.0,0.0,0.020049839985949364,0.024750743061304092,0.006383675484845905,0.0,0.00684211404976429,0.037628091871738434,0.017944365739822388,0.039126038551330566,0.05793576315045357,0.0011987944989662839,0.000227286946028471,0.03161226585507393,0.02625453472137451,0.013079628081885987,0.016181586979672754,0.0021896432153880596,0.0018359519308432937,0.015914402047750235,0.018883194738933337,0.001879200180315735,0.003493484807106128,0.0025960675428653027,0.0023700250533435488,0.0024734558537602425,0.002423056634142995,0.05634412358569893,0.059048695129962844,0.0047030951176630495,0.004752390082502299,0.02649226412177086,0.02665651962161064,0.08160681278713638,0.034402348655653316,0.03439439938932317,0.0021690125577151775,0.01937108114361763,0.02362755313515663,0.007982982322573662,0.01012490876019001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405577421188354,0.20106680691242218,0.9789448976516724,0.287523478269577,3.2396328449249268,1.7714418172836304,2.7901339530944824
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03022118605548107,0.05185624212026596,0.0,0.0,0.0,0.0,0.0,0.030307257138823852,0.051697853952646255,0.013179194112288857,0.0,0.01025203280570982,0.07981373369693756,0.025997838005423546,0.06569603085517883,0.056673310697078705,0.0030515153348159695,0.000438606453826651,0.06571904569864273,0.0567740723490715,0.013007961769062035,0.01589088528389587,0.007479744032025337,0.006655314937233925,0.026637539272112275,0.02729265842301102,0.001857627678137565,0.006083187125305252,0.002454983238091053,0.0032721351201423217,0.0028079587500542402,0.002792472019791603,0.12972723279982545,0.13195717110756408,0.012680560554799956,0.01299505984746132,0.029775114730000496,0.030030662193894386,0.1116611302248352,0.03420484895228945,0.03418487473910023,0.0013096577022224665,0.03580497205257416,0.042736127972602844,0.012137116864323616,0.016854731366038322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7641961574554443,0.28774288296699524,1.3821264505386353,0.46200695633888245,4.880040645599365,2.447636842727661,4.328908920288086
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0424198148099691,0.08750422298908234,0.0,0.0,0.0,0.0,0.0,0.042526981033106766,0.08728570491075516,0.024866331153877486,0.00017399275384377688,0.01523458174083128,0.14090412855148315,0.02761685848236084,0.09271997958421707,0.03326350823044777,0.007199295539955674,0.0006523668998852372,0.11765380948781967,0.10318402200937271,0.012929425329696537,0.015757060204745665,0.016668543219566345,0.0151614248752594,0.04445599837347397,0.042150007897498246,0.0017066390710547567,0.00922592640613577,0.002434325102964211,0.003857222958023448,0.003505964297801256,0.0036222476046532393,0.2431648321548996,0.24421360269038148,0.03059363011254543,0.03073317496339779,0.02611863985657692,0.026379073038697243,0.1449140146228807,0.03394265008618225,0.033926445070301334,0.001014067092910409,0.059136368334293365,0.06857392936944962,0.018137726932764053,0.02528606727719307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977332353591919,0.3809625208377838,1.8410183191299438,0.6038601398468018,5.882646083831787,2.9859566688537598,6.53433895111084
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.053928716881429216,0.13098490238189697,0.0,0.0,0.0,0.0,0.0,0.054057655360162125,0.1307338923215866,0.03972767360508148,0.00024473227676935494,0.023154739483697014,0.20791654288768768,0.02110225148499012,0.11961495131254196,0.009247156791388988,0.009911805357915382,0.00071687251329422,0.18786023557186127,0.16908548772335052,0.013131534456915554,0.015657467179377372,0.03044426627457142,0.02825271151959896,0.06391219274271218,0.05757254663408539,0.0016769065364629536,0.01245366636377184,0.002669547308129245,0.002943952193071928,0.003715937025845051,0.003948098048567772,0.3835273452485712,0.38349978327017153,0.059517004604253465,0.06024395418059715,0.014226892031729221,0.014494610950350761,0.1793011546038916,0.03427451461946337,0.03426625679469318,0.0008324214722961187,0.08614976704120636,0.09830015152692795,0.023508600890636444,0.03349915146827698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2633225917816162,0.45107001066207886,2.2908949851989746,0.7472261786460876,7.34751033782959,3.619309902191162,8.3261137008667
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05542778211490509,0.14995688199996948,0.0,0.0,0.0,0.0,0.0,0.05550281906804611,0.14970391988754272,0.04517617465324089,0.00018587753584142774,0.02955680212577179,0.20354264974594116,0.012161224149167538,0.12479951977729797,0.0025732743088155985,0.010011198667601013,0.0005325451493263245,0.21755728125572205,0.19813477993011475,0.01321788248474097,0.015621498776156248,0.03583347424864769,0.033490654081106186,0.06569960790773377,0.05919824313248146,0.0015043045017243417,0.012415675787702541,0.0025771835799667,0.0023321836443699526,0.0035015739912981703,0.003802558174356818,0.41788992396701474,0.41816211862757935,0.08171723979028991,0.08244817687942169,0.012784280814230442,0.012990728951990604,0.18456464412126894,0.037281460514192725,0.03730133380576086,0.0005990162608213723,0.09797100722789764,0.1086392030119896,0.031217163428664207,0.04218441992998123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2852423191070557,0.4386742115020752,2.305943489074707,0.8113403916358948,7.945765972137451,3.6706011295318604,7.6873908042907715
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05710290241968117,0.16128592193126678,0.0,0.0,0.0,0.0,0.0,0.05712000296712662,0.1610191911458969,0.04623302026341202,9.029582543007564e-06,0.034761376284463116,0.17147988080978394,0.00649236747995019,0.12357092648744583,0.0018148659728467464,0.00883393612595253,0.00015496044943574816,0.24088525772094727,0.2203192114830017,0.013110232661610505,0.015413725876687864,0.03689282387495041,0.034680116921663284,0.057203270530153505,0.053085331635581205,0.0014395634449987573,0.012016273281077728,0.0023478008181508146,0.0025825836315524243,0.0035374523108646916,0.003975349012762308,0.40981968861290774,0.4111255012745532,0.10204190041291733,0.10276168157648513,0.03129224479198456,0.03145477920770645,0.1925952732722342,0.04000657951664071,0.04005265521170783,0.0005153125384822488,0.1101405918598175,0.12047310918569565,0.04597068205475807,0.05825280770659447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.369232416152954,0.43179023265838623,2.3590779304504395,0.8426169157028198,8.6643705368042,3.5990233421325684,6.899436950683594
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05937867596402122,0.16015668213367462,0.0,0.0,0.0,0.0,0.0,0.059366339723265535,0.15996161103248596,0.04465555719986473,0.0,0.040372553250196994,0.14154626429080963,0.0024534419644623995,0.12203375995159149,0.0013877673773095012,0.008440371602773666,2.1004676455049776e-05,0.25486138463020325,0.23367951810359955,0.013035533782172424,0.01539511969180684,0.036308981478214264,0.034083958715200424,0.047499243184349595,0.04522697252771507,0.0013523269838145024,0.010405889359094887,0.0021476972846572948,0.004595286331636496,0.0038223712989907503,0.004414280876517296,0.3861341483556476,0.3891005150957452,0.11834789899062927,0.11933785636333268,0.05546879768371582,0.055490050464868546,0.2010791063030066,0.034602448049234846,0.03466481311651736,0.00044134497875347733,0.12239676713943481,0.13267569243907928,0.0607137531042099,0.0747065544128418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4748460054397583,0.46218279004096985,2.4450130462646484,0.9059863686561584,9.192298889160156,3.6434779167175293,6.1519060134887695
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06297914682058495,0.14323437213897705,0.0,0.0,0.0,0.0,0.0,0.06297051476818741,0.14303246140480042,0.041436494412027666,0.0,0.04395494105428688,0.12259191274642944,0.0010486296378076077,0.12388334423303604,0.001060493174009025,0.007820158265531063,0.0,0.26215511560440063,0.24088235199451447,0.013038875764786545,0.015454555400805835,0.035688817501068115,0.0334189236164093,0.04401775224045647,0.04320749603296032,0.0013505751498754483,0.009488374815055522,0.0020871633880682745,0.00629539431460247,0.004336205991129017,0.00497784186154604,0.36799499692926635,0.37296127489863584,0.1273646288384317,0.1283474332881308,0.08302494883537292,0.08306769281625748,0.21054679750482544,0.0331853058306141,0.03323295869200557,0.0003588679537642747,0.13412299752235413,0.14517968893051147,0.0736292153596878,0.08780061453580856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6957526206970215,0.5370643734931946,2.4972636699676514,0.9295808672904968,9.12060546875,3.8545291423797607,5.846276760101318
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.06670209247264847,0.11683101952075958,0.0,0.0,0.0,0.0,0.0,0.06665845649698791,0.11650888621807098,0.03997563628637909,0.0,0.046406606992287366,0.11304831504821777,0.0007561335223726928,0.12654072046279907,0.000970415014307946,0.008671331219375134,0.0,0.2643229365348816,0.23952533304691315,0.01330417692453711,0.015652648992388826,0.0348639190196991,0.03221236169338226,0.042277935112446596,0.0413177009307394,0.0012595152939459252,0.008914784122967891,0.002280938312039057,0.008008398759890461,0.004627681350588989,0.005217741709202528,0.35853611154013426,0.3639530748458154,0.13204902372214355,0.13222873912263763,0.10871828347444534,0.1087275967001915,0.22178326842021392,0.03283710985651556,0.032878257421166485,0.0003120657929684967,0.14492815732955933,0.15507401525974274,0.08397575467824936,0.09670009464025497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255951404571533,0.6004143953323364,2.417076826095581,0.9421015977859497,8.805925369262695,4.238959789276123,5.686295509338379
