Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.021324429655537033,2.2973850718699396e-05,0.0,0.0,0.0,0.0,0.0,0.02138488173918537,3.0127226636977866e-05,0.006337805471381874,0.0,0.008825028764525233,0.009063724428415298,0.00023184709425549954,0.04110823571681976,0.002323390683159232,0.0006132924325747771,3.02440512314206e-05,0.052429478615522385,0.05345435068011284,0.013140010514356407,0.016434860358619616,0.003814408089965582,0.0036247812677174807,0.014842661346696921,0.015615784932138027,0.001818874855753307,0.0011489184072890543,0.004744846304285426,0.008145457251921711,0.0009051885572262108,0.0011994524393230677,0.0486681021429763,0.0499644316795913,0.04332349127646675,0.043253811562862704,0.013409746810793877,0.013448109850287437,0.14315795899355988,0.0778135791767482,0.0778545290399402,0.0001315158006036654,0.050375450402498245,0.05328842252492905,0.023943554610013962,0.028935492038726807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45298871397972107,0.18687455356121063,0.45510974526405334,0.18377196788787842,1.3691691160202026,1.391538381576538,0.7746544480323792
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03592605553138603,0.00013186111755203456,0.0,0.0,0.0,0.0,0.0,0.03602229594944176,0.0001405974617227912,0.012055483049640922,0.0,0.015979092586608543,0.017411526292562485,0.0004439226468093693,0.10610467195510864,0.01525463629513979,0.0008952229790587199,8.127414912451059e-05,0.0860244482755661,0.08992598205804825,0.012855709645936388,0.016501292953779664,0.005919990129768848,0.005498111248016357,0.020717907308247567,0.019651188479670775,0.0017611618797454015,0.0018210822007604147,0.00928155046301278,0.0183551383891169,0.0015590488910675049,0.002206941833719611,0.09455358798670563,0.09430500270208923,0.09045537508100739,0.09123672311710708,0.016372021287679672,0.016498560085892677,0.2781610340000003,0.14866800460885757,0.1487752437196219,0.0003072825784329325,0.09068726003170013,0.0962064191699028,0.04347966983914375,0.05530586838722229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088808298110962,0.3886468708515167,0.9923593401908875,0.35469406843185425,2.563335418701172,2.5753493309020996,1.6649545431137085
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04870975524061882,8.849948471834068e-07,0.0,0.0,0.0,0.0,0.0,0.04884773638162552,-4.900038220512215e-06,0.01799997121559372,0.0,0.023627345826952438,0.02512860670685768,0.000536976964212954,0.1981297880411148,0.03812214359641075,0.0012248241264086867,6.159800250316039e-05,0.10228542238473892,0.11021988093852997,0.012390485079549193,0.016490143717690472,0.0064688315615057945,0.005787222646176815,0.02994226851026478,0.027185444568221286,0.0015884683527390602,0.0022555293419012595,0.01424698367943737,0.029407374171797257,0.002216140739619732,0.0032276518177241087,0.1446013185837839,0.140151096130643,0.13809566965275757,0.1391109742816559,0.012157890014350414,0.012397230602800846,0.43053122762359314,0.2359266817778589,0.23613184391225037,0.0004049962153658271,0.12286484241485596,0.129816934466362,0.060572437942028046,0.07943691313266754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921473503112793,0.6093997955322266,1.5086761713027954,0.4865323007106781,3.581794500350952,3.7433223724365234,2.6565873622894287
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.06093998377006355,-0.00014508979802485555,0.0,0.0,0.0,0.0,0.0,0.061127009041329346,-8.089614129858091e-05,0.022982327052720297,0.0,0.030322306404148482,0.03303755819797516,0.000605271547101438,0.3007435202598572,0.06246788427233696,0.0013948972100271558,3.01146496894944e-06,0.11095505952835083,0.12300439924001694,0.012144707753089174,0.01655336207721515,0.005895460955798626,0.0048338803462684155,0.04088310970112213,0.03584014099228584,0.0014503524571787567,0.002619341525634737,0.017702740635737572,0.03864167897451927,0.0025887598749250174,0.003968896344304085,0.19532036260762786,0.18565214350668854,0.18048509042693847,0.1823596072779129,0.00432584760710597,0.004656251985579729,0.5838614314648645,0.3329984188451721,0.3333015322677057,0.000518408021889627,0.1500604748725891,0.1583915650844574,0.0756579339504242,0.10147424042224884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.978787422180176,0.9119935035705566,1.995044469833374,0.6123219728469849,4.366660118103027,5.013620376586914,3.5797278881073
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07404595877066757,-8.627958595752716e-05,0.0,0.0,0.0,0.0,0.0,0.07424058901852355,-4.585087481245864e-06,0.028671267181631967,0.0,0.037421392470104294,0.04205638915300369,0.0006743338890373707,0.39175260066986084,0.08830302953720093,0.0015717636227058577,0.0,0.11467722058296204,0.13005869090557098,0.011912654017505568,0.016715467493892456,0.0051323347724974155,0.0036171027459204197,0.05254370943773476,0.04459325711727879,0.001360201716610933,0.0029768333182892035,0.019769378736042405,0.04526578364666351,0.0033574223052710295,0.004988673143088818,0.2474268593276651,0.23331051766138397,0.21338304605594605,0.21517054107677827,5.60524313186761e-05,0.00041308297659270465,0.7291494727038672,0.4310512721935797,0.431441903145354,0.0006991162663325667,0.1748364418745041,0.18336798250675201,0.0895669013261795,0.11968721449375153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.047126770019531,1.2875109910964966,2.314809799194336,0.748599648475647,5.064200401306152,6.362337112426758,4.524561405181885
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07365335511819718,0.00021770515013486147,0.0,0.0,0.0,0.0,0.0,0.07383089715919067,0.0003471949603408575,0.028684221369692536,0.0,0.03696887067159012,0.04406056925654411,0.0007201877306215465,0.3828897178173065,0.09748464822769165,0.0014226035846176385,5.6082310038618743e-05,0.0887259989976883,0.10428068786859512,0.011977859131138233,0.01674065584272498,0.004241187125444412,0.002503611147403717,0.05494523870845779,0.04565151926005829,0.001367760534196073,0.0027836755537245083,0.015602933403976536,0.03974424325414818,0.0032742702814633562,0.004958243574947119,0.24913288763869904,0.2334097884435965,0.1924803574613028,0.19442313148452423,0.00021262787049636245,0.00042577579733915627,0.728242838405708,0.44613984521841005,0.4465176343901367,0.0007472967845387757,0.1635083258152008,0.17196962237358093,0.0843893364071846,0.11143513023853302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268914222717285,1.3407292366027832,2.4020087718963623,0.7323712706565857,4.817394733428955,6.120423793792725,4.581392288208008
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07471964750420532,0.00017995275266002864,0.0,0.0,0.0,0.0,0.0,0.07489730433822418,0.0003167429531458765,0.030097843619682808,0.0,0.036905165367228696,0.05146058648824692,0.000774224114138633,0.3550542891025543,0.10432296991348267,0.0013757113497515799,1.9429027815931477e-05,0.0567634142935276,0.071357861161232,0.011884198500674254,0.016707612795262436,0.0032901400700211525,0.0013240489643067122,0.05685661736672043,0.047199291007624815,0.0013467421765175549,0.002713639466564045,0.010505591893214684,0.03176728012894806,0.0029618407102123545,0.0045184423215687275,0.24581111591526825,0.22913463938185302,0.16036779458987732,0.16197163184475372,0.00022121630900073797,0.00040133847505785525,0.7283637076775611,0.45397474166210633,0.45435295399563597,0.0007411084952764213,0.15447662770748138,0.16191960871219635,0.07379016280174255,0.09788833558559418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218766212463379,1.4966099262237549,2.374267816543579,0.7374911904335022,4.555589199066162,5.912149906158447,4.972880840301514
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07600663214578583,0.00012514508853200823,0.0,0.0,0.0,0.0,0.0,0.07620036033788956,0.00034007339854724705,0.03313748858824287,0.0,0.03775992520749909,0.06625229120254517,0.006859659682959318,0.3071874678134918,0.11531789600849152,0.0015735257184132934,0.0,0.01594121754169464,0.028475871309638023,0.016951944991674683,0.02267401653093192,0.0031226035207509995,0.0008371949079446495,0.05842196197750336,0.0496182814016069,0.0014233935901386684,0.0026726709872267533,0.004982435087571173,0.020362147714508363,0.0026046351348828316,0.004059968516230583,0.23291517865292694,0.21694295927718749,0.11564670589637573,0.11691401858238022,0.00021264336828608066,0.00026666835765354335,0.7321631073673072,0.4598678887083667,0.460245579517771,0.0006524261552840471,0.148055762052536,0.15418313443660736,0.06073649972677231,0.08051419258117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7621285915374756,1.4431769847869873,2.3720197677612305,0.7625771164894104,4.332502841949463,6.136488914489746,5.451053142547607
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07730904592303436,0.0003910771629307419,0.0,0.0,0.0,0.0,0.0,0.07746811526400268,0.0005192056414671242,0.03583768856724388,0.0,0.0361542539498233,0.08683624863624573,0.036146145313978195,0.2579762935638428,0.13197585940361023,0.0022686345037072897,0.0,0.0002769888669718057,0.004046776797622442,0.0433652542383329,0.04800417350388161,0.0033426207955926657,0.0006567546515725553,0.0629707738562001,0.05296231955373993,0.0015158309629199442,0.0035841021507171727,0.0026679464119746805,0.009054888202026939,0.0022744454724291326,0.0034044620115309954,0.21681109371195068,0.20201715043841553,0.0654052355159639,0.06546875007871154,9.964965283870697e-05,0.00023628547205589712,0.7379180252460669,0.4614380299754547,0.4618310660255335,0.0007802611798979342,0.14586849510669708,0.15016885101795197,0.04524264484643936,0.06041742488741875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.293656587600708,1.3010766506195068,2.499457359313965,0.8042784333229065,4.488367080688477,5.981188774108887,5.934877872467041
