Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.020626183593735123,1.3251141353975981e-05,0.0,0.0,0.0,0.0,0.0,0.02059745967821888,-8.769947453401983e-05,0.0028486527102056457,5.6430271797580644e-05,0.0050727766775282,0.0020933388732373714,0.0003921655588783324,0.0007757143466733396,0.003447430208325386,0.0032435237816052865,0.0,0.04390386492013931,0.03253842517733574,0.013303818797461434,0.01622909212999467,0.0024806673172861338,0.001814675866626203,0.010709296293348096,0.013633027241426149,0.002091531952255678,0.0013340725528725647,0.003471717750991781,0.0010476508778449571,0.0022410131059587,0.0019724550656974316,0.019914762830005664,0.01881741453592455,0.008595732548499012,0.005175220800992556,0.01725604385137558,0.017202069982886314,0.05164194666767696,0.034909107891237974,0.034920240372628995,0.00014939813991077244,0.02747509442269802,0.02632511779665947,0.02851780690252781,0.022510657086968422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32534438371658325,0.23148515820503235,0.4971652925014496,0.21306581795215607,1.2797592878341675,1.6426286697387695,0.679540753364563
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.04797575659621109,0.00011481824185466394,0.0,0.0,0.0,0.0,0.0,0.04787039920447525,-3.524315252434462e-05,0.005349463186154632,0.0003003420424647629,0.007122146449806108,0.0031370155047625303,0.0016146901762112975,0.00021922979794908315,0.011907598003745079,0.009173498760835477,0.0,0.09003543108701706,0.061255909502506256,0.013259144033344585,0.01602219665439308,0.004812951199710369,0.0030526763293892145,0.010661926983496932,0.013289384799478094,0.0049293878120587635,0.002232882193195095,0.009818049542329635,0.0029254970361504698,0.005912579596042633,0.005314484238624573,0.02432432773577961,0.01790173502049057,0.011278557060365582,0.0032551430589943457,0.040579862892627716,0.04020906239748001,0.06905379147537644,0.03465777220635106,0.03470706009369003,0.0003749491588678211,0.0630362331867218,0.05889866501092911,0.06766621768474579,0.05301385000348091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6536883115768433,0.5055885910987854,1.0704847574234009,0.4570763111114502,2.4082376956939697,3.288721799850464,1.3952916860580444
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.09074490651363099,7.165865099523216e-05,0.0,0.0,0.0,0.0,0.0,0.0905362605682367,-1.8741487792794942e-06,0.008476514299380684,0.000980142503976822,0.008846751790969352,0.006037835963070393,0.004893154837191105,0.00013524750829674304,0.02681381069123745,0.02070444649231552,0.0,0.1384875327348709,0.08489884436130524,0.013162876132582255,0.01576143613174102,0.007953548803925514,0.004475463181734085,0.010942830825140203,0.012656222527784124,0.010970501025613689,0.0035976948585906793,0.018980279790663454,0.00562657842624567,0.011605709791183472,0.010709749534726143,0.02845743630915619,0.014228551736954566,0.014240980352697295,0.0,0.07361359149217606,0.07245856523513794,0.08899125981844597,0.034437802730612005,0.03455291280052439,0.0008650867384858429,0.10972616821527481,0.0995786264538765,0.11283832788467407,0.08650188148021698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9459816217422485,0.8657801747322083,1.6149623394012451,0.7382892370223999,3.5146045684814453,4.941203594207764,2.1225247383117676
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.14582556237261596,0.00010982363892253488,0.0,0.0,0.0,0.0,0.0,0.14559599960567565,0.00013098311319481581,0.011329823890097847,0.0017508044838905334,0.010003503026698972,0.01331387273967266,0.01615726388990879,0.0010406046640127897,0.050177495926618576,0.03346835516820389,0.0,0.18155786395072937,0.10319991409778595,0.013199334526200696,0.0157136806544116,0.011509732343256474,0.006338158156722784,0.011499232059600739,0.011922845604339774,0.01848327147221565,0.005572571463337154,0.028333247657879982,0.008313379124293823,0.017598256468772888,0.01642465963959694,0.03689038978019333,0.014869351124746265,0.0179151037706303,0.0,0.11805444955825806,0.11606951057910919,0.11432809232206512,0.034537296057614575,0.03472607330686521,0.001516320975497365,0.16046006977558136,0.14558786153793335,0.15758803486824036,0.1198301762342453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2913953065872192,1.128590703010559,2.059795379638672,1.0317838191986084,4.844845771789551,6.465689659118652,2.859658718109131
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.20507780726090577,0.00025509780971333385,0.0,0.0,0.0,0.0,0.0,0.20480033146923768,0.0002879092062357813,0.014075926244255943,0.0023260198067873716,0.010081880919141369,0.027185318991541862,0.034568533301353455,0.003667473094537854,0.08976299315690994,0.04378429983196876,0.0,0.2127072662115097,0.11514756083488464,0.013052421150787134,0.01600462072678648,0.013689834624528885,0.0070909177884459496,0.012460005387104426,0.010747005683563564,0.024222496492743262,0.008431174267943783,0.03554298801662865,0.01023900890495428,0.022921612486243248,0.02148406021296978,0.05496259708057953,0.025257118784001692,0.02178404394796818,0.0,0.18159084022045135,0.17893165349960327,0.14582132994168304,0.03470267386772182,0.034965351604226744,0.002504402305930853,0.21360661089420319,0.1948920637369156,0.2042934000492096,0.15667399764060974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6258656978607178,1.3757758140563965,2.284762382507324,1.3169503211975098,6.336824417114258,7.95294189453125,3.6404693126678467
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.2169718219603717,8.114732918329537e-05,0.0,0.0,0.0,0.0,0.0,0.2167102342315631,-3.6332308809505776e-05,0.014292009336420745,0.0018733415054157376,0.009397895658512859,0.043438930064439774,0.04919222369790077,0.0260775089263916,0.12699447572231293,0.03857071950824585,0.0,0.18882037699222565,0.10069196671247482,0.012757268238191885,0.016381925462767274,0.011714105494320393,0.005513437557965517,0.012778604711345282,0.011358245330551749,0.01772982755515995,0.00886487343020771,0.034278654654450985,0.01128220301606577,0.022340101138025016,0.02095736190676689,0.07411433122266434,0.04708299039200081,0.02240958633336357,0.0,0.22299031913280487,0.22071321308612823,0.15622705372486467,0.034462495073809545,0.03472553051959772,0.003233312163501978,0.2208760678768158,0.20445987582206726,0.2087049037218094,0.16476494073867798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6900240182876587,1.3362752199172974,1.9849153757095337,1.3000988960266113,6.744391918182373,7.711721897125244,3.724216938018799
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.2150644907725998,-6.319306703517213e-05,0.0,0.0,0.0,0.0,0.0,0.21479357795120024,-0.0003145644150208682,0.013846152933933754,0.0013416791334748268,0.00908577588985653,0.05966867133975029,0.05559783801436424,0.07809087634086609,0.15853530168533325,0.0323257545837944,0.0,0.1639356017112732,0.08615949004888535,0.012419491720983795,0.016619497281472037,0.009565701708197594,0.0038099137600511312,0.012463641853828422,0.011806642700018239,0.007200404312877626,0.008918532347778663,0.03183201644720505,0.015310637009493675,0.021771023745258217,0.020510829985141754,0.10218140851923782,0.07710899192043869,0.032685142265439227,0.00753213736530612,0.2634072005748749,0.26152676343917847,0.1656126231114447,0.03401946388302495,0.03428728733031291,0.0041036419570446014,0.21752868592739105,0.2037471979856491,0.20137690007686615,0.1640118956565857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6991342306137085,1.2342666387557983,1.7687036991119385,1.1737422943115234,7.529388427734375,7.344363212585449,3.767378330230713
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.20556574672117187,0.00010796941933222115,0.0,0.0,0.0,0.0,0.0,0.20533302603164946,-0.00030436457018367946,0.013202091156988487,0.0007656346424482763,0.00993758902550083,0.0749543085694313,0.049740079790353775,0.1275833696126938,0.16666685044765472,0.025078123435378075,0.0,0.14291276037693024,0.07679174095392227,0.012371839307675546,0.016716842532464297,0.007950706407427788,0.0030292896553874016,0.011844498585335074,0.01197996407366048,0.0027400252977343295,0.008693539184310227,0.0263396757085717,0.01891288685382683,0.02046225655878296,0.019459398463368416,0.1375926144086566,0.11532344743445984,0.05275269684266861,0.030998160656369133,0.29484105110168457,0.2935675382614136,0.17252301272943635,0.033742224255228104,0.033999390412912216,0.004193828906863928,0.2080395668745041,0.1987273246049881,0.18478327989578247,0.15673917531967163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7969523668289185,1.089449405670166,1.762791395187378,1.044692039489746,8.42973804473877,6.57821798324585,3.8468875885009766
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.19216215981272858,0.00032483830000273883,0.0,0.0,0.0,0.0,0.0,0.19199347811323822,-0.0001224096049554646,0.013292933898173638,0.0004394105344545096,0.011910568532946034,0.09205851703882217,0.0412665456533432,0.1599857062101364,0.1609562486410141,0.02018234319984913,0.0,0.1272459179162979,0.07030316442251205,0.012368990163403842,0.016738949523000334,0.007017108611762524,0.0027553148102015257,0.011180848306089466,0.011865022802635634,0.0019027461616800514,0.00820931781149784,0.022089538184672547,0.02091426604814873,0.019218214536229707,0.018471090123057365,0.16993031206140746,0.15046498886405182,0.06935130886925446,0.05122690566304688,0.3149789869785309,0.3140525817871094,0.17428237794916138,0.033120470267079226,0.0333520309025149,0.0038351735565811396,0.1951475739479065,0.19009527564048767,0.16730624437332153,0.14683641493320465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8786885738372803,0.936294436454773,1.8350363969802856,0.9608128070831299,9.327398300170898,5.675083160400391,3.993133544921875
