Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.00257736744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038660120000000003,0.00427697224,0.0008113891200000001,0.0011440041600000001,0.0,0.0,0.0,0.0033285979200000006,0.0,0.0,0.0,0.0,0.04371209744,0.05315883752,0.009525082240000001,0.0134733304,0.13747427464,0.13738471272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0060140155255794525,-2.3633643650100566e-05,0.0,0.0,0.0,0.0,0.0,0.006039000581949949,4.433572485140758e-06,0.0079651688953652,0.0,0.0027467473410069942,0.014174170792102814,0.0076712192967534065,0.012873071245849133,0.0031853888649493456,0.00039465943700633943,3.616768299252726e-05,0.006107819266617298,0.004801797680556774,0.009497768436530003,0.007898760069478468,0.004296102856305423,0.004470582422542725,0.015103153884410858,0.016397442668676376,3.983949136454612e-05,0.004968569413608263,0.0,0.0,0.0002078358520520851,0.00012158848403487355,0.06549322489571004,0.07191026526348711,0.011750855635370447,0.015606499394551526,0.07743403617789099,0.0773302246502202,0.022196335718035698,0.01084328256547451,0.010876914486289024,3.3593772968742996e-05,0.006457150913774967,0.0064114234410226345,0.00020612993102986366,1.538244032417424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170937180519104,0.1310749500989914,0.5614199042320251,0.1125849261879921,2.032600164413452,0.8651936650276184,0.7704471349716187
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.011186812072992325,-1.9900649931514636e-05,0.0,0.0,0.0,0.0,0.0,0.011233086697757244,4.578196967486292e-05,0.011985569009430609,0.0,0.004611061420291662,0.026189005002379417,0.0180494524538517,0.01879051700234413,0.004696855787187815,0.0008332935394719243,0.00010215318616246805,0.020789142698049545,0.017661655321717262,0.011842114611500032,0.010067527549236073,0.007706643676801166,0.007815516769817257,0.02848471701145172,0.03055848740041256,0.00013546846457757056,0.006832130750203753,0.0,0.0,0.0004157052899245173,0.0002128487976733595,0.08002227472913079,0.0858894165615707,0.012379564548612852,0.01607621261256383,0.06906444489489612,0.06894453410612976,0.053111713379621506,0.03050478920340538,0.030576661229133606,3.7825822801096365e-05,0.013099877163767815,0.013023088686168194,0.0004727596533484757,4.677158722188324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9184702038764954,0.24339811503887177,1.1693350076675415,0.2248591184616089,4.235260009765625,1.7230497598648071,1.4667145013809204
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.015245411545038223,-4.958452336722985e-05,0.0,0.0,0.0,0.0,0.0,0.015303595922887325,5.974942177999765e-05,0.015341167501987763,0.0,0.006217110902070999,0.03745323419570923,0.029742147773504257,0.0231076180934906,0.0052159628830850124,0.0014063678681850433,0.0001977612409973517,0.043060045689344406,0.03723109886050224,0.013295770287888645,0.011289160477739875,0.01108874542638094,0.011187703503206367,0.041111014783382416,0.043689850717782974,0.00029643188463523984,0.008902088652724315,0.0,0.0,0.000581987842451781,0.000260676140896976,0.09649781658270026,0.10226010829324905,0.01283264387127439,0.016357542273182892,0.0863415207958245,0.08624125553020202,0.09142875671386719,0.05716593563556671,0.057283028960227966,5.0295351684326306e-05,0.01987854205071926,0.01978273130953312,0.0006150264525786042,3.05225548800081e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.274254560470581,0.34467506408691406,1.7876800298690796,0.34417054057121277,6.539331436157227,2.5417001247406006,2.152306318283081
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0178353451192379,1.1728823665180244e-05,0.0,0.0,0.0,0.0,0.0,0.017904995009303093,0.00012094808334950358,0.01862656396773861,0.0,0.00838027335703373,0.05202709510922432,0.04024619236588478,0.03484729677438736,0.0035564557183533907,0.0019520979840308428,0.0004172193876001984,0.07225815206766129,0.06252862513065338,0.014359197587785305,0.01256668217161587,0.014991153005069924,0.015095240651681385,0.054289765655994415,0.0580308735370636,0.0005561677971854806,0.011278052599871406,0.0,0.0,0.0007843617349863052,0.00033434381475672126,0.1258006841288675,0.132096976055083,0.014235197268132464,0.017232228063943405,0.08207644051290652,0.08198440042629868,0.13848385214805603,0.09263728559017181,0.09279944747686386,9.510492964182049e-05,0.02788599207997322,0.02813730016350746,0.0008150161011144519,0.000113388778117951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5799578428268433,0.4058493971824646,2.512294292449951,0.46856918931007385,9.030746459960938,3.1171326637268066,2.8778531551361084
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01932709850370884,-3.77472497348208e-05,0.0,0.0,0.0,0.0,0.0,0.019399452954530716,1.9409953893045895e-05,0.022200767355612067,0.0,0.011972383596003056,0.07252191007137299,0.04717663303017616,0.0627281665802002,0.001562012592330575,0.0025996628683060408,0.0009285166743211448,0.108464814722538,0.09255392849445343,0.015154947630234531,0.013348386523824638,0.01927667262220852,0.019346278507018737,0.06930921971797943,0.075593501329422,0.0010922637302428484,0.013950163347674694,0.0,0.0,0.0008598087588325143,0.0002482277632225305,0.18074338134809967,0.18760918081683442,0.025507511388848592,0.027634428473300325,0.08133172026092128,0.08136705232527608,0.19175277650356293,0.13670146465301514,0.13691657781600952,6.886780465720221e-05,0.03844282776117325,0.03894541785120964,0.0009900270961225033,0.0002870707248803228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9514765739440918,0.4830257296562195,3.311129570007324,0.5972126126289368,11.248739242553711,3.6222984790802,3.7915830612182617
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.016713760793209076,0.00012500084994826466,0.0,0.0,0.0,0.0,0.0,0.01678449660539627,0.00020279794989619404,0.02414238899608406,0.0,0.015338433906435966,0.09428457170724869,0.03402984142303467,0.10100333392620087,0.0012453176314011216,0.0027523324824869633,0.000821339781396091,0.12379135191440582,0.10600093007087708,0.015499938147419746,0.013859968710483495,0.021202992252460365,0.02124678140127407,0.07181410491466522,0.07962596416473389,0.0005947879981249571,0.014576883994328231,0.0,0.0,0.00075266242492944,0.0001736597332637757,0.24043807983577453,0.24724977311787383,0.052656880802592086,0.05387064072715653,0.09998318695507764,0.10000758779150512,0.20918987691402435,0.16100141406059265,0.16121883690357208,8.9534223661758e-05,0.04440544918179512,0.04506306350231171,0.0011634667171165347,0.001009755302220583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0541927814483643,0.4657570719718933,3.5736753940582275,0.60219407081604,10.930655479431152,3.3031275272369385,4.029728412628174
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.015572525560855865,0.0014006491983309388,0.0,0.0,0.0,0.0,0.0,0.015647126361727715,0.001511820824816823,0.028958993041724966,0.0,0.02050502970814705,0.13272961974143982,0.016267674043774605,0.13841886818408966,0.0008407749119214714,0.0026516299694776535,0.0008192029781639576,0.13473697006702423,0.1185491532087326,0.015662839118199254,0.014248162848148997,0.02334702683106594,0.02363140937091118,0.07284132391214371,0.08240406215190887,0.0003798302204813808,0.014736375785639133,0.0,0.0,0.00069738196907565,0.00014977436512708664,0.32376648781510925,0.3314913153652539,0.0880126774599469,0.08866311310627534,0.11190368076288737,0.1119152398703748,0.2242484986782074,0.18615524470806122,0.18635505437850952,5.489796239999123e-05,0.050042226910591125,0.051093388348817825,0.001238247030414641,0.0019440592732280493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545595169067383,0.47304850816726685,3.826796770095825,0.607986330986023,10.337562561035156,2.9849441051483154,4.361810684204102
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.014904732815921307,0.020852360874414444,0.0,0.0,0.0,0.0,0.0,0.01498632226139307,0.020977575331926346,0.03666851149592438,0.0,0.025533562526106834,0.16515415906906128,0.004040493164211512,0.15029142796993256,0.00028422247851267457,0.0023871168959885836,0.0007182374829426408,0.14685207605361938,0.13290110230445862,0.01643057947228028,0.015289662431965063,0.026381922968582574,0.026707646596266326,0.07576823979616165,0.08605990558862686,0.00017537124222144485,0.014342031655983353,2.8138905690866522e-05,8.482858788738667e-07,0.0006449264474213123,0.0001270037901122123,0.4041647195854462,0.41168341043319884,0.11522817464916779,0.11582873019629104,0.11641299624910056,0.11640893416594672,0.23805367946624756,0.21013689041137695,0.21031592786312103,1.280397191294469e-05,0.053395647555589676,0.054666996002197266,0.0010672732023522258,0.0021247712429612875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444437265396118,0.48297882080078125,4.2914276123046875,0.5999672412872314,9.689608573913574,2.6406731605529785,4.687101364135742
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01466064527630806,0.047449689358472824,0.0,0.0,0.0,0.0,0.0,0.014731948263943195,0.04756666719913483,0.04443811026466301,0.0,0.028549427166581154,0.18270951509475708,0.0007053266745060682,0.14633126556873322,0.00015256059123203158,0.002242668531835079,0.0005345228128135204,0.1571711003780365,0.14421208202838898,0.01689471630903221,0.01590477412242054,0.029669577412228736,0.02994785381355572,0.0827801451086998,0.09319104254245758,0.00011471808102214709,0.013780671194334241,0.0,0.0,0.0005530873313546181,6.531920371344313e-05,0.452710229166994,0.4593020439016449,0.12942089733901674,0.13023538291102188,0.11919064900699537,0.11916835505678801,0.2515673339366913,0.2277856320142746,0.22795777022838593,-5.394697291194461e-05,0.0549863800406456,0.05658961832523346,0.0007854952127672732,0.002131956396624446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5488195419311523,0.4761483073234558,4.805078506469727,0.5941305160522461,9.160201072692871,2.3572444915771484,4.916754722595215
