Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004725280677989149,7.594855560455471e-05,0.0,0.0,0.0,0.0,0.0,0.004755588876695552,7.016211748123169e-05,0.006312410167417259,0.0,0.00670218093551117,0.015026192180812359,0.0007552324095740914,0.032698601484298706,0.0016074382001534104,0.0007379523748049868,0.0,0.022994274273514748,0.02100985497236252,0.013251648585204537,0.01629500974120411,0.004887199494987726,0.00471462169662118,0.02533436265533478,0.029625111046457292,0.001730085300887509,0.0019284293486454749,0.001870249233044712,0.0005387251240247352,0.00015345423889812082,7.002775964792818e-05,0.0346231262810693,0.03604240529869473,0.017561285333001518,0.01666154574831993,0.0,0.0,0.09417314083302597,0.08584038767703811,0.08590213956125672,4.008775795227848e-05,0.009993800893425941,0.010242759250104427,0.0003736384096555412,0.0010132316965609789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901319146156311,0.0946255549788475,0.534931480884552,0.1272331029176712,2.2288718223571777,0.6627007126808167,0.8339270353317261
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0073086655655836014,-0.00011519881809363142,0.0,0.0,0.0,0.0,0.0,0.007334151079339352,-0.00013944970851298422,0.01169668916512516,0.0,0.011735042575569763,0.026832526549696922,0.0007600492099300027,0.07499969005584717,0.005639004521071911,0.001163677118645258,0.0,0.04415355250239372,0.04020063206553459,0.013190744254660915,0.016123732802970078,0.008798619732260704,0.008338605985045433,0.038214416785743714,0.04396766420633484,0.0017022963340204173,0.0030533224333994294,0.0020024138883602697,0.0014005135383483016,0.000254165061051026,0.00012758016237057745,0.06272646973895821,0.06336780787787048,0.04476195520729294,0.04330443357633942,0.0,0.0,0.14290506393917496,0.1309159234530806,0.13105182494740128,7.739782449789345e-05,0.021199192851781845,0.02145499549806118,0.0031615111511200666,0.006050354801118374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1527745723724365,0.22649089992046356,0.9864123463630676,0.2481761872768402,4.296810626983643,1.407488465309143,1.6316732168197632
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.010776610522210236,-0.00023482789401896298,0.0,0.0,0.0,0.0,0.0,0.010796418004369125,-0.0002959179109893739,0.01651599437462082,0.0,0.016850437414376716,0.03827996924519539,0.0008478249656036496,0.12500445544719696,0.012781037949025631,0.001685047537618568,0.0,0.06313927471637726,0.057274818420410156,0.013080763007337168,0.015912178446613353,0.011676467023789883,0.01089042890816927,0.051228955392641454,0.05885189477068634,0.0016473206707731019,0.004052884354869442,0.0031597722484332635,0.004305375816557626,0.000389231980079785,0.00024166896764654666,0.09716707055359818,0.09690860434893142,0.08117747327261918,0.07863005182109985,0.0,0.0,0.1824289650074356,0.17299122514429108,0.17319996355736908,6.0465754359029233e-05,0.03429870307445526,0.034184958785772324,0.013488824479281902,0.017908670008182526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042834520339966,0.4130328893661499,1.3301055431365967,0.37529122829437256,6.058056354522705,2.3422906398773193,2.336591958999634
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.016287758320382272,-0.00035261601442471147,0.0,0.0,0.0,0.0,0.0,0.01625453139068695,-0.0005311329150572419,0.021605305158861388,0.0,0.022887051651512526,0.05119055509567261,0.0007533294847235084,0.18238301575183868,0.01968793198466301,0.0021593167675538634,0.0,0.07939567416906357,0.07032544910907745,0.013159591732312842,0.01570470945688097,0.014409096911549568,0.013248954899609089,0.064498209190811,0.0737953878580352,0.0016419499143389986,0.004727241627326221,0.00437571249903718,0.008926004976521034,0.0006345310248434544,0.00041135353967547417,0.1434038080374298,0.1413085378691382,0.12528844755126708,0.12186777716736298,0.0,0.0,0.21542259155244994,0.21269663576030273,0.2129707515231531,4.874181831837632e-05,0.04804116487503052,0.047225628048181534,0.027875429019331932,0.033545032143592834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2577686309814453,0.6674348711967468,1.6420974731445312,0.5025101900100708,7.2628326416015625,3.3496437072753906,3.13305401802063
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.024250811739121934,-0.00016256653179880232,0.0,0.0,0.0,0.0,0.0,0.02418701301103817,-0.00041719942237250507,0.026381578966972276,0.0,0.029985079735023575,0.07050587981939316,0.0008870264864526689,0.24579481780529022,0.025553172454237938,0.0026899387260349798,0.0,0.08921964466571808,0.07677748799324036,0.013218267538759258,0.015595894388067345,0.016422556713223457,0.014841181226074696,0.07672948987353531,0.08832423690260194,0.001522036090622893,0.005397279222424908,0.004272436288543964,0.012709379287024822,0.0009675875189714134,0.000701098470017314,0.20017645437370848,0.1961158335135492,0.16867918994537323,0.16346731153023134,0.0,6.275728082982823e-05,0.24213824867241882,0.2520002305904913,0.252323165566962,6.34416937828064e-05,0.06154017150402069,0.059446316212415695,0.04148343577980995,0.04869784042239189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.332825660705566,0.9006022214889526,1.9819145202636719,0.6349740624427795,8.515172004699707,4.3194050788879395,4.012821197509766
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.02712488720969555,-0.00015705786063335836,0.0,0.0,0.0,0.0,0.0,0.027020076460452576,-0.0004944524262100458,0.02726941013104603,0.0,0.03131916246016815,0.0746312066912651,0.0007861152407713234,0.2532624900341034,0.026438968256115913,0.003089194156021142,0.0,0.06681347638368607,0.05335649847984314,0.01312495529286882,0.015604748677717314,0.01582014001905918,0.01408371888101101,0.07856761741538987,0.08963071700061309,0.0014145606140679734,0.004789444493577223,0.0037419613664376496,0.013845199947439843,0.001084560709341855,0.0008140055579133332,0.20036365202773712,0.19461844487384095,0.15979349809202484,0.154354609388844,0.0,0.00023228958889376372,0.22870225610647554,0.24768865403150514,0.2480054378493042,5.9092639276059344e-05,0.05896753445267677,0.05620560050010681,0.041215680539608,0.04853900521993637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.487556457519531,0.9170772433280945,2.000326633453369,0.6332614421844482,8.298295021057129,4.218517780303955,4.162195205688477
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.027991071902031518,-0.00012925468035973608,0.0,0.0,0.0,0.0,0.0,0.027907155615098725,-0.0004846498486585915,0.027174796449639816,0.0,0.03047205654571743,0.07155688107013702,0.0007556221098639071,0.23082740604877472,0.03180968016386032,0.0050213697263782504,9.364754077978432e-05,0.028209378942847252,0.01416824385523796,0.012921467152672856,0.015618918446098293,0.015458686277270317,0.013372953049838543,0.08345279101078629,0.0926538080144989,0.001350343484498271,0.004348245626787529,0.0031511140071041398,0.012260048006824818,0.0011298863651052762,0.0008391678566113114,0.16038652878472168,0.15264975058981506,0.11673996623027344,0.11093458106111953,0.0,0.0,0.22154146434469818,0.24355399903114777,0.24387286003964234,0.00014122486754786223,0.0517561137676239,0.04854629188776016,0.029669897630810738,0.0364270955324173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.206645965576172,0.8062114119529724,2.2516441345214844,0.6132275462150574,8.550880432128906,3.8762876987457275,4.4279890060424805
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02877452395513012,0.00043815351091325283,0.0,0.0,0.0,0.0,0.0,0.028804022724426157,0.0004938104539178312,0.026140434145479546,0.0003345843288116157,0.026813068395856437,0.06560619920492172,0.0018215319141745567,0.1868032068014145,0.04373402148485184,0.00720055028796196,0.00032920032390393317,0.001298065297305584,0.0,0.017348992019620202,0.022143249276400538,0.01507372036576271,0.01302950270473957,0.0887430086875177,0.0964027121438707,0.001392503788574042,0.003970971443482427,0.003847462068209677,0.009695045303119012,0.0010347234137203336,0.0008556523825973272,0.10196949612729217,0.09538881555036179,0.06476344999742324,0.06092503998783867,0.0,0.0,0.22006969747141022,0.24076128901983673,0.24106772247641206,0.00021688967535737902,0.0450420044362545,0.04241224378347397,0.01647227816283703,0.02336302027106285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.628200054168701,0.7068935632705688,2.4601173400878906,0.5991469621658325,8.61813735961914,3.8472681045532227,4.952481269836426
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02949277868596714,0.020491573959589005,0.0,0.0,0.0,0.0,0.0,0.029635641151492004,0.020921748131513596,0.024683400141202277,0.0007464475347660482,0.022077445482315942,0.059681087732315063,0.009412688203155994,0.14479900896549225,0.0610215961933136,0.010859895497560501,0.0006623533554375172,0.0002668262750376016,0.0,0.03481173811861435,0.0405468817964851,0.015162182040512562,0.013110755942761898,0.08811358509496582,0.09493681192482223,0.00144048651552418,0.003895703126409445,0.005620069822043133,0.007770172016844606,0.0009569240316325783,0.0008440384408459067,0.059364534193375014,0.05416558272300911,0.030911833869349824,0.028287786175046004,0.0,0.0,0.22225702404062256,0.2390496730513977,0.23933472038630463,0.0003173467412125319,0.04009832814335823,0.038164108991622925,0.007970276288688183,0.013889206573367119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903913736343384,0.6227006912231445,2.621030330657959,0.5946911573410034,8.750603675842285,3.908350944519043,5.569934368133545
