Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.027179660270079994,1.4429613656830043e-05,0.0,0.0,0.0,0.0,0.0,0.027229297835991897,-7.21561154932715e-05,0.0028994151456269933,0.0,0.007296298614213047,0.011269187554717064,8.10300771263428e-05,0.052648402750492096,0.020656485110521317,0.00038078428846619847,0.0,0.005796634592115879,0.005112846847623587,0.01305794087750998,0.01652498092260167,0.0003054384724237025,0.00020114786457270384,0.011279100510214128,0.01413348164872788,0.0016498645758203164,0.0008444733068065011,0.0018481418715708122,0.0018914863485772586,0.0006932211108505726,0.0006594214937649667,0.052516844836638946,0.05335175246630585,0.03246488472934952,0.032133376712408374,0.015602441504597664,0.01566326431930065,0.0545980595144091,0.039021308941030904,0.03901975557022388,6.0325088270474225e-05,0.019352149218320847,0.021026408299803734,0.018615325912833214,0.017553286626935005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651584506034851,0.2462172955274582,0.36227551102638245,0.13954898715019226,1.2286897897720337,1.4946047067642212,0.738499641418457
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.053016830603960646,3.041878153453581e-05,0.0,0.0,0.0,0.0,0.0,0.05311383098123726,-0.00010104525426868349,0.005637239067743091,0.0,0.013340051304371967,0.026064645498991013,0.00016310681530740112,0.11233868449926376,0.03782517462968826,0.0004431749502394569,0.0,0.005734839476644993,0.005901891738176346,0.012750238513962488,0.016649116285424422,0.0004391873371787369,0.0003303078410681337,0.012454005500879765,0.014637659559426348,0.001538819649045678,0.001290520186441412,0.0018958710660374615,0.003538782031929865,0.0012988613452762365,0.001277795759961009,0.1092844289081076,0.10987187327227203,0.07054369843572846,0.07074620341467254,0.035520512610673904,0.03562067076563835,0.07986331732281143,0.04756039235662216,0.04755056515107988,0.00010638749517966062,0.03741864114999771,0.04144258424639702,0.03587613254785538,0.03534265607595444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4236996173858643,0.5028737187385559,0.7387923002243042,0.2756214141845703,2.46293306350708,2.870178699493408,1.4629671573638916
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.07510479673618042,-0.00010103751992573962,0.0,0.0,0.0,0.0,0.0,0.07524438347730576,-0.0002444660058245063,0.008452693861889744,2.5026216462720186e-05,0.019801103886692505,0.043987784534692764,9.997256711358204e-05,0.17012515664100647,0.04648910462856293,0.0003983731012039536,0.0,0.00872579775750637,0.011349488981068134,0.012413787410650343,0.01666913646595097,0.000537274987436831,0.0004511175793595612,0.015522080012512828,0.01605117724922748,0.0014633173706813845,0.0016370460527563263,0.0018976462963803797,0.004817752709869365,0.0018740021623671055,0.0019180916715413332,0.17465539608984926,0.17521005644920837,0.11422906091385834,0.11585686287246856,0.05559566244482994,0.055719222873449326,0.11034801009811096,0.05839580448570267,0.058373809593564835,0.00016500448691658676,0.05495765432715416,0.06223702058196068,0.05027114972472191,0.05218440666794777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3015716075897217,0.7467737197875977,1.116735816001892,0.4088129997253418,3.873732566833496,4.043798923492432,2.176614999771118
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.09325636674444977,-0.00028937525348737836,0.0,0.0,0.0,0.0,0.0,0.09345257485630126,-0.00041971029713749886,0.011095875659354439,4.0738108509685844e-05,0.02617424967352047,0.06348718702793121,1.5256196093105245e-05,0.22740289568901062,0.05134608596563339,0.000370261628611078,7.385086792055517e-05,0.01979951374232769,0.025942161679267883,0.012191272834082051,0.016739315646813645,0.0007848319364711642,0.0008475423092022538,0.02012814747288355,0.018445157782616253,0.0014378206970300526,0.0020356001773979377,0.0019723161281000635,0.006354315080235501,0.002565061440691352,0.002729961182922125,0.24066666738191222,0.2414437152430243,0.1587739495558905,0.16225665932754973,0.06977364420890808,0.06990647315979004,0.1454294308874147,0.06782090816640396,0.0677968814960878,0.00023820949718356133,0.0717480257153511,0.0826653316617012,0.06321267783641815,0.06861282885074615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1349380016326904,0.9382139444351196,1.540365219116211,0.5419198274612427,5.298059940338135,5.342289924621582,2.8295960426330566
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.10594506080285217,-0.00046883642789907753,0.0,0.0,0.0,0.0,0.0,0.10622703420704589,-0.0005909362225793302,0.014413919970390243,3.881707743857987e-05,0.03304638919184883,0.07730899751186371,3.7832000089110807e-05,0.2740277051925659,0.055734723806381226,0.00035114131904303615,0.00016727954789530486,0.039279814809560776,0.04757734388113022,0.011966322062944394,0.016828829591073836,0.000989905558526516,0.0010889023542404175,0.022953559096343196,0.020190790980316613,0.001389940869134622,0.0022593230818620156,0.0020964646193408275,0.009047262461444225,0.003188634756952524,0.0034255729988217354,0.2922127016271265,0.2937537550852808,0.20037820663562744,0.20531914499294648,0.08312267065048218,0.08333346992731094,0.18010952769749664,0.07811119336882119,0.07808214056615136,0.00031267403392121196,0.088492251932621,0.10323725640773773,0.07700025290250778,0.0859234407544136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774261474609375,1.1137502193450928,1.9803392887115479,0.6753685474395752,6.758305549621582,6.656823635101318,3.494241714477539
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.09382537740127442,-0.00018744937551673502,0.0,0.0,0.0,0.0,0.0,0.09408679062804748,-0.0003153056022711098,0.014787364912697524,3.8985908759059384e-05,0.0330986237396796,0.06780857592821121,0.00018050882499665022,0.25906506180763245,0.051527801901102066,0.0002180518631602466,0.0002385967964073643,0.047207001596689224,0.054663095623254776,0.011992943239010331,0.016882955994944812,0.0015671357978135347,0.0014583906158804893,0.02130618023773178,0.019083396120617276,0.0013341528277684988,0.0019698748285699296,0.0021909119687613977,0.01059775915481966,0.003299620649113746,0.003471781499683857,0.2688581358562817,0.27075780554011597,0.19233343201193145,0.197286538619534,0.08421169966459274,0.08440466970205307,0.1803988307944333,0.07908488732193902,0.07906731143428994,0.00024982780450955033,0.0861462876200676,0.10063344240188599,0.0775458961725235,0.08603479713201523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7546236515045166,1.034533977508545,2.0880608558654785,0.6569130420684814,6.880517959594727,6.485023021697998,3.45828914642334
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0838151225818344,0.0001301977754337713,0.0,0.0,0.0,0.0,0.0,0.08407372997403885,-3.5531818866729736e-05,0.014429250272610206,1.2103691915399395e-05,0.03314035532663555,0.06087145954370499,0.00043700847891159356,0.2449081838130951,0.051798321306705475,0.00019028774251208006,0.00027562558534555137,0.04854849725961685,0.0551939494907856,0.011848631815418637,0.016721794509767393,0.0018171962583437562,0.0015120760072022676,0.021459984628309003,0.020416693126814316,0.001312850169322164,0.0018704999848332857,0.0022766042195679135,0.011389147778205242,0.0033540266999796675,0.0034731978084892035,0.24598842483231384,0.2484980725044879,0.17604207272994538,0.18079939802479217,0.08819618821144104,0.0884028971195221,0.17755044998331665,0.07990785610135537,0.07988838251965333,0.00025691569317132235,0.08355893194675446,0.0973443016409874,0.07592865824699402,0.08257880061864853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36067271232605,0.9644666314125061,2.128648281097412,0.6601110696792603,7.138607501983643,6.570998668670654,3.535804033279419
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07654639690771058,0.00018779971287585795,0.0,0.0,0.0,0.0,0.0,0.07676454065243042,-1.2836158020945732e-05,0.015194739624410019,0.0,0.033568804121020854,0.05858723074197769,0.0004989311564713717,0.2297627478837967,0.05040803551673889,0.0002727484970819205,0.0001623091084184125,0.04181012511253357,0.04691978543996811,0.012004728625256976,0.016590005652819755,0.0020424919202923775,0.0016416460275650024,0.026187356575748978,0.026114500105294095,0.0012803448291918284,0.001730790008582859,0.002294765786631285,0.012000820252610036,0.0033693101076256275,0.0034046166110783815,0.22994068336121704,0.23256027027801146,0.1555175640888196,0.15934345830587188,0.08701814711093903,0.087177574634552,0.17410778102472443,0.07961400004173691,0.07959468666403413,0.00025902866036631167,0.08124495297670364,0.09317803382873535,0.0704769417643547,0.07493609189987183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0668482780456543,0.9233132600784302,2.021850824356079,0.6680236458778381,7.495446681976318,6.68880558013916,3.571730613708496
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07344773782519501,0.0002866879804059863,0.0,0.0,0.0,0.0,0.0,0.07364943193775833,5.9926212998107076e-05,0.015395483086012669,0.0,0.03326993862301342,0.0590372197329998,0.000587230664677918,0.20573759078979492,0.04737912118434906,0.0002390924491919577,0.00010464519436936826,0.035053957253694534,0.03883492201566696,0.012151710685893241,0.01664126717268518,0.002045936416834593,0.0014934027567505836,0.029832897315777665,0.031596779451615715,0.0012094705393550333,0.0016900292883751727,0.002293074334601824,0.010274601331130123,0.003324391069034672,0.003323412500321865,0.2126632958889984,0.21538691929637147,0.12685398094547973,0.1294698185515738,0.07701960951089859,0.07714705914258957,0.16811934708635315,0.07589777556137314,0.07587144823197342,0.0002826842537615448,0.0770171731710434,0.0879402756690979,0.06337374448776245,0.06555198132991791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.934905767440796,0.8650377988815308,1.9741082191467285,0.6733763217926025,8.05782699584961,6.363775253295898,3.6722958087921143
