Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,-0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.020103026175960922,-0.00019715691450983286,0.0,0.0,0.0,0.0,0.0,0.020129652623699226,-0.0002262458874611184,0.012665547250768872,0.0,0.007702020911941109,0.0386660173535347,0.0017409411957487464,0.00913921743631363,3.150272095808759e-05,0.0011343239028456045,0.0,0.06190715357661247,0.059633564203977585,0.013200884020656093,0.016316469574282663,0.010479366406798363,0.010377977043390274,0.025357058986478158,0.025062721940898897,0.001809963022760854,0.0032635288045459654,0.0018300988300068701,0.00042833349838498555,0.0004172854532953352,0.00038371101254597306,0.08629002865927078,0.08866512030993377,0.013181677595937157,0.01226394951572687,0.0,0.0,0.09639330209220032,0.08429089043029586,0.08429875971563752,3.458261517153005e-06,0.02728267014026642,0.027558814734220505,0.007381738629192114,0.007235592696815729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646986484527588,0.22760984301567078,0.5232324600219727,0.1787082552909851,1.306464672088623,1.4084060192108154,0.9033858180046082
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03344290367830147,-1.924705611600075e-05,0.0,0.0,0.0,0.0,0.0,0.03346968605874237,-6.882095476612449e-05,0.02853154424477604,0.0,0.013203791361125126,0.09787030518054962,0.0020801397040486336,0.026427770033478737,0.0001775722485035658,0.0022798164672415923,0.0,0.10809914022684097,0.10413946211338043,0.01308861359486322,0.016209756286133522,0.02172711491584778,0.021240845322608948,0.04979448912909317,0.045603953266450656,0.0018178752517777925,0.006599282379167547,0.001995460888676707,0.0005165581085490581,0.0006696118507534266,0.0006244552205316722,0.18829184587168488,0.19108196498236268,0.024732481157486344,0.023655788503163987,0.0,0.0,0.17208720744856293,0.14452258352111572,0.14454188342909455,7.31267937226221e-05,0.0471346415579319,0.04759831726551056,0.009134842082858086,0.00979454256594181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6782587766647339,0.43343251943588257,1.0041252374649048,0.3427920937538147,2.721566915512085,2.6675682067871094,1.8604049682617188
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04200956359380447,0.0010185069404542446,0.0,0.0,0.0,0.0,0.0,0.042036169730758056,0.0009016399271786213,0.051692916010486985,0.0,0.019014601972429733,0.18457283079624176,0.0017195971449837089,0.05185794457793236,0.0003377180255483836,0.0041521681859803105,0.0,0.14292864501476288,0.13712841272354126,0.012997709999353332,0.015998654694429234,0.035789672285318375,0.03452397137880325,0.08805091679553452,0.08029049340349884,0.001703649963192934,0.010644230469743329,0.002245832052973391,0.0006676723899096954,0.0009775270009413362,0.0009465760667808354,0.32262014184981325,0.3255422688973285,0.040244788135824126,0.03926028242670212,0.0,0.0,0.2538299352280014,0.21678839029970184,0.216799584018833,0.00014344239025376737,0.06223084777593613,0.06302002817392349,0.0073135714046657085,0.009587321430444717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921759963035583,0.67564857006073,1.5081859827041626,0.476100355386734,4.321107864379883,3.5519628524780273,2.913302421569824
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.048328292861393125,0.022298702970147133,0.0,0.0,0.0,0.0,0.0,0.04837570542814346,0.022209379822015762,0.07613298275447677,3.0064047678024508e-05,0.02664932663205757,0.2626391649246216,0.0012936925049871206,0.07748176157474518,0.0006332416669465601,0.006884698499540863,4.29515857831575e-05,0.18191780149936676,0.17398205399513245,0.013089627826468936,0.015988738518612388,0.05061615630984306,0.048494599759578705,0.1248091988091124,0.11487571742522919,0.0016647809380097316,0.014104711867323132,0.0024072049895914084,0.0003169782769612712,0.0012315785279497504,0.0012409061891958117,0.4532526530424652,0.45575367584673826,0.06094015967084641,0.060517368225855635,0.0,0.0,0.3239393442723291,0.2795069158449127,0.27952798008836915,0.0001508998975623399,0.0759572833776474,0.07617060095071793,0.007798241917043924,0.01171417348086834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.355400562286377,1.0292866230010986,2.0337841510772705,0.6225095987319946,5.917173862457275,4.300854682922363,4.029610633850098
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.05418979640141632,0.06675515323877335,0.0,0.0,0.0,0.0,0.0,0.05426751958912598,0.06672780215740204,0.09134874559938613,0.0,0.03666296806882103,0.2922794818878174,0.0009997701272368431,0.10680416971445084,0.0008669128874316812,0.008016179282349567,0.0,0.2343692034482956,0.2236916720867157,0.013027275193889958,0.01595154166829753,0.06287863850593567,0.060410261154174805,0.14235427082646576,0.13142793926895402,0.001544367641631285,0.016653073427196425,0.0024061923924693705,0.000281192627789315,0.001399558736011386,0.0015328866429626942,0.547051585503927,0.5479402065203699,0.09084889766088455,0.09060063329231628,0.0,0.0,0.37954459785454775,0.32630192045369627,0.3263469040704181,8.425474516116083e-05,0.09287483245134354,0.09389107674360275,0.015339740552008152,0.022712502628564835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7443726062774658,1.3877251148223877,2.584442138671875,0.7816399335861206,7.915486812591553,5.128113746643066,4.7398247718811035
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.050568323459786145,0.09849318861961365,0.0,0.0,0.0,0.0,0.0,0.05061216110667755,0.0984865352511406,0.07813709990448639,0.0,0.040429400863250045,0.22410789132118225,0.0010941517539322376,0.11250905692577362,0.0009014797396957874,0.006704725993588829,0.0,0.25208771228790283,0.24038417637348175,0.012999299141073992,0.015931178964521994,0.05840950086712837,0.05631484091281891,0.11428313034673676,0.10653387900317657,0.001465467826493928,0.015040330930129032,0.002316652725391364,0.0008348152869928259,0.001456034667126329,0.0017495877109467983,0.48951509705890317,0.49102885647013916,0.10847026305708221,0.10782691820336959,0.0,0.0,0.34665926697168703,0.28994122442220643,0.2900056123717041,3.833413211395964e-05,0.09836500138044357,0.10061181336641312,0.026717625558376312,0.036474086344242096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694443702697754,1.4027302265167236,2.6914947032928467,0.8100476861000061,8.611648559570312,4.766264915466309,4.443731307983398
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04924063254129372,0.11725922673940659,0.0,0.0,0.0,0.0,0.0,0.04926882327795769,0.11729396879673004,0.06261290936420204,0.0,0.04348972772846908,0.16436702013015747,0.0008206033962778747,0.1100839301943779,0.0008405125117860734,0.005537192978877354,0.0,0.2631811499595642,0.2517531216144562,0.012872213437994513,0.015729309904391017,0.05232725292444229,0.050945062190294266,0.09243761751597046,0.08804577292691346,0.0014584139377779228,0.012690064674715385,0.0018998939151595793,0.0012084406886022948,0.0015359487119883943,0.001971272751688957,0.4378274343557056,0.44167595136114685,0.12461961086261292,0.1242555635173268,0.0,0.0,0.3181545287530005,0.24859182831104737,0.24866732355492402,4.7203302528942004e-05,0.10509464144706726,0.10946109145879745,0.041127488017082214,0.05243644118309021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6304893493652344,1.2940865755081177,2.9608044624328613,0.8278204202651978,8.717227935791016,4.631314277648926,4.403375625610352
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0495113840664859,0.11590269207954407,0.0,0.0,0.0,0.0,0.0,0.049522558132803804,0.11585985124111176,0.05294853024139915,0.0,0.044924921324852526,0.1361263245344162,0.0008016026113182306,0.10700757801532745,0.0006096899742260575,0.004519435577094555,0.0,0.2665090262889862,0.2541854977607727,0.012848962876674195,0.015713607936181588,0.049224041402339935,0.04797794297337532,0.0880916938328958,0.08560981599232803,0.0014561073869656792,0.01090610643921116,0.0017318261392789622,0.0016460680659242345,0.001774138706348443,0.0022913338616490364,0.4030071504079547,0.4076446227712976,0.12299027380418594,0.12232339341548722,0.0,3.9011240005493164e-05,0.29867214557722227,0.22061205806280548,0.22070187333910585,2.8218031729920767e-05,0.1091846451163292,0.11437776684761047,0.04864584282040596,0.06070536747574806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77333664894104,1.1917610168457031,3.1452460289001465,0.8391526937484741,8.3511962890625,4.679725170135498,4.513047695159912
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05086482687024277,0.10236635059118271,0.0,0.0,0.0,0.0,0.0,0.05081421824676216,0.10220418870449066,0.04850300130447037,0.0,0.04520650075882904,0.13053159415721893,0.0007003760547377169,0.0972607359290123,0.0003828072512988001,0.00493041705340147,0.0,0.2752797305583954,0.25735145807266235,0.013029719350478891,0.01567985327464557,0.049093108624219894,0.047614146023988724,0.09260417668060196,0.09108346849764098,0.00146171061485199,0.01050742611355463,0.0018363501787911625,0.001468431133926368,0.001878383201690948,0.002237211214378476,0.3941150039673828,0.3977658372288818,0.11292405508650528,0.1106777406525946,0.0,0.0,0.28535178898851377,0.20345225927309266,0.20355278552893616,-4.4509171857498586e-05,0.11317331343889236,0.11669407784938812,0.050393763929605484,0.06027645990252495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9860310554504395,1.1031111478805542,3.338749408721924,0.8140532970428467,7.639413833618164,4.930787086486816,4.738272666931152
