Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.00145111552,0.0,0.0,0.0,0.0,0.0,0.0,0.0014677197600000001,-0.0,0.0005581311200000001,0.0,0.00209382792,0.0,0.0,0.0,0.0,0.00021961728000000001,0.0,0.0,0.0,0.013205046960000001,0.01626954672,0.0,0.0,0.010710556080000001,0.0137531832,0.0018026144800000002,0.0003133716,0.0018512278399999999,0.00040516792,0.0,0.0,0.0049323395200000005,0.00673615336,0.00052517224,0.00031270072,0.0,0.0,0.035727605200000005,0.03523776528,0.03523311616,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.05259441583798828,9.908707579597831e-05,0.0,0.0,0.0,0.0,0.0,0.0526778101219397,-3.2917857879510848e-06,0.014621883451006146,0.0,0.008710615320572435,0.032555051147937775,0.00013672774366568774,0.0005012348992750049,3.196909528924152e-05,0.0007159699024150503,0.00010278207628289238,0.09557249397039413,0.09277385473251343,0.013184641998699379,0.01631399739851723,0.010495445691049099,0.01089482568204403,0.012703227128290244,0.013846967738331856,0.001781237858604214,0.0020937827613854076,0.0018427345381240292,0.0006630724110803059,0.001562768593430519,0.0014833178138360381,0.11057265546696045,0.113880805677518,0.031226430596077347,0.03136833619555504,0.04457070678472519,0.04466089606285095,0.05208342337036709,0.03482113667969595,0.03481182983745248,-1.537162097520195e-05,0.0615873858332634,0.06557966768741608,0.03084854781627655,0.03096308745443821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585289180278778,0.1642421931028366,0.3102475702762604,0.5253764390945435,1.4475860595703125,1.374441146850586,0.8329766392707825
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.09933308548796524,0.00020425001275725663,0.0,0.0,0.0,0.0,0.0,0.09947884991524872,3.219842881208024e-07,0.02666183035720375,0.0,0.015120044369073524,0.06361676007509232,0.0002097000106004998,0.002138429321348667,0.00016781382146291435,0.001239626008943863,0.00021592198754660785,0.18433910608291626,0.17892174422740936,0.013030158616874489,0.016234136344923097,0.019765252247452736,0.020507222041487694,0.014583971428331614,0.013956063013225313,0.0018066385538767521,0.0035821117916129733,0.00193711199596898,0.0011162412340778851,0.0032198182307183743,0.003090684534981847,0.21616700108217987,0.22121457160791963,0.06745777226061096,0.06893013929533355,0.10689102113246918,0.10706919431686401,0.0678339004636615,0.03452682389769949,0.03450670754221626,-6.9664720285800286e-06,0.11838263273239136,0.1271178424358368,0.06505477428436279,0.06652627885341644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526833534240723,0.30091801285743713,0.699791431427002,0.8460729718208313,3.088965892791748,2.4958622455596924,1.8250118494033813
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.14139593526595795,0.00046960351755842566,0.0,0.0,0.0,0.0,0.0,0.14159422513160644,0.00015568059461656958,0.03868431777225723,0.0,0.022010990795223694,0.09438633918762207,0.00022995097970124334,0.006338232196867466,0.0003015340189449489,0.0017425345876899267,0.0004202175769023597,0.26858529448509216,0.2603877782821655,0.012807415509768702,0.016143196030769132,0.028397824615240097,0.029447060078382492,0.015095936604691173,0.013665215787358832,0.0016857771990460473,0.0049164764952460095,0.0018825071895446754,0.0019490341258012463,0.005240164697170258,0.0051220376044511795,0.3245460275271509,0.33206054344299807,0.11349015703373902,0.11651722273193511,0.17164292931556702,0.1719084084033966,0.08170012537158661,0.034329288418452036,0.034295507639132444,-2.6001334845204838e-06,0.17239145934581757,0.18566957116127014,0.10357090830802917,0.10656808316707611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8964222073554993,0.41686609387397766,1.1577078104019165,1.1285512447357178,4.789300441741943,3.4039294719696045,2.8734517097473145
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.1793027495292932,0.0007631714688614011,0.0,0.0,0.0,0.0,0.0,0.17955024743797393,0.0004184906429145485,0.0491282602486689,0.0,0.029854393178855323,0.12508751451969147,0.0002002342080231756,0.020143847912549973,0.00034644422703422606,0.00296962095851737,0.0005165898473933339,0.34794074296951294,0.3360508680343628,0.012766577811328611,0.016073961417245607,0.03603466600179672,0.03717388957738876,0.014930142351682274,0.013566288400533769,0.0015988537298121956,0.00598883167599699,0.0018893612400426342,0.003525842087830205,0.007133989594876766,0.00707246595993638,0.43508977667489623,0.4438778676077551,0.1705803779883551,0.17487435167889098,0.22777462005615234,0.22794115543365479,0.0897728524956243,0.03406812906840917,0.0340262337230343,2.7166364816366695e-05,0.22505328059196472,0.2421356439590454,0.14656439423561096,0.15182222425937653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2555493116378784,0.5953192710876465,1.6127153635025024,1.3127323389053345,6.427847862243652,4.461416244506836,3.9402523040771484
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.21427592153683808,0.0011713067069649696,0.0,0.0,0.0,0.0,0.0,0.2145806937176584,0.0007911434513516724,0.05801059000193779,0.0,0.03967910093019684,0.1547234058380127,0.0002732184948399663,0.043590620160102844,0.0005216420977376401,0.0029565782417925405,0.0006640800856985152,0.41587260365486145,0.4022970497608185,0.012687625299731602,0.01601745420088856,0.042323317378759384,0.04384155571460724,0.014192988082207118,0.014069631158102218,0.001441114585336069,0.006718597781773491,0.0018804496377799527,0.0074366918742264174,0.009267892688512802,0.009260833263397217,0.5380397804464013,0.5488709330485376,0.232572448516998,0.23896948364269624,0.27668577432632446,0.2768349349498749,0.09495521782868407,0.03388853402473476,0.03385671120679355,7.627159357070923e-05,0.2767060399055481,0.29803192615509033,0.192146897315979,0.20095627009868622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5941503047943115,0.6725897789001465,2.0967040061950684,1.5316965579986572,7.941840648651123,5.677067756652832,4.951988220214844
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.20527846353904602,0.0011139599373564124,0.0,0.0,0.0,0.0,0.0,0.20556230301341583,0.0007972517632879317,0.05586047859258339,0.0,0.042560207309325485,0.14902356266975403,0.00025518331676721573,0.06259221583604813,0.0005315591115504503,0.002339753757953906,0.0007079085917212069,0.3978322148323059,0.38372623920440674,0.012767520542683472,0.015920597281067192,0.039824534207582474,0.041042327880859375,0.013725191197297421,0.014464006988486384,0.0014199727187239619,0.006307805298343639,0.0018983339260437472,0.011634655525170975,0.009231742419570178,0.0094186095520854,0.5191178928982129,0.5299998633404089,0.24221664863142303,0.24870286120845458,0.2928099036216736,0.29285961389541626,0.10046231897983902,0.03385097077246129,0.03382900276755032,6.767302693333477e-05,0.27454060316085815,0.29588714241981506,0.19789309799671173,0.20795007050037384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6830947399139404,0.6595426201820374,2.1522817611694336,1.4150032997131348,8.159361839294434,5.599455833435059,4.836816787719727
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.19961903486382446,0.000429507257649675,0.0,0.0,0.0,0.0,0.0,0.19984351114631438,0.00014886408462189138,0.05225305585811379,0.0,0.04481354688893051,0.14012490212917328,0.0002246049407403916,0.07259981334209442,0.0003438831481616944,0.002049580625239539,0.0009472373058088124,0.3813573122024536,0.36535266041755676,0.012628835762633978,0.01566299608818565,0.03669121116399765,0.037313565611839294,0.013466586394060842,0.013784319807806861,0.0012913134220956725,0.00547252520034729,0.001936534677278202,0.014940664460114803,0.009481739016790752,0.009815378114581108,0.49100687723824343,0.5023439728016529,0.23858188863265534,0.24497714956592986,0.34365808963775635,0.3435453474521637,0.12784168125792145,0.03346939167212586,0.03343643696332562,4.0053426346275955e-05,0.2751637399196625,0.29499807953834534,0.19617502391338348,0.2055397480726242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8140956163406372,0.7182158827781677,2.173982620239258,1.310647964477539,8.032747268676758,5.822693347930908,4.768958568572998
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.19720999508752776,-1.398168478772277e-05,0.0,0.0,0.0,0.0,0.0,0.1973477470676068,-0.0002421972167212516,0.0490770371998838,0.0,0.04750941224992615,0.12898653745651245,0.00016986284754239023,0.08517780900001526,0.00018892418302129954,0.0014488804154098034,0.0011477109510451555,0.3577953279018402,0.3399399518966675,0.012704408516370167,0.015578074941135937,0.03386588394641876,0.03342901170253754,0.013738506953588782,0.012794891000638412,0.0012154532698871589,0.004895276036836891,0.0018945952482896586,0.017070361997497865,0.00963185418451538,0.01010666973888874,0.4538816518747058,0.4656585089846002,0.22748226013850983,0.233155496012247,0.4221179485321045,0.4218214452266693,0.17972545919016022,0.033188931931043664,0.03315045397202342,1.303255521634128e-05,0.2754237651824951,0.29287973046302795,0.1934848576784134,0.20010899007320404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1205923557281494,0.8097053170204163,2.0963683128356934,1.1319687366485596,7.608207702636719,6.262145519256592,4.799283504486084
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.1958678252818982,-0.0004274233360774815,0.0,0.0,0.0,0.0,0.0,0.1959750981865567,-0.0006618789047934115,0.04425875944098122,0.0,0.04823609681934349,0.12142911553382874,0.00017992471111938357,0.08854341506958008,0.00013844143541064113,0.0012313565239310265,0.0015622820938006043,0.3447396159172058,0.32565829157829285,0.012768149081702623,0.01562355959803826,0.031636640429496765,0.030656399205327034,0.013136670765511518,0.011945576966650391,0.0012135489755322572,0.004626034182229433,0.002030560876164072,0.0173469280583416,0.009425166743020153,0.009956122376024723,0.4248791665078186,0.4376276355153198,0.21532320313347564,0.2200503564668036,0.4937889575958252,0.49342453479766846,0.22437027691881165,0.033045840071338616,0.03298993626527555,1.0821520845638588e-05,0.2762608230113983,0.29175060987472534,0.18980027735233307,0.19471459090709686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301774501800537,0.9049063920974731,1.9813851118087769,1.050934076309204,7.025206089019775,6.977088451385498,4.688195705413818
